block n60 sum_rr60 hold drowsy
0 2 211 1 0
1 5 527 1 0
2 7 742 1 0
3 10 1188 1 0
4 16 2514 1 0
5 21 3587 1 0
6 27 4825 1 0
7 33 6035 1 0
8 39 7266 1 0
9 45 8526 1 0
10 50 9611 1 0
11 56 10898 1 0
12 59 11807 1 0
13 62 12849 1 0
14 65 13744 1 0
15 67 14411 1 0
16 67 14441 1 0
17 67 14476 1 0
18 67 14484 1 0
19 66 14349 1 0
20 66 14387 1 0
21 66 14370 1 0
22 67 14502 1 0
23 66 14302 1 0
24 67 14475 1 0
25 66 14201 1 0
26 67 14393 1 0
27 68 14580 1 0
28 67 14320 1 0
29 68 14516 1 0
30 67 14385 1 0
31 67 14440 1 0
32 67 14489 1 0
33 66 14340 1 0
34 66 14430 1 0
35 66 14441 1 0
36 66 14493 0 0
37 66 14485 0 0
38 66 14514 0 0
39 65 14368 0 0
40 65 14420 0 0
41 64 14256 0 0
42 65 14479 0 0
43 65 14460 0 0
44 64 14263 0 0
45 65 14527 0 0
46 64 14371 0 1
47 64 14388 0 1
48 64 14393 0 1
49 64 14445 0 1
50 63 14235 0 1
51 64 14445 0 1
52 64 14474 0 1
53 64 14491 0 1
54 64 14421 0 1
55 64 14375 0 1
56 65 14528 0 0
57 64 14234 0 0
58 65 14379 0 0
59 66 14553 0 0
60 65 14219 0 0
61 66 14375 0 0
62 67 14559 0 0
63 66 14348 0 0
64 66 14318 0 0
65 66 14300 0 0
66 66 14390 0 0
67 66 14417 0 0
68 66 14427 0 0
69 66 14425 0 0
70 66 14446 0 0
71 66 14404 0 0
72 66 14493 0 0
73 65 14320 0 0
74 65 14256 0 0
75 66 14429 0 0
76 67 14481 0 0
77 67 14380 0 0
78 67 14399 0 0
79 67 14454 0 0
80 66 14313 0 0
81 66 14423 0 0
82 66 14335 0 0
83 67 14397 0 0
84 67 14293 0 0
85 68 14482 0 0
86 67 14358 0 0
87 67 14355 0 0
88 66 14228 0 0
89 67 14500 0 0
90 66 14258 0 0
91 67 14427 0 0
92 67 14394 0 0
93 68 14535 0 0
94 67 14420 0 0
95 65 14225 0 0
96 66 14558 0 0
97 65 14348 0 0
98 66 14514 0 0
99 65 14350 0 0
100 66 14596 0 0
101 65 14414 0 0
102 65 14425 0 0
103 64 14204 0 0
104 65 14522 0 0
105 64 14315 0 1
106 65 14485 0 0
107 65 14514 0 0
108 64 14289 0 0
109 65 14426 0 0
110 65 14480 0 0
111 65 14305 0 0
112 65 14319 0 0
113 65 14290 0 0
114 66 14480 0 0
115 66 14487 0 0
116 66 14368 0 0
117 66 14419 0 0
118 66 14396 0 0
119 66 14362 0 0
120 66 14387 0 0
121 66 14495 0 0
122 65 14215 0 0
123 66 14479 0 0
124 66 14356 0 0
125 67 14490 0 0
126 67 14443 0 0
127 67 14432 0 0
128 67 14365 0 0
129 67 14270 0 0
130 67 14252 0 0
131 68 14367 0 0
132 69 14507 0 0
133 69 14405 0 0
134 70 14560 0 0
135 69 14372 0 0
136 69 14401 0 0
137 69 14417 0 0
138 69 14359 0 0
139 70 14482 0 0
140 69 14337 0 0
141 70 14506 0 0
142 70 14538 0 0
143 70 14444 0 0
144 70 14421 0 0
145 70 14357 0 0
146 70 14410 0 0
147 70 14438 0 0
