block n60 sum_rr60 hold drowsy
0 5 844 1 0
1 12 2108 1 0
2 18 3271 1 0
3 25 4545 1 0
4 32 5760 1 0
5 38 6855 1 0
6 45 8129 1 0
7 51 9276 1 0
8 57 10451 1 0
9 64 11810 1 0
10 70 13003 1 0
11 75 14016 1 0
12 76 14384 1 0
13 75 14319 1 0
14 76 14493 1 0
15 75 14370 1 0
16 74 14282 1 0
17 75 14479 1 0
18 75 14398 1 0
19 76 14437 1 0
20 76 14399 1 0
21 76 14321 1 0
22 76 14305 1 0
23 77 14486 1 0
24 77 14496 1 0
25 77 14492 1 0
26 76 14320 1 0
27 77 14476 1 0
28 77 14443 1 0
29 77 14424 1 0
30 76 14355 1 0
31 76 14413 1 0
32 77 14532 1 0
33 76 14332 1 0
34 77 14406 1 0
35 78 14479 1 0
36 78 14345 0 0
37 79 14440 0 0
38 80 14506 0 0
39 79 14274 0 0
40 80 14419 0 0
41 80 14372 0 0
42 81 14464 0 0
43 80 14367 0 0
44 79 14269 0 0
45 80 14468 0 0
46 79 14384 0 0
47 78 14260 0 0
48 79 14530 0 0
49 78 14382 0 0
50 77 14292 0 0
51 78 14500 0 0
52 78 14499 0 0
53 77 14388 0 0
54 76 14281 0 0
55 77 14388 0 0
56 78 14451 0 0
57 78 14375 0 0
58 79 14418 0 0
59 80 14488 0 0
60 79 14239 0 0
61 80 14360 0 0
62 80 14391 0 0
63 80 14424 0 0
64 79 14325 0 0
65 80 14493 0 0
66 80 14487 0 0
67 79 14362 0 0
68 79 14444 0 0
69 78 14345 0 0
70 78 14381 0 0
71 77 14439 0 0
72 77 14523 0 0
73 76 14496 0 0
74 76 14515 0 0
75 75 14404 0 0
76 75 14393 0 0
77 75 14398 0 0
78 75 14456 0 0
79 75 14426 0 0
80 74 14260 0 0
81 74 14386 0 0
82 74 14459 0 0
83 74 14331 0 0
84 75 14446 0 0
85 75 14358 0 0
86 75 14270 0 0
87 76 14366 0 0
88 76 14336 0 0
89 76 14323 0 0
90 77 14430 0 0
91 77 14471 0 0
92 77 14486 0 0
93 77 14405 0 0
94 77 14363 0 0
95 77 14353 0 0
96 77 14327 0 0
97 77 14326 0 0
98 78 14490 0 0
99 77 14294 0 0
100 78 14482 0 0
101 77 14314 0 0
102 77 14309 0 0
103 78 14403 0 0
104 78 14370 0 0
105 79 14520 0 0
106 78 14340 0 0
107 79 14525 0 0
108 78 14348 0 0
109 79 14487 0 0
110 78 14301 0 0
111 80 14543 0 0
112 79 14385 0 0
113 79 14418 0 0
114 79 14483 0 0
115 78 14442 0 0
116 78 14464 0 0
117 77 14371 0 0
118 77 14445 0 0
119 76 14301 0 0
120 77 14528 0 0
121 76 14367 0 0
122 76 14428 0 0
123 75 14386 0 0
124 75 14400 0 0
125 75 14374 0 0
126 75 14337 0 0
127 76 14397 0 0
128 76 14376 0 0
129 77 14457 0 0
130 77 14417 0 0
131 77 14362 0 0
132 77 14326 0 0
133 77 14319 0 0
134 78 14442 0 0
135 78 14411 0 0
136 78 14310 0 0
137 79 14514 0 0
138 79 14473 0 0
139 78 14356 0 0
140 79 14479 0 0
141 78 14269 0 0
142 79 14391 0 0
143 80 14528 0 0
144 79 14346 0 0
145 79 14374 0 0
146 79 14402 0 0
147 78 14302 0 0
148 78 14411 0 0
149 77 14286 0 0
150 77 14331 0 0
151 78 14458 0 0
152 78 14415 0 0
153 78 14394 0 0
154 78 14443 0 0
155 77 14284 0 0
156 78 14395 0 0
157 79 14440 0 0
158 79 14388 0 0
159 80 14430 0 0
160 81 14562 0 0
161 81 14484 0 0
162 81 14467 0 0
