block n60 sum_rr60 bad60 hold drowsy alert
0 1 122 7 1 0 0
1 6 1328 7 1 0 0
2 11 2564 7 1 0 0
3 16 3691 7 1 0 0
4 21 4823 7 1 0 0
5 26 5987 7 1 0 0
6 31 7169 7 1 0 0
7 36 8322 7 1 0 0
8 41 9576 7 1 0 0
9 46 10861 7 1 0 0
10 51 12103 7 1 0 0
11 56 13374 7 1 0 0
12 59 14288 0 1 0 0
13 59 14364 0 1 0 0
14 59 14367 0 1 0 0
15 58 14270 0 1 0 0
16 58 14439 0 1 0 0
17 58 14519 0 1 0 0
18 57 14346 0 1 0 0
19 57 14389 0 1 0 0
20 57 14536 0 1 0 0
21 56 14297 0 1 0 0
22 56 14344 0 1 0 0
23 55 14163 0 1 0 0
24 56 14493 0 1 0 0
25 55 14282 0 1 0 0
26 55 14360 0 1 0 0
27 55 14448 0 1 0 0
28 54 14111 1 1 0 0
29 53 13920 1 1 0 0
30 54 14227 1 1 0 0
31 53 14114 1 1 0 0
32 53 14097 1 1 0 0
33 53 14119 1 1 0 0
34 53 14132 1 1 0 0
35 53 14110 1 1 0 0
36 53 14105 1 0 0 0
37 53 14140 1 0 0 0
38 52 13899 1 0 0 0
39 53 14149 1 0 0 0
40 53 14228 0 0 0 0
41 54 14495 0 0 0 0
42 53 14245 0 0 0 0
43 54 14515 0 0 0 0
44 54 14426 0 0 0 0
45 54 14393 0 0 0 0
46 54 14368 0 0 0 0
47 55 14605 0 0 0 0
48 54 14269 0 0 0 0
49 55 14503 0 0 0 0
50 55 14474 0 0 0 0
51 55 14435 0 0 0 0
52 56 14648 0 0 0 0
53 55 14375 0 0 0 0
54 56 14484 0 0 0 0
55 55 14271 0 0 0 0
56 55 14391 0 0 0 0
57 55 14455 0 0 0 0
58 54 14302 0 0 0 0
59 54 14348 0 0 0 0
60 54 14388 0 0 0 0
61 54 14381 0 0 0 0
62 54 14421 0 0 0 0
63 54 14375 0 0 0 0
64 53 14201 0 0 0 0
65 54 14472 0 0 0 0
66 53 14377 0 0 1 1
67 54 14508 0 0 0 0
68 53 14190 0 0 0 0
69 54 14375 0 0 0 0
70 55 14588 0 0 0 0
71 54 14225 0 0 0 0
72 55 14462 0 0 0 0
73 55 14366 0 0 0 0
74 56 14467 0 0 0 0
75 56 14396 0 0 0 0
76 56 14370 0 0 0 0
77 56 14383 0 0 0 0
78 57 14576 0 0 0 0
79 56 14394 0 0 0 0
80 56 14430 0 0 0 0
81 56 14490 0 0 0 0
82 55 14245 0 0 0 0
83 56 14542 0 0 0 0
84 55 14296 0 0 0 0
85 55 14371 0 0 0 0
86 55 14492 0 0 0 0
87 54 14356 0 0 0 0
88 55 14601 0 0 0 0
89 54 14281 0 0 0 0
90 54 14290 0 0 0 0
91 55 14442 0 0 0 0
92 55 14292 1 0 0 0
93 54 13976 1 0 0 0
94 55 14265 1 0 0 0
95 54 14024 1 0 0 0
96 55 14320 1 0 0 0
97 54 14019 1 0 0 0
98 54 14045 1 0 0 0
99 54 14075 1 0 0 0
100 54 14018 1 0 0 0
101 54 14060 1 0 0 0
102 54 14143 1 0 0 0
103 54 14209 1 0 0 0
104 54 14288 0 0 0 0
105 55 14594 0 0 0 0
106 54 14227 0 0 0 0
107 55 14484 0 0 0 0
108 55 14399 0 0 0 0
109 55 14462 0 0 0 0
110 55 14336 0 0 0 0
111 56 14577 0 0 0 0
112 55 14351 0 0 0 0
113 56 14632 0 0 0 0
114 55 14283 0 0 0 0
115 55 14191 0 0 0 0
116 57 14541 0 0 0 0
117 56 14228 0 0 0 0
118 57 14399 0 0 0 0
119 57 14276 0 0 0 0
120 57 14263 0 0 0 0
121 58 14415 0 0 0 0
122 58 14446 0 0 0 0
123 58 14310 0 0 0 0
124 59 14584 0 0 0 0
125 58 14289 0 0 0 0
126 59 14603 0 0 0 0
127 58 14444 0 0 0 0
128 57 14347 0 0 0 0
129 58 14565 0 0 0 0
130 57 14460 0 0 0 0
131 57 14546 0 0 0 0
132 56 14373 0 0 0 0
133 56 14428 0 0 0 0
134 56 14413 0 0 0 0
135 56 14483 0 0 0 0
136 55 14293 0 0 0 0
137 56 14541 0 0 0 0
138 55 14234 0 0 0 0
139 56 14492 0 0 0 0
140 55 14212 0 0 0 0
141 55 14394 0 0 0 0
142 55 14312 0 0 0 0
143 55 14412 0 0 0 0
144 55 14368 0 0 0 0
145 55 14430 0 0 0 0
146 55 14444 0 0 0 0
147 53 13981 2 0 0 0
148 53 14019 2 0 0 0
149 52 13843 2 0 0 0
150 52 13917 2 0 0 0
151 53 14020 2 0 0 0
152 53 14022 2 0 0 0
153 53 13812 2 0 0 0
154 54 14066 2 0 0 0
155 54 13957 2 0 0 0
156 54 13951 2 0 0 0
157 54 13931 2 0 0 0
158 54 13948 2 0 0 0
159 55 14141 0 0 0 0
160 56 14269 0 0 0 0
161 57 14437 0 0 0 0
162 58 14637 0 0 0 0
163 56 14313 0 0 0 0
164 57 14597 0 0 0 0
165 56 14434 0 0 0 0
166 56 14400 0 0 0 0
167 56 14316 0 0 0 0
168 57 14587 0 0 0 0
169 56 14282 0 0 0 0
170 56 14301 0 0 0 0
171 57 14605 0 0 0 0
172 56 14352 0 0 0 0
173 56 14355 0 0 0 0
174 57 14419 0 0 0 0
175 57 14334 0 0 0 0
176 57 14179 0 0 0 0
177 58 14385 0 0 0 0
178 58 14510 0 0 0 0
179 58 14541 0 0 0 0
180 57 14290 0 0 0 0
181 58 14561 0 0 0 0
182 57 14339 0 0 0 0
183 57 14301 0 0 0 0
184 58 14506 0 0 0 0
185 58 14439 0 0 0 0
186 57 14272 0 0 0 0
187 58 14484 0 0 0 0
188 57 14396 0 0 0 0
189 57 14356 0 0 0 0
190 57 14299 0 0 0 0
191 57 14289 0 0 0 0
192 58 14465 0 0 0 0
193 58 14414 0 0 0 0
194 58 14413 0 0 0 0
195 58 14465 0 0 0 0
196 57 14286 0 0 0 0
197 57 14386 0 0 0 0
198 57 14505 0 0 0 0
199 56 14301 0 0 0 0
200 57 14559 0 0 0 0
201 57 14591 0 0 0 0
202 57 14493 0 0 0 0
203 56 14372 0 0 0 0
204 56 14457 0 0 0 0
205 55 14291 0 0 0 0
206 56 14620 0 0 0 0
207 55 14305 0 0 0 0
208 56 14492 0 0 0 0
209 56 14375 0 0 0 0
210 56 14246 0 0 0 0
211 58 14561 0 0 0 0
212 57 14244 0 0 0 0
213 57 14247 0 0 0 0
214 57 14172 0 0 0 0
215 58 14470 0 0 0 0
216 57 14254 0 0 0 0
217 58 14537 0 0 0 0
218 57 14220 0 0 0 0
219 58 14535 0 0 0 0
220 58 14426 0 0 0 0
221 58 14502 0 0 0 0
222 57 14332 0 0 0 0
223 56 14297 0 0 0 0
224 57 14590 0 0 0 0
225 56 14430 0 0 0 0
226 56 14576 0 0 0 0
227 56 14456 0 0 0 0
228 56 14363 0 0 0 0
229 56 14261 0 0 0 0
230 57 14421 0 0 0 0
231 57 14296 0 0 0 0
232 57 14426 0 0 0 0
233 57 14382 0 0 0 0
234 58 14633 0 0 0 0
235 58 14535 0 0 0 0
236 57 14226 0 0 0 0
237 58 14449 0 0 0 0
238 59 14445 0 0 0 0
239 58 14239 0 0 0 0
240 59 14513 0 0 0 0
241 59 14583 0 0 0 0
242 58 14459 0 0 0 0
243 58 14518 0 0 0 0
244 57 14345 0 0 0 0
245 57 14365 0 0 0 0
246 57 14307 0 0 0 0
247 57 14339 0 0 0 0
248 58 14593 0 0 0 0
249 57 14383 0 0 0 0
250 56 14253 0 0 0 0
251 56 14309 1 0 0 0
252 55 14154 1 0 0 0
253 55 14065 1 0 0 0
254 55 14066 1 0 0 0
255 54 13905 1 0 0 0
256 55 14116 1 0 0 0
257 55 14071 1 0 0 0
258 56 14160 1 0 0 0
259 55 13999 1 0 0 0
260 55 14039 1 0 0 0
261 56 14086 1 0 0 0
262 56 14235 1 0 0 0
263 57 14325 0 0 0 0
264 58 14394 0 0 0 0
265 58 14369 0 0 0 0
266 59 14439 0 0 0 0
267 60 14564 0 0 0 0
268 60 14553 0 0 0 0
269 59 14388 0 0 0 0
270 58 14413 0 0 0 0
271 58 14395 0 0 0 0
272 58 14354 0 0 0 0
273 58 14276 0 0 0 0
274 58 14358 0 0 0 0
275 57 14245 0 0 0 0
276 57 14310 0 0 0 0
277 57 14334 0 0 0 0
278 57 14379 0 0 0 0
279 57 14457 0 0 0 0
280 57 14219 0 0 0 0
281 59 14562 0 0 0 0
282 58 14199 0 0 0 0
283 59 14434 0 0 0 0
284 59 14398 0 0 0 0
285 59 14567 0 0 0 0
286 59 14456 0 0 0 0
287 60 14529 0 0 0 0
288 60 14428 0 0 0 0
289 60 14332 0 0 0 0
290 61 14514 0 0 0 0
291 61 14391 0 0 0 0
292 60 14335 0 0 0 0
293 60 14388 0 0 0 0
294 62 14574 0 0 0 0
295 62 14361 0 0 0 0
296 62 14393 0 0 0 0
297 62 14354 0 0 0 0
298 62 14369 0 0 0 0
299 62 14437 0 0 0 0
300 61 14301 0 0 0 0
301 61 14412 0 0 0 0
302 60 14225 0 0 0 0
303 60 14250 0 0 0 0
304 62 14533 0 0 0 0
305 62 14413 0 0 0 0
306 60 14300 0 0 0 0
307 60 14434 0 0 0 0
308 61 14536 0 0 0 0
309 60 14321 0 0 0 0
310 60 14348 0 0 0 0
311 60 14273 0 0 0 0
312 61 14535 0 0 0 0
313 61 14402 0 0 0 0
314 61 14494 0 0 0 0
315 61 14499 0 0 0 0
316 60 14486 0 0 0 0
317 58 14218 0 0 0 0
318 59 14460 0 0 0 0
319 58 14321 0 0 0 0
320 57 14211 0 0 0 0
321 58 14461 0 0 0 0
322 59 14530 0 0 0 0
323 57 14083 1 0 0 0
324 57 14064 1 0 0 0
325 57 14159 1 0 0 0
326 57 14072 1 0 0 0
327 57 14135 1 0 0 0
328 56 13969 1 0 0 0
329 57 14174 1 0 0 0
330 57 14157 1 0 0 0
331 57 14147 1 0 0 0
332 57 14053 1 0 0 0
333 58 14257 1 0 0 0
334 56 13875 1 0 0 0
335 59 14589 0 0 0 0
336 59 14546 0 0 0 0
337 59 14514 0 0 0 0
338 59 14473 0 0 0 0
339 58 14310 0 0 0 0
340 58 14342 0 0 0 0
341 58 14441 0 0 0 0
342 58 14421 0 0 0 0
343 58 14363 0 0 0 0
344 58 14455 0 0 0 0
345 57 14237 0 0 0 0
346 58 14507 0 0 0 0
347 57 14262 0 0 0 0
348 57 14293 0 0 0 0
349 57 14354 0 0 0 0
350 57 14255 0 0 0 0
351 58 14355 0 0 0 0
352 59 14435 0 0 0 0
353 59 14295 0 0 0 0
354 59 14281 0 0 0 0
355 60 14426 0 0 0 0
356 61 14447 0 0 0 0
357 61 14398 0 0 0 0
358 61 14360 0 0 0 0
359 61 14428 0 0 0 0
360 61 14393 0 0 0 0
361 61 14415 0 0 0 0
362 61 14549 0 0 0 0
363 61 14577 0 0 0 0
364 61 14551 0 0 0 0
