block n60 sum_rr60 hold drowsy
289 46 13787 0 0
290 47 14041 0 0
291 47 13977 0 0
292 48 14095 0 0
293 47 13831 0 0
294 46 13725 0 0
295 45 13578 0 0
296 45 13624 0 0
297 43 12952 0 0
298 40 12109 0 0
299 39 11965 0 0
300 39 11935 0 0
301 36 11120 0 0
302 34 10770 0 0
303 33 10750 0 0
304 31 10415 0 1
305 32 10779 0 1
306 32 10725 0 1
307 33 10915 0 0
308 34 11125 0 0
309 38 12240 0 0
310 41 13029 0 0
311 42 13136 0 0
312 42 13087 0 0
313 45 13909 0 0
314 47 14233 0 0
315 48 14372 0 0
316 49 14611 0 0
317 46 13627 0 0
318 46 13680 0 0
319 44 13141 0 0
320 41 12302 0 0
321 37 11180 0 0
322 35 10744 0 0
323 33 10313 0 0
324 32 10236 0 0
325 32 10463 0 0
326 30 10128 0 1
327 30 10260 0 1
328 30 10347 0 1
329 32 10984 0 1
330 33 11086 0 1
331 36 11831 0 0
332 38 12376 0 0
333 40 12875 0 0
334 42 13283 0 0
335 44 13723 0 0
336 46 14089 0 0
337 46 13817 0 0
338 47 13930 0 0
339 47 13730 0 0
340 46 13279 0 0
341 46 13274 0 0
342 45 12983 0 0
343 41 11888 0 0
344 40 11671 0 0
345 41 12197 0 0
346 40 12158 0 0
347 37 11374 0 0
348 35 10995 0 0
349 32 10218 0 0
350 31 10095 0 0
351 30 9972 0 0
352 30 10134 0 1
353 30 10198 0 1
354 29 10062 1 0
355 31 10758 0 1
356 32 11110 0 1
357 32 11099 0 1
358 32 11078 0 1
359 35 12109 0 1
360 35 12046 0 1
361 38 12921 0 1
362 40 13225 0 0
363 41 13393 0 0
364 42 13487 0 0
365 44 13832 0 0
366 46 14238 0 0
367 47 14392 0 0
368 48 14517 0 0
369 46 13759 0 0
370 44 13067 0 0
371 43 12730 0 0
372 44 13109 0 0
373 41 12236 0 0
374 40 12300 0 0
375 39 12089 0 0
376 38 11782 0 0
377 35 11040 0 0
378 35 11081 0 0
379 33 10529 0 0
380 29 9364 1 0
381 29 9470 1 0
382 29 9473 1 0
383 27 8784 1 0
384 24 7768 1 0
385 24 7771 1 0
386 22 7086 1 0
387 19 6111 1 0
388 18 5983 1 0
389 18 6035 1 0
390 18 6209 1 0
391 20 6697 1 0
392 24 7869 1 0
393 26 8298 1 0
394 29 9086 1 0
395 33 10181 0 0
396 33 10194 0 0
397 35 10896 0 0
398 34 10550 0 0
399 36 11244 0 0
400 35 10866 0 0
401 36 11198 0 0
402 34 10565 0 0
403 32 10144 0 0
404 30 9656 0 0
405 28 9209 1 0
406 26 8712 1 0
407 25 8365 1 0
408 25 8304 1 0
409 26 8512 1 0
410 30 9501 0 0
411 32 9886 0 0
412 35 10715 0 0
413 37 11060 0 0
414 39 11381 0 0
415 42 11972 0 0
416 45 12560 0 0
417 47 12838 0 0
418 50 13476 0 0
419 51 13619 0 0
420 55 14524 0 0
421 55 14068 0 0
422 56 14058 0 0
423 57 14099 0 0
424 58 14125 0 0
425 58 13946 0 0
426 59 14165 0 0
427 58 13915 0 0
428 58 13936 0 0
429 59 14276 0 0
430 58 14075 0 0
431 58 14162 0 0
432 57 14027 0 0
433 58 14549 0 0
434 56 14268 0 0
435 56 14451 0 0
436 55 14374 0 0
437 54 14275 0 0
438 54 14377 0 0
439 54 14447 0 0
440 54 14534 0 0
441 53 14330 0 0
442 53 14400 0 0
443 52 14189 0 0
444 53 14529 0 0
445 52 14291 0 0
446 52 14305 0 0
447 52 14390 0 0
448 52 14393 0 0
449 53 14640 0 0
450 52 14455 0 0
451 52 14548 0 0
452 51 14382 0 0
453 51 14469 0 0
454 49 14000 0 0
455 49 14211 0 0
456 47 13807 0 0
457 47 13939 0 0
458 47 14029 0 0
459 46 13822 0 0
460 47 14165 0 0
461 46 13995 0 0
462 46 13988 0 0
463 46 13941 0 0
464 46 13895 0 0
465 46 13858 0 0
466 48 14316 0 0
467 49 14434 0 0
468 50 14593 0 0
469 50 14530 0 0
470 50 14498 0 0
471 50 14489 0 0
472 49 14217 0 0
473 49 14222 0 0
474 49 14281 0 0
475 49 14293 0 0
476 50 14530 0 0
477 50 14480 0 0
478 50 14473 0 0
479 50 14421 0 0
480 50 14396 0 0
481 50 14454 0 0
482 50 14523 0 0
483 50 14404 0 0
484 51 14545 0 0
485 51 14563 0 0
486 51 14561 0 0
487 49 14083 0 0
488 46 13382 0 0
489 46 13673 0 0
490 46 13873 0 0
491 44 13403 0 0
492 45 13721 0 0
493 45 13668 0 0
494 45 13668 0 0
495 45 13787 0 0
496 44 13687 0 0
497 44 13701 0 0
498 44 13677 0 0
499 46 14128 0 0
500 48 14575 0 0
501 48 14324 0 0
502 49 14398 0 0
503 49 14349 0 0
504 48 14244 0 0
505 48 14220 0 0
506 48 14239 0 0
507 48 14263 0 0
508 49 14461 0 0
509 49 14387 0 0
510 49 14384 0 0
511 49 14476 0 0
512 49 14549 0 0
513 45 13400 0 0
514 43 13026 0 0
515 44 13523 0 0
516 42 12887 0 0
517 38 11745 0 0
518 38 11936 0 0
519 37 11775 0 0
520 36 11707 0 0
521 36 11640 0 0
522 36 11643 0 0
523 33 10760 0 0
524 33 10758 0 0
525 37 11969 0 0
526 38 12166 0 0
527 35 11123 0 0
528 35 11131 0 0
529 39 12387 0 0
530 35 10980 0 0
531 32 9945 0 0
532 28 8591 1 0
533 25 7878 1 0
534 23 7407 1 0
535 23 7402 1 0
536 22 7221 1 0
537 22 7333 1 0
538 22 7444 1 0
539 24 8140 1 0
540 26 8788 1 0
541 26 8770 1 0
542 29 9681 1 0
543 32 10693 0 0
544 36 11942 0 0
545 39 12719 0 0
546 39 12616 0 0
547 41 13331 0 0
548 41 13325 0 0
549 40 13070 0 0
550 36 11725 0 0
551 33 10693 0 0
552 31 10044 0 0
553 29 9517 1 0
554 28 9320 1 0
555 29 9670 1 0
556 29 9600 1 0
557 29 9686 1 0
558 31 10247 0 0
559 32 10361 0 0
560 32 10264 0 0
561 33 10455 0 0
562 37 11677 0 0
563 41 12963 0 0
564 43 13539 0 0
565 45 14012 0 0
566 46 14293 0 0
567 42 12931 0 0
568 38 11752 0 0
569 34 10530 0 0
570 30 9356 0 0
571 26 8178 1 0
572 23 7240 1 0
573 19 5981 1 0
574 15 4759 1 0
575 11 3473 1 0
576 8 2537 1 0
577 7 2412 1 0
578 8 2817 1 0
579 11 3875 1 0
580 13 4571 1 0
581 16 5620 1 0
582 20 6920 1 0
583 24 8074 1 0
584 28 9287 1 0
585 32 10488 0 0
586 36 11731 0 0
587 40 12956 0 0
588 42 13518 0 0
589 43 13706 0 0
590 43 13501 0 0
591 44 13633 0 0
592 44 13529 0 0
593 46 13888 0 0
594 46 13663 0 0
595 42 12509 0 0
596 42 12429 0 0
597 42 12368 0 0
598 42 12297 0 0
599 42 12268 0 0
600 43 12512 0 0
601 43 12446 0 0
602 44 12626 0 0
603 44 12536 0 0
604 46 13203 0 0
605 44 12786 0 0
606 43 12750 0 0
607 45 13451 0 0
608 43 13031 0 0
609 43 13282 0 0
610 42 13094 0 0
611 38 11898 0 0
612 35 11090 0 0
613 31 9909 0 0
614 26 8534 1 0
615 22 7434 1 0
616 19 6525 1 0
617 18 6248 1 0
618 19 6566 1 0
619 21 7063 1 0
620 23 7556 1 0
621 22 7146 1 0
622 19 6162 1 0
623 20 6510 1 0
624 23 7278 1 0
625 27 8550 1 0
626 31 9769 0 0
627 32 10106 0 0
628 33 10467 0 0
629 34 10772 0 0
630 30 9415 0 0
631 26 8217 1 0
632 22 7011 1 0
633 19 6030 1 0
634 20 6387 1 0
635 19 6039 1 0
636 15 4915 1 0
637 11 3643 1 0
638 11 3750 1 0
639 14 4652 1 0
640 16 5142 1 0
641 17 5319 1 0
642 21 6468 1 0
643 25 7705 1 0
644 26 8043 1 0
645 26 8043 1 0
646 25 7686 1 0
647 26 8041 1 0
648 27 8397 1 0
649 28 8757 1 0
650 25 7777 1 0
651 24 7593 1 0
652 23 7442 1 0
653 23 7660 1 0
654 22 7557 1 0
655 23 7765 1 0
656 25 8327 1 0
657 27 8983 1 0
658 27 8983 1 0
659 26 8628 1 0
660 25 8272 1 0
661 25 8271 1 0
662 27 8997 1 0
663 24 7942 1 0
664 21 6892 1 0
665 17 5478 1 0
666 14 4432 1 0
667 9 2987 1 0
668 9 3098 1 0
669 11 3602 1 0
670 15 4884 1 0
671 19 6083 1 0
672 23 7222 1 0
673 26 8052 1 0
674 27 8164 1 0
675 31 9379 0 0
676 35 10601 0 0
677 39 11802 0 0
678 43 12984 0 0
679 47 14150 0 0
680 48 14344 0 0
681 48 14419 0 0
682 48 14399 0 0
683 48 14394 0 0
684 48 14461 0 0
685 48 14452 0 0
686 47 14191 0 0
687 46 13998 0 0
688 46 14016 0 0
689 46 14067 0 0
690 44 13585 0 0
691 42 13106 0 0
692 41 12841 0 0
693 42 13059 0 0
694 39 12140 0 0
695 38 11958 0 0
696 38 11978 0 0
697 38 12003 0 0
698 37 11717 0 0
699 35 11049 0 0
700 31 9809 0 0
701 27 8557 1 0
702 25 7857 1 0
703 26 8185 1 0
704 27 8606 1 0
705 25 8132 1 0
706 28 8997 1 0
707 29 9175 1 0
708 29 9157 1 0
709 27 8604 1 0
710 28 9011 1 0
711 31 10041 0 0
712 34 11088 0 0
713 38 12271 0 0
714 43 13668 0 0
715 44 13758 0 0
716 44 13565 0 0
717 45 13730 0 0
718 45 13669 0 0
719 45 13617 0 0
720 45 13628 0 0
721 48 14404 0 0
722 49 14448 0 0
723 49 14207 0 0
724 50 14315 0 0
725 51 14562 0 0
726 50 14293 0 0
727 48 13785 0 0
728 48 13781 0 0
729 48 13780 0 0
730 48 13791 0 0
731 49 14075 0 0
732 49 13961 0 0
733 48 13674 0 0
734 48 13799 0 0
735 48 13824 0 0
736 48 13809 0 0
737 48 13779 0 0
738 48 13773 0 0
739 50 14293 0 0
740 50 14284 0 0
741 51 14544 0 0
742 51 14549 0 0
743 50 14277 0 0
744 50 14320 0 0
745 50 14358 0 0
746 50 14332 0 0
747 50 14301 0 0
748 50 14369 0 0
749 50 14425 0 0
750 50 14444 0 0
751 50 14554 0 0
752 50 14626 0 0
753 48 14162 0 0
754 48 14258 0 0
