block n60 sum_rr60 bad60 hold drowsy alert
0 5 821 1 1 0 0
1 13 2037 1 1 0 0
2 21 3266 1 1 0 0
3 29 4468 1 1 0 0
4 36 5744 1 1 0 0
5 43 6887 1 1 0 0
6 51 8179 1 1 0 0
7 58 9332 1 1 0 0
8 64 10415 1 1 0 0
9 72 11696 1 1 0 0
10 79 12883 1 1 0 0
11 86 14014 1 1 0 0
12 89 14491 0 1 0 0
13 88 14439 0 1 0 0
14 87 14400 0 1 0 0
15 86 14407 0 1 0 0
16 86 14285 0 1 0 0
17 87 14460 0 1 0 0
18 87 14389 0 1 0 0
19 87 14318 0 1 0 0
20 89 14495 0 1 0 0
21 88 14321 0 1 0 0
22 89 14492 0 1 0 0
23 89 14451 0 1 0 0
24 88 14332 0 1 0 0
25 88 14327 0 1 0 0
26 89 14476 0 1 0 0
27 89 14388 0 1 0 0
28 90 14438 0 1 0 0
29 90 14297 0 1 0 0
30 90 14278 0 1 0 0
31 91 14486 0 1 0 0
32 89 14305 0 1 0 0
33 90 14533 0 1 0 0
34 89 14349 0 1 0 0
35 89 14429 0 1 0 0
36 89 14383 0 0 0 0
37 90 14522 0 0 0 0
38 89 14311 0 0 0 0
39 90 14405 0 0 0 0
40 91 14469 0 0 0 0
41 90 14496 0 0 0 0
42 88 14367 0 0 0 0
43 87 14359 0 0 0 0
44 88 14541 0 0 0 0
45 86 14352 0 0 0 0
46 86 14391 0 0 0 0
47 85 14343 0 0 0 0
48 85 14422 0 0 0 0
49 84 14439 0 0 0 0
50 84 14481 0 0 1 1
51 83 14493 0 0 1 0
52 80 14286 0 0 1 0
53 80 14365 0 0 1 0
54 81 14464 0 0 1 0
55 81 14353 0 0 1 0
56 82 14402 0 0 1 1
57 84 14452 0 0 0 0
58 84 14391 0 0 0 0
59 85 14418 0 0 0 0
60 86 14460 0 0 0 0
61 86 14260 0 0 0 0
62 87 14399 0 0 0 0
63 87 14276 0 0 0 0
64 88 14503 0 0 0 0
65 88 14362 0 0 0 0
66 89 14468 0 0 0 0
67 89 14441 0 0 0 0
68 88 14240 0 0 0 0
69 88 14369 0 0 0 0
70 88 14335 0 0 0 0
71 88 14438 0 0 0 0
72 87 14427 0 0 0 0
73 87 14538 0 0 0 0
74 85 14290 0 0 0 0
75 85 14430 0 0 0 0
76 85 14375 0 0 0 0
77 85 14407 0 0 0 0
78 84 14345 0 0 0 0
79 84 14348 0 0 0 0
80 84 14466 0 0 0 0
81 84 14445 0 0 0 0
82 84 14492 0 0 1 1
83 84 14368 0 0 0 0
84 85 14429 0 0 0 0
85 85 14316 0 0 0 0
86 87 14490 0 0 0 0
87 87 14401 0 0 0 0
88 87 14371 0 0 0 0
89 87 14397 0 0 0 0
90 88 14478 0 0 0 0
91 88 14492 0 0 0 0
92 88 14503 0 0 0 0
93 86 14386 0 0 0 0
94 85 14337 0 0 0 0
95 85 14429 0 0 0 0
96 84 14308 0 0 0 0
