block n60 sum_rr60 bad60 hold drowsy
0 4 567 4 1 0
1 11 1696 4 1 0
2 18 2893 4 1 0
3 25 4068 4 1 0
4 32 5310 4 1 0
5 39 6578 4 1 0
6 45 7641 4 1 0
7 52 8859 4 1 0
8 59 10074 4 1 0
9 67 11395 4 1 0
10 73 12440 4 1 0
11 80 13725 4 1 0
12 82 14309 0 1 0
13 81 14356 0 1 0
14 80 14323 0 1 0
15 80 14511 0 1 0
16 79 14423 0 1 0
17 78 14301 0 1 0
18 79 14561 0 1 0
19 78 14443 0 1 0
20 77 14346 0 1 0
21 76 14399 0 1 0
22 76 14466 0 1 0
23 76 14361 0 1 0
24 77 14480 0 1 0
25 77 14453 0 1 0
26 77 14461 0 1 0
27 77 14409 0 1 0
28 77 14411 0 1 0
29 77 14415 0 1 0
30 75 14080 1 1 0
31 76 14270 1 1 0
32 76 14292 1 1 0
33 76 14189 1 1 0
34 76 14169 1 1 0
35 76 14273 1 1 0
36 75 14173 1 0 0
37 76 14238 1 0 0
38 77 14270 1 0 0
39 77 14188 1 0 0
40 74 13585 4 0 0
41 74 13533 5 0 0
42 73 13432 6 0 0
43 72 13390 6 0 0
44 72 13435 6 0 0
45 71 13254 6 0 0
46 72 13386 6 0 0
47 72 13348 6 0 0
48 72 13323 6 0 0
49 71 13308 6 0 0
50 71 13341 6 0 0
51 70 13286 6 0 0
52 73 13878 3 0 0
53 74 14116 2 0 0
54 76 14372 0 0 0
55 77 14398 0 0 0
56 77 14300 0 0 0
57 78 14474 0 0 0
58 78 14466 0 0 0
59 78 14395 0 0 0
60 79 14444 0 0 0
61 80 14507 0 0 0
62 79 14319 0 0 0
63 80 14425 0 0 0
64 81 14506 0 0 0
65 81 14376 0 0 0
66 82 14490 0 0 0
67 81 14313 0 0 0
68 81 14359 0 0 0
69 81 14396 0 0 0
70 81 14441 0 0 0
71 80 14399 0 0 0
72 80 14437 0 0 0
73 79 14354 0 0 0
74 79 14481 0 0 0
75 78 14310 0 0 0
76 78 14436 0 0 0
77 77 14370 0 0 0
78 76 14251 0 0 0
79 77 14493 0 0 0
80 77 14493 0 0 0
81 76 14312 0 0 0
82 76 14360 0 0 0
83 76 14364 0 0 0
84 76 14392 0 0 0
85 76 14315 0 0 0
86 77 14373 0 0 0
87 78 14500 0 0 0
88 78 14376 0 0 0
89 79 14435 0 0 0
90 79 14389 0 0 0
91 79 14369 0 0 0
92 80 14457 0 0 0
93 80 14459 0 0 0
94 79 14301 0 0 0
95 79 14330 0 0 0
96 79 14403 0 0 0
97 79 14450 0 0 0
98 79 14511 0 0 0
99 79 14316 1 0 0
100 78 14185 1 0 0
101 78 14288 1 0 0
102 78 14340 1 0 0
103 77 14125 1 0 0
104 77 14242 1 0 0
105 77 14182 1 0 0
106 78 14262 1 0 0
107 79 14365 1 0 0
108 79 14229 1 0 0
109 79 14308 1 0 0
110 78 14133 1 0 0
111 77 14216 0 0 0
112 78 14350 0 0 0
113 79 14405 0 0 0
114 79 14305 0 0 0
115 81 14504 0 0 0
116 80 14244 0 0 0
117 81 14549 0 0 0
118 80 14443 0 0 0
119 79 14326 0 0 0
120 79 14440 0 0 0
121 79 14294 0 0 0
122 80 14480 0 0 0
123 80 14346 1 0 0
124 79 14163 2 0 0
125 78 14034 2 0 0
126 79 14213 2 0 0
127 77 13983 2 0 0
128 78 14202 2 0 0
129 78 14057 2 0 0
130 78 14086 2 0 0
131 79 14175 2 0 0
132 78 13970 2 0 0
133 78 14082 2 0 0
134 77 13996 2 0 0
135 77 14193 1 0 0
136 78 14488 0 0 0
137 77 14313 0 0 0
138 77 14401 0 0 0
139 77 14453 0 0 0
140 76 14307 0 0 0
141 76 14406 0 0 0
142 76 14434 0 0 0
143 75 14291 0 0 0
144 76 14497 0 0 0
145 76 14396 0 0 0
146 77 14473 0 0 0
147 77 14419 0 0 0
148 76 14251 0 0 0
149 76 14376 0 0 0
150 76 14382 0 0 0
151 76 14362 0 0 0
152 77 14495 0 0 0
153 77 14432 0 0 0
154 77 14362 0 0 0
155 77 14399 0 0 0
156 77 14451 0 0 0
157 77 14440 0 0 0
158 77 14370 0 0 0
159 78 14496 0 0 0
160 78 14459 0 0 0
161 78 14439 0 0 0
162 78 14462 0 0 0
163 77 14357 0 0 0
164 77 14276 1 0 0
165 75 13948 3 0 0
166 74 13779 4 0 0
167 75 13930 4 0 0
168 73 13601 4 0 0
169 73 13748 4 0 0
170 72 13723 4 0 0
171 72 13731 4 0 0
172 73 13831 4 0 0
173 74 13913 4 0 0
174 73 13710 4 0 0
175 74 13915 4 0 0
176 73 13966 3 0 0
177 74 14226 1 0 0
178 75 14472 0 0 0
179 74 14398 0 0 1
180 75 14434 0 0 0
181 74 14147 3 0 0
182 74 13808 5 0 0
183 73 13671 5 0 0
184 72 13627 5 0 0
185 72 13645 5 0 0
186 72 13680 5 0 0
187 72 13701 5 0 0
188 72 13477 6 0 0
189 69 12785 10 0 0
190 70 12855 10 0 0
