block n60 sum_rr60 bad60 hold drowsy
0 5 874 1 1 0
1 11 1978 1 1 0
2 18 3249 1 1 0
3 25 4407 1 1 0
4 32 5568 1 1 0
5 40 6880 1 1 0
6 47 8053 1 1 0
7 53 9155 1 1 0
8 61 10500 1 1 0
9 68 11662 1 1 0
10 74 12790 1 1 0
11 80 13941 1 1 0
12 82 14399 0 1 0
13 82 14391 0 1 0
14 82 14426 0 1 0
15 82 14501 0 1 0
16 81 14440 0 1 0
17 80 14348 0 1 0
18 80 14359 0 1 0
19 82 14564 0 1 0
20 80 14320 0 1 0
21 80 14417 0 1 0
22 81 14506 0 1 0
23 81 14515 0 1 0
24 81 14438 0 1 0
25 81 14546 0 1 0
26 80 14395 0 1 0
27 79 14321 0 1 0
28 79 14417 0 1 0
29 78 14384 0 1 0
30 77 14383 0 1 0
31 76 14362 0 1 0
32 76 14336 0 1 0
33 76 14404 0 1 0
34 75 14302 0 1 0
35 76 14439 0 1 0
36 75 14257 0 0 0
37 76 14287 0 0 0
38 78 14423 0 0 0
39 79 14433 0 0 0
40 80 14482 0 0 0
41 80 14417 0 0 0
42 80 14390 0 0 0
43 80 14372 0 0 0
44 81 14548 0 0 0
45 80 14285 0 0 0
46 81 14392 0 0 0
47 82 14388 0 0 0
48 83 14532 0 0 0
49 83 14517 0 0 0
50 81 14356 0 0 0
51 81 14436 0 0 0
52 80 14341 0 0 0
53 81 14468 0 0 0
54 81 14395 0 0 0
55 81 14411 0 0 0
56 80 14241 0 0 0
57 81 14436 0 0 0
58 81 14526 0 0 0
59 79 14317 0 0 0
60 79 14376 0 0 0
61 79 14399 0 0 0
62 79 14315 0 0 0
63 80 14370 0 0 0
64 81 14388 0 0 0
65 81 14403 0 0 0
66 81 14419 0 0 0
67 81 14436 0 0 0
68 81 14455 0 0 0
69 81 14478 0 0 0
70 80 14280 0 0 0
71 81 14403 0 0 0
72 81 14437 0 0 0
73 80 14308 0 0 0
74 81 14519 0 0 0
75 80 14429 0 0 0
76 79 14341 0 0 0
77 80 14417 0 0 0
78 81 14491 0 0 0
79 81 14403 0 0 0
80 82 14485 0 0 0
81 82 14375 0 0 0
82 83 14448 0 0 0
83 83 14430 0 0 0
84 83 14259 0 0 0
85 84 14421 0 0 0
86 83 14262 0 0 0
87 83 14389 0 0 0
88 83 14386 0 0 0
89 82 14346 0 0 0
90 81 14330 0 0 0
91 80 14173 1 0 0
92 79 14195 1 0 0
93 78 14234 1 0 0
94 77 14249 1 0 0
95 76 14240 1 0 0
96 75 14209 1 0 0
97 74 14130 1 0 0
98 74 14221 1 0 1
99 74 14158 1 0 0
100 74 14188 1 0 0
101 74 14112 1 0 0
102 75 14161 1 0 0
103 76 14281 0 0 0
104 77 14295 0 0 0
105 79 14400 0 0 0
106 80 14391 0 0 0
107 81 14299 0 0 0
108 83 14504 0 0 0
109 84 14498 0 0 0
110 85 14511 0 0 0
111 84 14345 0 0 0
112 85 14532 0 0 0
113 84 14427 0 0 0
114 83 14348 0 0 0
115 83 14482 0 0 0
116 83 14498 0 0 0
117 81 14346 0 0 0
118 81 14402 0 0 0
119 81 14529 0 0 0
120 79 14376 0 0 0
121 79 14399 0 0 0
122 80 14425 0 0 0
123 81 14409 0 0 0
124 81 14284 0 0 0
125 82 14397 0 0 0
126 83 14474 0 0 0
127 83 14459 0 0 0
128 83 14363 0 0 0
129 84 14431 0 0 0
130 83 14261 0 0 0
131 83 14397 0 0 0
132 83 14329 0 0 0
133 83 14373 0 0 0
134 82 14313 0 0 0
135 83 14503 0 0 0
136 82 14355 0 0 0
137 82 14406 0 0 0
138 82 14449 0 0 0
139 82 14407 0 0 0
140 82 14464 0 0 0
141 81 14303 0 0 0
142 82 14429 0 0 0
143 82 14314 0 0 0
144 83 14457 0 0 0
145 82 14326 0 0 0
146 82 14403 0 0 0
147 81 14360 0 0 0
148 81 14449 0 0 0
149 81 14403 0 0 0
150 81 14311 0 0 0
151 81 14270 0 0 0
152 81 14360 0 0 0
153 81 14415 0 0 0
154 81 14486 0 0 0
155 81 14480 0 0 0
156 80 14319 0 0 0
157 81 14413 0 0 0
158 81 14480 0 0 0
159 80 14319 0 0 0
160 82 14492 0 0 0
161 82 14470 0 0 0
162 81 14365 0 0 0
163 81 14481 0 0 0
164 81 14421 0 0 0
165 81 14371 0 0 0
166 81 14294 0 0 0
167 82 14393 0 0 0
168 83 14476 0 0 0
169 83 14404 0 0 0
170 83 14316 0 0 0
171 84 14391 0 0 0
172 83 14323 0 0 0
173 83 14333 0 0 0
174 84 14574 0 0 0
175 83 14322 0 0 0
176 83 14278 0 0 0
177 85 14547 0 0 0
178 85 14480 0 0 0
179 84 14343 0 0 0
180 84 14418 0 0 0
181 84 14481 0 0 0
182 83 14341 0 0 0
183 83 14401 0 0 0
184 82 14417 0 0 0
185 81 14349 0 0 0
186 81 14293 0 0 0
187 82 14423 0 0 0
188 82 14408 0 0 0
189 81 14261 0 0 0
190 81 14316 0 0 0
191 81 14317 0 0 0
192 81 14328 0 0 0
193 81 14310 0 0 0
194 82 14402 0 0 0
195 82 14417 0 0 0
196 83 14465 0 0 0
197 84 14518 0 0 0
198 84 14459 0 0 0
199 84 14447 0 0 0
200 84 14529 0 0 0
201 83 14396 0 0 0
202 83 14431 0 0 0
203 83 14547 0 0 0
204 82 14363 0 0 0
205 83 14503 0 0 0
206 83 14503 0 0 0
207 83 14452 0 0 0
208 82 14338 0 0 0
209 82 14417 0 0 0
210 82 14393 0 0 0
211 82 14331 0 0 0
212 81 14233 0 0 0
213 82 14511 0 0 0
214 81 14437 0 0 0
215 80 14252 0 0 0
216 81 14499 0 0 0
217 79 14269 0 0 0
218 79 14333 0 0 0
219 79 14347 0 0 0
220 80 14410 0 0 0
221 80 14356 0 0 0
222 80 14413 0 0 0
223 80 14483 0 0 0
224 80 14463 0 0 0
225 80 14281 0 0 0
226 81 14369 0 0 0
227 82 14556 0 0 0
228 81 14299 0 0 0
229 83 14530 0 0 0
230 83 14446 0 0 0
231 83 14384 0 0 0
232 83 14344 0 0 0
233 84 14457 0 0 0
234 84 14441 0 0 0
235 84 14428 0 0 0
236 85 14448 0 0 0
237 85 14472 0 0 0
238 85 14399 0 0 0
239 85 14286 0 0 0
240 86 14448 0 0 0
241 85 14373 0 0 0
242 85 14411 0 0 0
243 85 14536 0 0 0
244 84 14444 0 0 0
245 83 14330 0 0 0
246 83 14314 0 0 0
247 84 14411 0 0 0
248 83 14354 0 0 0
249 82 14299 0 0 0
250 82 14462 0 0 0
251 81 14356 0 0 0
252 82 14472 0 0 0
253 82 14429 0 0 0
254 81 14299 0 0 0
255 81 14268 0 0 0
256 82 14424 0 0 0
257 82 14385 0 0 0
258 82 14448 0 0 0
259 80 14231 0 0 0
260 81 14453 0 0 0
261 81 14424 0 0 0
262 82 14438 0 0 0
263 83 14471 0 0 0
264 82 14364 0 0 0
265 81 14342 0 0 0
266 82 14536 0 0 0
267 82 14520 0 0 0
268 81 14316 0 0 0
269 81 14346 0 0 0
270 81 14297 0 0 0
271 82 14486 0 0 0
272 81 14320 0 0 0
273 82 14423 0 0 0
274 81 14294 0 0 0
275 81 14404 0 0 0
276 81 14339 0 0 0
277 82 14337 0 0 0
278 82 14317 0 0 0
279 82 14305 0 0 0
280 83 14458 0 0 0
281 83 14426 0 0 0
282 83 14400 0 0 0
283 83 14482 0 0 0
284 83 14443 0 0 0
285 82 14487 0 0 0
286 81 14415 0 0 0
287 80 14386 0 0 0
288 80 14505 0 0 0
289 80 14515 0 0 0
290 80 14470 0 0 0
291 80 14459 0 0 0
292 80 14484 0 0 0
293 79 14342 0 0 0
294 79 14473 0 0 0
295 79 14314 0 0 0
