block n60 sum_rr60 bad60 hold drowsy alert
0 5 882 1 1 0 0
1 12 2093 1 1 0 0
2 19 3257 1 1 0 0
3 26 4520 1 1 0 0
4 32 5708 1 1 0 0
5 38 6911 1 1 0 0
6 44 8126 1 1 0 0
7 50 9318 1 1 0 0
8 55 10342 1 1 0 0
9 61 11561 1 1 0 0
10 67 12811 1 1 0 0
11 73 14054 1 1 0 0
12 74 14392 0 1 0 0
13 73 14305 0 1 0 0
14 73 14437 0 1 0 0
15 72 14265 0 1 0 0
16 72 14353 0 1 0 0
17 71 14339 0 1 0 0
18 70 14244 0 1 0 0
19 70 14368 0 1 0 0
20 70 14404 0 1 0 0
21 70 14509 0 1 0 0
22 69 14381 0 1 0 0
23 69 14463 0 1 0 0
24 68 14307 0 1 0 0
25 68 14413 0 1 0 0
26 67 14406 0 1 0 0
27 67 14531 0 1 0 0
28 66 14316 0 1 0 0
29 67 14449 0 1 0 0
30 67 14383 0 1 0 0
31 67 14416 0 1 0 0
32 67 14442 0 1 0 0
33 66 14330 0 1 0 0
34 67 14534 0 1 0 0
35 66 14349 0 1 0 0
36 66 14536 0 0 1 1
37 65 14497 0 0 1 0
38 64 14372 0 0 1 0
39 63 14288 0 0 1 0
40 64 14513 0 0 1 0
41 63 14279 0 0 1 0
42 64 14552 0 0 1 1
43 63 14287 0 0 1 0
44 64 14494 0 0 1 0
45 65 14501 0 0 1 0
46 64 14220 0 0 1 0
47 65 14319 0 0 1 0
48 66 14268 0 0 0 0
49 67 14324 0 0 0 0
50 68 14294 0 0 0 0
51 69 14413 0 0 0 0
52 69 14409 0 0 0 0
53 69 14380 0 0 0 0
54 69 14253 0 0 0 0
55 70 14493 0 0 0 0
56 69 14350 0 0 0 0
57 68 14278 0 0 0 0
58 69 14575 0 0 0 0
59 68 14399 0 0 0 0
60 68 14514 0 0 0 0
61 67 14356 0 0 0 0
62 67 14482 0 0 0 0
63 66 14318 0 0 0 0
64 66 14371 0 0 0 0
65 66 14430 0 0 1 1
66 65 14364 0 0 1 0
67 65 14380 0 0 1 0
68 65 14391 0 0 1 0
69 66 14541 0 0 1 0
70 65 14268 0 0 1 0
71 66 14449 0 0 1 1
72 66 14421 0 0 0 0
73 67 14510 0 0 0 0
74 66 14328 0 0 0 0
75 67 14509 0 0 0 0
76 67 14464 0 0 0 0
77 67 14408 0 0 0 0
78 68 14575 0 0 0 0
79 67 14341 0 0 0 0
80 67 14310 0 0 0 0
81 67 14340 0 0 0 0
82 67 14453 0 0 0 0
83 66 14306 0 0 0 0
84 66 14384 0 0 0 0
85 65 14362 0 0 1 1
86 66 14513 0 0 1 0
87 65 14354 0 0 1 0
88 65 14330 0 0 1 0
89 65 14329 0 0 1 0
90 65 14309 0 0 1 0
91 66 14495 0 0 1 1
92 66 14441 0 0 1 0
93 66 14452 0 0 1 0
94 66 14413 0 0 0 0
95 66 14371 0 0 0 0
96 66 14398 0 0 0 0
97 66 14392 0 0 0 0
98 65 14261 0 0 1 1
99 66 14444 0 0 1 0
100 66 14399 0 0 0 0
101 66 14479 0 0 1 0
102 65 14337 0 0 1 0
103 65 14397 0 0 1 0
104 65 14477 0 0 1 1
105 64 14266 0 0 1 0
106 65 14468 0 0 1 0
107 65 14509 0 0 1 0
108 64 14247 0 0 1 0
109 65 14461 0 0 1 0
110 65 14405 0 0 1 1
111 65 14391 0 0 1 0
112 65 14463 0 0 1 0
113 65 14381 0 0 1 0
114 66 14570 0 0 1 0
115 65 14286 0 0 1 0
116 66 14454 0 0 1 1
117 66 14387 0 0 0 0
118 66 14341 0 0 0 0
119 66 14324 0 0 0 0
120 67 14533 0 0 0 0
121 66 14250 0 0 0 0
122 67 14475 0 0 0 0
123 67 14376 0 0 0 0
124 67 14355 0 0 0 0
125 67 14406 0 0 0 0
126 67 14397 0 0 0 0
127 67 14458 0 0 0 0
128 67 14413 0 0 0 0
129 67 14396 0 0 0 0
130 67 14422 0 0 0 0
131 67 14431 0 0 0 0
132 67 14438 0 0 0 0
133 67 14430 0 0 0 0
134 67 14495 0 0 0 0
135 66 14371 0 0 0 0
136 66 14391 0 0 0 0
137 66 14363 0 0 0 0
138 66 14361 0 0 0 0
139 66 14382 0 0 0 0
140 66 14350 0 0 0 0
141 66 14366 0 0 0 0
142 66 14350 0 0 0 0
143 66 14360 0 0 0 0
144 66 14342 0 0 0 0
145 66 14372 0 0 0 0
146 66 14343 0 0 0 0
147 66 14352 0 0 0 0
148 66 14358 0 0 0 0
149 66 14393 0 0 0 0
150 66 14400 0 0 0 0
151 66 14320 0 0 0 0
152 66 14428 0 0 1 1
153 66 14455 0 0 1 0
154 66 14494 0 0 1 0
155 66 14516 0 0 1 0
156 66 14462 0 0 1 0
157 66 14427 0 0 1 0
158 66 14359 0 0 0 0
159 67 14520 0 0 0 0
160 66 14297 0 0 0 0
161 67 14464 0 0 0 0
162 66 14278 0 0 0 0
163 67 14569 0 0 0 0
164 66 14346 0 0 0 0
165 67 14543 0 0 0 0
166 66 14266 0 0 0 0
167 67 14440 0 0 0 0
168 66 14216 0 0 0 0
169 67 14422 0 0 0 0
170 66 14341 0 0 0 0
171 66 14418 0 0 0 0
172 67 14609 0 0 0 0
173 66 14364 0 0 0 0
174 67 14478 0 0 0 0
175 66 14226 0 0 0 0
176 67 14331 0 0 0 0
177 67 14313 0 0 0 0
178 68 14492 0 0 0 0
179 67 14271 0 0 0 0
180 69 14595 0 0 0 0
181 68 14326 0 0 0 0
182 69 14382 0 0 0 0
183 69 14275 0 0 0 0
184 69 14247 0 0 0 0
185 70 14479 0 0 0 0
186 69 14342 0 0 0 0
187 70 14540 0 0 0 0
188 69 14384 0 0 0 0
189 69 14411 0 0 0 0
190 68 14283 0 0 0 0
191 68 14369 0 0 0 0
192 67 14291 0 0 0 0
193 67 14397 0 0 0 0
194 67 14540 0 0 0 0
195 66 14446 0 0 1 1
196 66 14361 0 0 0 0
197 66 14419 0 0 0 0
198 66 14386 0 0 0 0
199 66 14426 0 0 1 0
200 66 14455 0 0 1 0
201 66 14445 0 0 1 1
202 66 14425 0 0 0 0
203 67 14606 0 0 0 0
204 66 14323 0 0 0 0
205 67 14437 0 0 0 0
206 67 14372 0 0 0 0
207 67 14334 0 0 0 0
208 67 14495 0 0 0 0
209 66 14265 0 0 0 0
210 67 14535 0 0 0 0
211 66 14264 0 0 0 0
212 66 14314 0 0 0 0
213 66 14358 0 0 0 0
214 66 14379 0 0 0 0
215 66 14356 0 0 0 0
216 66 14444 0 0 1 1
217 66 14438 0 0 1 0
218 66 14405 0 0 0 0
219 66 14404 0 0 0 0
220 66 14399 0 0 0 0
221 66 14440 0 0 1 0
222 66 14419 0 0 0 0
223 66 14450 0 0 1 1
224 66 14396 0 0 0 0
225 66 14445 0 0 1 0
