block n60 sum_rr60 bad60 hold drowsy
0 5 882 1 1 0
1 12 2153 1 1 0
2 18 3229 1 1 0
3 25 4507 1 1 0
4 32 5796 1 1 0
5 38 6920 1 1 0
6 45 8091 1 1 0
7 52 9337 1 1 0
8 59 10597 1 1 0
9 65 11676 1 1 0
10 71 12836 1 1 0
11 78 14147 1 1 0
12 79 14391 0 1 0
13 79 14392 0 1 0
14 80 14545 0 1 0
15 80 14468 0 1 0
16 79 14266 0 1 0
17 80 14423 0 1 0
18 79 14382 0 1 0
19 79 14442 0 1 0
20 78 14300 0 1 0
21 79 14471 0 1 0
22 79 14424 0 1 0
23 80 14435 0 1 0
24 80 14373 0 1 0
25 80 14374 0 1 0
26 79 14276 0 1 0
27 79 14416 0 1 0
28 79 14451 0 1 0
29 78 14291 0 1 0
30 79 14495 0 1 0
31 78 14309 0 1 0
32 78 14349 0 1 0
33 78 14443 0 1 0
34 78 14471 0 1 0
35 76 14280 0 1 0
36 76 14388 0 0 0
37 76 14460 0 0 0
38 76 14396 0 0 0
39 76 14366 0 0 0
40 76 14335 0 0 0
41 77 14425 0 0 0
42 77 14361 0 0 0
43 77 14383 0 0 0
44 77 14359 0 0 0
45 76 14208 0 0 0
46 76 14294 0 0 0
47 77 14496 0 0 0
48 77 14439 0 0 0
49 76 14254 0 0 0
50 77 14531 0 0 0
51 76 14348 0 0 0
52 76 14439 0 0 0
53 75 14399 0 0 0
54 75 14443 0 0 0
55 75 14420 0 0 0
56 76 14516 0 0 0
57 77 14573 0 0 0
58 78 14567 0 0 0
59 77 14429 0 0 0
60 77 14464 0 0 0
61 77 14472 0 0 0
62 76 14276 0 0 0
63 77 14462 0 0 0
64 77 14406 0 0 0
65 77 14386 0 0 0
66 77 14328 0 0 0
67 77 14333 0 0 0
68 77 14437 0 0 0
69 76 14233 0 0 0
70 76 14396 0 0 0
71 76 14305 0 0 0
72 76 14324 0 0 0
73 76 14365 0 0 0
74 76 14422 0 0 0
75 75 14288 0 0 0
76 75 14340 0 0 0
77 75 14382 0 0 0
78 75 14497 0 0 0
79 75 14527 0 0 0
80 74 14439 0 0 1
81 73 14400 0 0 1
82 72 14255 0 0 1
83 72 14402 0 0 1
84 72 14464 0 0 1
85 72 14447 0 0 1
86 72 14446 0 0 1
87 72 14410 0 0 1
88 73 14522 0 0 1
89 73 14465 0 0 1
90 72 14245 0 0 1
91 73 14405 0 0 1
92 73 14246 0 0 1
93 76 14575 0 0 0
94 77 14534 0 0 0
95 77 14346 0 0 0
96 78 14402 0 0 0
97 79 14475 0 0 0
98 79 14356 0 0 0
99 80 14466 0 0 0
100 79 14296 0 0 0
101 80 14448 0 0 0
102 80 14389 0 0 0
103 80 14367 0 0 0
104 80 14421 0 0 0
105 79 14408 0 0 0
106 78 14378 0 0 0
107 78 14463 0 0 0
108 78 14376 0 0 0
109 78 14367 0 0 0
110 78 14355 0 0 0
111 78 14417 0 0 0
112 78 14377 0 0 0
113 78 14382 0 0 0
114 78 14381 0 0 0
115 78 14398 0 0 0
116 78 14386 0 0 0
117 78 14408 0 0 0
118 78 14359 0 0 0
119 78 14334 0 0 0
120 77 14327 0 0 0
121 77 14433 0 0 0
122 77 14532 0 0 0
123 76 14371 0 0 0
124 77 14518 0 0 0
125 76 14334 0 0 0
126 77 14499 0 0 0
127 76 14314 0 0 0
128 77 14490 0 0 0
129 76 14235 0 0 0
130 77 14377 0 0 0
131 78 14527 0 0 0
132 79 14480 0 0 0
133 79 14397 0 0 0
134 79 14321 0 0 0
135 80 14422 0 0 0
136 80 14450 0 0 0
137 80 14438 0 0 0
138 79 14306 0 0 0
139 80 14475 0 0 0
140 79 14291 0 0 0
141 80 14564 0 0 0
142 79 14413 0 0 0
143 78 14269 0 0 0
144 78 14410 0 0 0
145 77 14243 0 0 0
146 78 14394 0 0 0
147 78 14441 0 0 0
148 77 14257 0 0 0
149 78 14347 0 0 0
150 79 14492 0 0 0
151 79 14470 0 0 0
152 79 14464 0 0 0
153 78 14254 0 0 0
154 79 14435 0 0 0
155 80 14550 0 0 0
156 80 14443 0 0 0
157 80 14457 0 0 0
158 79 14334 0 0 0
159 79 14379 0 0 0
160 79 14396 0 0 0
161 79 14500 0 0 0
162 78 14373 0 0 0
163 78 14411 0 0 0
164 78 14384 0 0 0
165 79 14497 0 0 0
166 78 14323 0 0 0
167 77 14251 0 0 0
168 78 14414 0 0 0
169 78 14401 0 0 0
170 79 14562 0 0 0
171 78 14352 0 0 0
172 78 14385 0 0 0
173 78 14424 0 0 0
174 78 14427 0 0 0
175 78 14301 0 0 0
176 79 14500 0 0 0
177 79 14446 0 0 0
178 79 14434 0 0 0
179 80 14504 0 0 0
180 78 14279 0 0 0
181 78 14358 0 0 0
182 78 14412 0 0 0
183 78 14403 0 0 0
184 78 14480 0 0 0
185 77 14306 0 0 0
186 78 14448 0 0 0
187 78 14403 0 0 0
188 78 14316 0 0 0
189 78 14331 0 0 0
190 78 14359 0 0 0
191 78 14431 0 0 0
192 78 14415 0 0 0
193 79 14540 0 0 0
194 78 14337 0 0 0
195 78 14382 0 0 0
196 79 14423 0 0 0
197 79 14380 0 0 0
198 79 14428 0 0 0
199 78 14383 0 0 0
200 77 14382 0 0 0
201 77 14419 0 0 0
202 77 14405 0 0 0
203 77 14422 0 0 0
204 77 14367 0 0 0
205 77 14315 0 0 0
206 77 14295 0 0 0
207 78 14400 0 0 0
208 78 14460 0 0 0
209 78 14443 0 0 0
210 78 14401 0 0 0
211 78 14383 0 0 0
212 79 14406 0 0 0
213 79 14374 0 0 0
214 80 14524 0 0 0
215 79 14273 0 0 0
216 79 14382 0 0 0
217 79 14447 0 0 0
218 80 14552 0 0 0
219 79 14322 0 0 0
220 79 14268 0 0 0
221 80 14406 0 0 0
222 79 14238 0 0 0
223 80 14464 0 0 0
224 80 14505 0 0 0
225 79 14410 0 0 0
226 78 14251 0 0 0
227 79 14398 0 0 0
228 80 14428 0 0 0
229 80 14272 0 0 0
230 80 14283 0 0 0
231 81 14422 0 0 0
232 81 14492 0 0 0
233 80 14390 0 0 0
234 80 14416 0 0 0
235 80 14382 0 0 0
236 79 14247 0 0 0
237 80 14404 0 0 0
238 80 14408 0 0 0
239 80 14393 0 0 0
240 81 14522 0 0 0
241 81 14531 0 0 0
242 80 14430 0 0 0
243 79 14414 0 0 0
244 79 14421 0 0 0
245 79 14436 0 0 0
246 79 14400 0 0 0
247 79 14474 0 0 0
248 79 14548 0 0 0
249 78 14446 0 0 0
250 78 14521 0 0 0
251 77 14499 0 0 0
252 75 14269 0 0 0
253 75 14366 0 0 0
254 76 14504 0 0 0
255 76 14433 0 0 0
256 76 14355 0 0 0
257 77 14409 0 0 0
258 78 14534 0 0 0
259 78 14400 0 0 0
260 78 14277 0 0 0
261 79 14378 0 0 0
262 79 14315 0 0 0
263 80 14423 0 0 0
264 80 14457 0 0 0
265 80 14455 0 0 0
266 79 14291 0 0 0
267 80 14457 0 0 0
268 80 14400 0 0 0
269 79 14286 0 0 0
270 79 14266 0 0 0
271 79 14256 0 0 0
272 80 14388 0 0 0
273 80 14356 0 0 0
274 81 14433 0 0 0
275 81 14368 0 0 0
276 82 14427 0 0 0
277 82 14363 0 0 0
278 83 14438 0 0 0
279 82 14269 0 0 0
280 82 14313 0 0 0
281 83 14481 0 0 0
282 83 14516 0 0 0
283 82 14384 0 0 0
284 82 14427 0 0 0
285 82 14410 0 0 0
286 81 14325 0 0 0
287 81 14371 0 0 0
288 81 14464 0 0 0
289 80 14349 0 0 0
290 80 14424 0 0 0
291 80 14423 0 0 0
292 80 14458 0 0 0
293 80 14463 0 0 0
294 79 14292 0 0 0
295 80 14462 0 0 0
296 80 14450 0 0 0
297 79 14323 0 0 0
298 80 14499 0 0 0
299 79 14353 0 0 0
300 79 14386 0 0 0
301 79 14416 0 0 0
