block n60 sum_rr60 bad60 hold drowsy alert
0 3 470 3 1 0 0
1 9 1620 3 1 0 0
2 16 2874 3 1 0 0
3 23 4090 3 1 0 0
4 30 5304 3 1 0 0
5 37 6575 3 1 0 0
6 43 7714 3 1 0 0
7 49 8853 3 1 0 0
8 55 10033 3 1 0 0
9 61 11200 3 1 0 0
10 68 12531 3 1 0 0
11 74 13707 3 1 0 0
12 77 14378 0 1 0 0
13 77 14393 0 1 0 0
14 77 14481 0 1 0 0
15 76 14421 0 1 0 0
16 75 14338 0 1 0 0
17 75 14345 0 1 0 0
18 75 14205 0 1 0 0
19 74 13987 2 1 0 0
20 75 14028 2 1 0 0
21 75 14013 2 1 0 0
22 74 13824 2 1 0 0
23 74 13811 2 1 0 0
24 75 14020 2 1 0 0
25 75 14005 2 1 0 0
26 74 13798 2 1 0 0
27 75 13928 2 1 0 0
28 75 13874 2 1 0 0
29 75 13935 2 1 0 0
30 75 14025 2 1 0 0
31 77 14432 0 1 0 0
32 76 14380 0 1 0 0
33 76 14423 0 1 0 0
34 76 14444 0 1 0 0
35 76 14494 0 1 0 0
36 75 14299 0 0 0 0
37 75 14278 0 0 0 0
38 76 14447 0 0 0 0
39 75 14297 0 0 0 0
40 76 14497 0 0 0 0
41 75 14337 0 0 0 0
42 75 14361 0 0 0 0
43 75 14387 0 0 0 0
44 75 14366 0 0 0 0
45 75 14349 0 0 0 0
46 75 14351 0 0 0 0
47 75 14323 0 0 0 0
48 75 14342 0 0 0 0
49 76 14547 0 0 0 0
50 75 14316 0 0 0 0
51 76 14456 0 0 0 0
52 76 14436 0 0 0 0
53 76 14399 0 0 0 0
54 76 14441 0 0 0 0
55 75 14278 0 0 0 0
56 75 14332 0 0 0 0
57 75 14360 0 0 0 0
58 75 14359 0 0 0 0
59 75 14364 0 0 0 0
60 76 14528 0 0 0 0
61 75 14378 0 0 0 0
62 75 14454 0 0 0 0
63 74 14331 0 0 0 0
64 73 14254 0 0 0 0
65 74 14441 0 0 0 0
66 74 14466 0 0 0 0
67 74 14395 0 0 0 0
68 75 14467 0 0 0 0
69 76 14466 0 0 0 0
70 77 14475 0 0 0 0
71 78 14530 0 0 0 0
72 78 14365 0 0 0 0
73 79 14415 0 0 0 0
74 79 14401 0 0 0 0
75 79 14386 0 0 0 0
76 80 14443 0 0 0 0
77 80 14373 0 0 0 0
78 80 14284 0 0 0 0
79 81 14458 0 0 0 0
80 80 14296 0 0 0 0
81 80 14395 0 0 0 0
82 80 14472 0 0 0 0
83 80 14420 0 0 0 0
84 79 14334 0 0 0 0
85 79 14353 0 0 0 0
86 80 14470 0 0 0 0
87 80 14456 0 0 0 0
88 79 14351 0 0 0 0
89 79 14421 0 0 0 0
90 79 14481 0 0 0 0
91 78 14336 0 0 0 0
92 79 14561 0 0 0 0
93 78 14415 0 0 0 0
94 77 14310 0 0 0 0
95 76 14296 0 0 0 0
96 77 14496 0 0 0 0
97 76 14339 0 0 0 0
98 76 14317 0 0 0 0
99 76 14363 0 0 0 0
100 77 14575 0 0 0 0
101 76 14425 0 0 0 0
102 76 14395 0 0 0 0
103 76 14423 0 0 0 0
104 75 14257 0 0 0 0
105 75 14281 0 0 0 0
106 75 14335 0 0 0 0
107 76 14486 0 0 0 0
108 76 14374 0 0 0 0
109 77 14384 0 0 0 0
110 76 14401 0 0 0 0
111 76 14476 0 0 0 0
112 75 14243 0 0 0 0
113 75 14233 0 0 0 0
114 76 14455 0 0 0 0
115 76 14448 0 0 0 0
116 76 14460 0 0 0 0
117 76 14424 0 0 0 0
118 77 14536 0 0 0 0
119 76 14338 0 0 0 0
120 76 14465 0 0 0 0
121 75 14454 0 0 0 0
122 75 14387 0 0 0 0
123 76 14469 0 0 0 0
124 76 14532 0 0 0 0
125 76 14550 0 0 0 0
126 75 14339 0 0 0 0
127 75 14306 0 0 0 0
128 75 14334 0 0 0 0
129 75 14387 0 0 0 0
130 75 14435 0 0 0 0
131 75 14489 0 0 0 0
132 74 14316 0 0 0 0
133 74 14383 0 0 0 0
134 75 14527 0 0 0 0
135 74 14377 0 0 0 0
136 74 14306 0 0 0 0
137 75 14440 0 0 0 0
138 75 14466 0 0 0 0
139 75 14488 0 0 0 0
140 75 14427 0 0 0 0
141 75 14390 0 0 0 0
142 75 14340 0 0 0 0
143 75 14276 0 0 0 0
144 76 14444 0 0 0 0
145 76 14417 0 0 0 0
146 75 14231 0 0 0 0
147 76 14364 0 0 0 0
148 76 14388 0 0 0 0
149 76 14360 0 0 0 0
150 76 14332 0 0 0 0
151 76 14297 0 0 0 0
152 77 14439 0 0 0 0
153 78 14558 0 0 0 0
154 77 14396 0 0 0 0
155 77 14443 0 0 0 0
156 76 14301 0 0 0 0
157 77 14486 0 0 0 0
158 77 14486 0 0 0 0
159 76 14312 0 0 0 0
160 77 14506 0 0 0 0
161 76 14299 0 0 0 0
162 77 14486 0 0 0 0
163 77 14496 0 0 0 0
164 76 14324 0 0 0 0
165 76 14264 0 0 0 0
166 76 14291 0 0 0 0
167 77 14398 0 0 0 0
168 78 14529 0 0 0 0
169 77 14300 0 0 0 0
170 78 14465 0 0 0 0
171 78 14428 0 0 0 0
172 78 14391 0 0 0 0
173 78 14399 0 0 0 0
174 78 14386 0 0 0 0
175 78 14351 0 0 0 0
176 79 14547 0 0 0 0
177 78 14462 0 0 0 0
178 78 14445 0 0 0 0
179 78 14482 0 0 0 0
180 77 14322 0 0 0 0
181 78 14520 0 0 0 0
182 77 14327 0 0 0 0
183 77 14356 0 0 0 0
184 77 14364 0 0 0 0
185 77 14359 0 0 0 0
186 77 14362 0 0 0 0
187 77 14377 0 0 0 0
188 77 14365 0 0 0 0
189 77 14338 0 0 0 0
190 78 14505 0 0 0 0
191 77 14351 0 0 0 0
192 77 14366 0 0 0 0
193 76 14233 0 0 0 0
194 77 14459 0 0 0 0
195 77 14492 0 0 0 0
196 76 14337 0 0 0 0
197 76 14425 0 0 0 0
198 76 14466 0 0 0 0
199 76 14488 0 0 0 0
200 75 14296 0 0 0 0
201 76 14512 0 0 0 0
202 75 14320 0 0 0 0
203 75 14287 0 0 0 0
204 76 14451 0 0 0 0
205 76 14420 0 0 0 0
206 76 14415 0 0 0 0
207 76 14392 0 0 0 0
208 76 14407 0 0 0 0
209 76 14383 0 0 0 0
210 76 14391 0 0 0 0
211 76 14403 0 0 0 0
212 76 14425 0 0 0 0
213 75 14259 0 0 0 0
214 76 14430 0 0 0 0
215 76 14435 0 0 0 0
216 76 14417 0 0 0 0
217 76 14380 0 0 0 0
218 76 14262 0 0 0 0
219 77 14340 0 0 0 0
220 78 14482 0 0 0 0
221 78 14461 0 0 0 0
222 77 14242 0 0 0 0
223 78 14407 0 0 0 0
224 78 14369 0 0 0 0
225 79 14514 0 0 0 0
226 78 14335 0 0 0 0
227 79 14474 0 0 0 0
228 79 14457 0 0 0 0
229 79 14505 0 0 0 0
230 78 14384 0 0 0 0
231 78 14457 0 0 0 0
232 78 14420 0 0 0 0
233 78 14414 0 0 0 0
234 79 14555 0 0 0 0
235 78 14398 0 0 0 0
236 78 14428 0 0 0 0
237 78 14439 0 0 0 0
238 78 14456 0 0 0 0
239 77 14305 0 0 0 0
240 77 14356 0 0 0 0
241 77 14354 0 0 0 0
242 78 14563 0 0 0 0
243 77 14380 0 0 0 0
244 76 14274 0 0 0 0
245 77 14452 0 0 0 0
246 76 14375 0 0 0 0
247 77 14443 0 0 0 0
248 77 14370 0 0 0 0
249 77 14333 0 0 0 0
250 77 14328 0 0 0 0
251 78 14524 0 0 0 0
252 77 14326 0 0 0 0
253 77 14349 0 0 0 0
254 77 14324 0 0 0 0
255 77 14346 0 0 0 0
256 78 14518 0 0 0 0
257 77 14327 0 0 0 0
258 78 14449 0 0 0 0
259 77 14328 0 0 0 0
260 78 14532 0 0 0 0
261 78 14490 0 0 0 0
262 79 14546 0 0 0 0
263 78 14269 0 0 0 0
264 79 14386 0 0 0 0
265 80 14546 0 0 0 0
266 79 14388 0 0 0 0
267 79 14420 0 0 0 0
268 78 14245 0 0 0 0
269 79 14475 0 0 0 0
270 78 14255 0 0 0 0
271 79 14443 0 0 0 0
272 78 14278 0 0 0 0
273 78 14287 0 0 0 0
274 78 14392 0 0 0 0
275 78 14472 0 0 0 0
276 77 14400 0 0 0 0
277 76 14226 0 0 0 0
278 77 14461 0 0 0 0
279 77 14430 0 0 0 0
280 78 14538 0 0 0 0
281 77 14324 0 0 0 0
282 77 14355 0 0 0 0
283 77 14386 0 0 0 0
284 77 14424 0 0 0 0
285 76 14329 0 0 0 0
286 76 14376 0 0 0 0
287 76 14430 0 0 0 0
288 76 14427 0 0 0 0
289 76 14429 0 0 0 0
290 76 14405 0 0 0 0
291 76 14355 0 0 0 0
292 76 14423 0 0 0 0
293 76 14403 0 0 0 0
294 77 14585 0 0 0 0
295 76 14366 0 0 0 0
296 76 14363 0 0 0 0
297 77 14542 0 0 0 0
298 76 14281 0 0 0 0
299 77 14445 0 0 0 0
300 78 14494 0 0 0 0
301 78 14395 0 0 0 0
302 78 14370 0 0 0 0
303 78 14417 0 0 0 0
304 78 14364 0 0 0 0
305 78 14395 0 0 0 0
306 78 14382 0 0 0 0
307 78 14380 0 0 0 0
308 79 14491 0 0 0 0
309 79 14364 0 0 0 0
310 80 14563 0 0 0 0
311 79 14369 0 0 0 0
312 78 14283 0 0 0 0
313 79 14539 0 0 0 0
314 78 14311 0 0 0 0
315 78 14382 0 0 0 0
316 77 14305 0 0 0 0
317 78 14452 0 0 0 0
318 77 14283 0 0 0 0
319 78 14455 0 0 0 0
320 77 14335 0 0 0 0
321 77 14427 0 0 0 0
322 76 14238 0 0 0 0
323 77 14370 0 0 0 0
324 78 14515 0 0 0 0
325 77 14256 0 0 0 0
326 78 14481 0 0 0 0
327 78 14430 0 0 0 0
328 78 14398 0 0 0 0
329 78 14352 0 0 0 0
330 78 14374 0 0 0 0
331 77 14281 0 0 0 0
332 78 14549 0 0 0 0
333 76 14263 0 0 0 0
334 77 14537 0 0 0 0
335 76 14421 0 0 0 0
336 75 14336 0 0 0 0
337 75 14465 0 0 0 0
338 74 14335 0 0 0 0
339 74 14339 0 0 0 0
340 75 14536 0 0 0 0
341 74 14389 0 0 0 0
342 75 14549 0 0 0 0
343 75 14445 0 0 0 0
344 75 14278 0 0 0 0
345 77 14542 0 0 0 0
346 76 14296 0 0 0 0
347 77 14413 0 0 0 0
348 77 14427 0 0 0 0
349 77 14411 0 0 0 0
350 77 14421 0 0 0 0
351 77 14454 0 0 0 0
352 76 14269 0 0 0 0
353 77 14499 0 0 0 0
354 76 14381 0 0 0 0
355 76 14421 0 0 0 0
356 75 14345 0 0 0 0
357 75 14400 0 0 0 0
358 75 14415 0 0 0 0
359 74 14297 0 0 0 0
360 75 14423 0 0 0 0
361 75 14431 0 0 0 0
362 75 14435 0 0 0 0
363 76 14521 0 0 0 0
364 76 14449 0 0 0 0
365 75 14253 0 0 0 0
366 76 14360 0 0 0 0
367 77 14465 0 0 0 0
