block n60 sum_rr60 bad60 hold drowsy
0 4 830 1 1 0
1 10 2026 1 1 0
2 16 3253 1 1 0
3 22 4414 1 1 0
4 29 5774 1 1 0
5 35 6971 1 1 0
6 41 8188 1 1 0
7 46 9215 1 1 0
8 52 10440 1 1 0
9 58 11642 1 1 0
10 64 12868 1 1 0
11 70 14089 1 1 0
12 72 14507 0 1 0
13 72 14520 0 1 0
14 72 14511 0 1 0
15 72 14529 0 1 0
16 71 14392 0 1 0
17 70 14241 0 1 0
18 70 14247 0 1 0
19 71 14405 0 1 0
20 71 14406 0 1 0
21 71 14425 0 1 0
22 71 14415 0 1 0
23 71 14427 0 1 0
24 71 14413 0 1 0
25 71 14449 0 1 0
26 70 14255 0 1 0
27 70 14325 0 1 0
28 70 14347 0 1 0
29 71 14538 0 1 0
30 71 14535 0 1 0
31 71 14563 0 1 0
32 71 14517 0 1 0
33 71 14496 0 1 0
34 71 14507 0 1 0
35 70 14300 0 1 0
36 70 14282 0 0 0
37 70 14275 0 0 0
38 71 14525 0 0 0
39 71 14513 0 0 0
40 71 14480 0 0 0
41 70 14269 0 0 0
42 70 14274 0 0 0
43 70 14296 0 0 0
44 70 14333 0 0 0
45 70 14383 0 0 0
46 70 14406 0 0 0
47 70 14436 0 0 0
48 70 14493 0 0 0
49 70 14513 0 0 0
50 69 14307 0 0 0
51 69 14354 0 0 0
52 69 14370 0 0 0
53 70 14573 0 0 0
54 70 14546 0 0 0
55 69 14335 0 0 0
56 69 14328 0 0 0
57 70 14448 0 0 0
58 70 14386 0 0 0
59 71 14524 0 0 0
60 71 14440 0 0 0
61 71 14403 0 0 0
62 72 14539 0 0 0
63 72 14465 0 0 0
64 72 14361 0 0 0
65 72 14310 0 0 0
66 72 14348 0 0 0
67 73 14538 0 0 0
68 73 14572 0 0 0
69 71 14264 0 0 0
70 71 14291 0 0 0
71 71 14292 0 0 0
72 71 14324 0 0 0
73 71 14302 0 0 0
74 71 14298 0 0 0
75 71 14315 0 0 0
76 71 14413 0 0 0
77 71 14440 0 0 0
78 71 14415 0 0 0
79 71 14359 0 0 0
80 71 14357 0 0 0
81 71 14341 0 0 0
82 71 14390 0 0 0
83 71 14416 0 0 0
84 71 14410 0 0 0
85 71 14454 0 0 0
86 70 14329 0 0 0
87 70 14402 0 0 0
88 70 14408 0 0 0
89 70 14417 0 0 0
90 70 14410 0 0 0
91 69 14296 0 0 0
92 69 14308 0 0 0
93 70 14494 0 0 0
94 70 14479 0 0 0
95 70 14423 0 0 0
96 70 14314 0 0 0
97 70 14280 0 0 0
98 71 14477 0 0 0
99 70 14288 0 0 0
100 70 14366 0 0 0
101 70 14428 0 0 0
102 69 14284 0 0 0
103 70 14478 0 0 0
104 70 14434 0 0 0
105 70 14417 0 0 0
106 70 14406 0 0 0
107 70 14460 0 0 0
108 69 14392 0 0 0
109 69 14381 0 0 0
110 70 14498 0 0 0
111 71 14581 0 0 0
112 70 14296 0 0 0
113 70 14257 0 0 0
114 71 14438 0 0 0
115 71 14452 0 0 0
116 71 14394 0 0 0
117 71 14454 0 0 0
118 70 14307 0 0 0
119 70 14396 0 0 0
120 70 14431 0 0 0
121 70 14493 0 0 0
122 69 14369 0 0 0
123 68 14249 0 0 0
124 69 14458 0 0 0
125 69 14476 0 0 0
126 69 14468 0 0 0
127 69 14465 0 0 0
128 68 14358 0 0 0
129 68 14323 0 0 0
130 69 14436 0 0 0
131 69 14349 0 0 0
132 70 14514 0 0 0
133 69 14309 0 0 0
134 69 14314 0 0 0
135 70 14381 0 0 0
136 70 14428 0 0 0
137 70 14434 0 0 0
138 69 14315 0 0 0
139 69 14359 0 0 0
140 69 14368 0 0 0
141 69 14414 0 0 0
142 69 14470 0 0 0
143 68 14302 0 0 0
144 68 14288 0 0 0
145 69 14453 0 0 0
146 69 14443 0 0 0
147 68 14385 0 0 0
148 68 14393 0 0 0
149 68 14397 0 0 0
150 68 14327 0 0 0
151 68 14292 0 0 0
152 69 14479 0 0 0
153 69 14408 0 0 0
154 69 14363 0 0 0
155 70 14560 0 0 0
156 69 14390 0 0 0
157 69 14462 0 0 0
158 68 14295 0 0 0
159 69 14435 0 0 0
160 70 14515 0 0 0
161 70 14418 0 0 0
162 71 14534 0 0 0
163 71 14486 0 0 0
164 71 14439 0 0 0
165 71 14415 0 0 0
166 71 14338 0 0 0
167 72 14409 0 0 0
168 72 14388 0 0 0
169 72 14348 0 0 0
170 73 14527 0 0 0
171 73 14565 0 0 0
172 71 14209 0 0 0
173 71 14261 0 0 0
174 71 14363 0 0 0
175 71 14394 0 0 0
176 71 14394 0 0 0
177 71 14457 0 0 0
178 70 14377 0 0 0
179 69 14323 0 0 0
180 70 14537 0 0 0
181 70 14535 0 0 0
182 69 14282 0 0 0
183 69 14282 0 0 0
184 70 14488 0 0 0
185 70 14510 0 0 0
186 70 14485 0 0 0
187 70 14468 0 0 0
188 69 14304 0 0 0
189 69 14233 0 0 0
190 70 14411 0 0 0
191 70 14374 0 0 0
192 71 14392 0 0 0
193 71 14342 0 0 0
194 72 14569 0 0 0
195 71 14365 0 0 0
196 71 14396 0 0 0
197 71 14411 0 0 0
198 71 14391 0 0 0
199 71 14357 0 0 0
200 72 14429 0 0 0
201 72 14407 0 0 0
202 73 14497 0 0 0
203 73 14452 0 0 0
204 72 14385 0 0 0
205 72 14382 0 0 0
206 72 14342 0 0 0
207 73 14538 0 0 0
208 72 14315 0 0 0
209 72 14328 0 0 0
210 72 14367 0 0 0
211 72 14414 0 0 0
212 71 14348 0 0 0
213 71 14439 0 0 0
214 70 14372 0 0 0
215 70 14432 0 0 0
216 69 14264 0 0 0
217 69 14323 0 0 0
218 69 14427 0 0 0
219 68 14240 0 0 0
220 69 14467 0 0 0
221 69 14447 0 0 0
222 69 14431 0 0 0
223 68 14237 0 0 0
224 69 14430 0 0 0
225 69 14405 0 0 0
226 69 14371 0 0 0
227 69 14366 0 0 0
228 70 14581 0 0 0
229 69 14360 0 0 0
230 69 14319 0 0 0
231 70 14508 0 0 0
232 69 14326 0 0 0
233 69 14320 0 0 0
234 69 14299 0 0 0
235 70 14527 0 0 0
236 70 14559 0 0 0
237 69 14388 0 0 0
238 69 14401 0 0 0
239 69 14388 0 0 0
240 69 14340 0 0 0
241 70 14494 0 0 0
242 70 14401 0 0 0
243 70 14321 0 0 0
244 72 14586 0 0 0
245 72 14419 0 0 0
246 72 14488 0 0 0
247 71 14270 0 0 0
248 71 14263 0 0 0
249 72 14481 0 0 0
250 72 14477 0 0 0
251 72 14476 0 0 0
252 71 14316 0 0 0
253 71 14367 0 0 0
254 71 14414 0 0 0
255 71 14523 0 0 0
256 69 14258 0 0 0
257 69 14427 0 0 0
258 69 14431 0 0 0
259 69 14426 0 0 0
260 69 14459 0 0 0
261 69 14408 0 0 0
262 69 14426 0 0 0
263 68 14255 0 0 0
264 69 14460 0 0 0
265 69 14491 0 0 0
266 69 14482 0 0 0
267 69 14403 0 0 0
268 70 14484 0 0 0
269 71 14457 0 0 0
270 71 14386 0 0 0
271 72 14567 0 0 0
272 71 14288 0 0 0
273 71 14293 0 0 0
274 71 14308 0 0 0
275 72 14533 0 0 0
276 71 14340 0 0 0
277 71 14305 0 0 0
278 71 14321 0 0 0
279 71 14307 0 0 0
280 71 14392 0 0 0
281 70 14412 0 0 0
282 70 14414 0 0 0
283 69 14250 0 0 0
284 70 14509 0 0 0
285 70 14501 0 0 0
286 70 14486 0 0 0
287 69 14248 0 0 0
288 70 14440 0 0 0
289 70 14441 0 0 0
290 70 14439 0 0 0
291 70 14480 0 0 0
292 69 14300 0 0 0
293 69 14303 0 0 0
294 69 14328 0 0 0
295 70 14512 0 0 0
296 70 14488 0 0 0
297 69 14272 0 0 0
298 69 14243 0 0 0
299 70 14410 0 0 0
300 70 14396 0 0 0
301 70 14374 0 0 0
302 70 14338 0 0 0
303 70 14335 0 0 0
304 71 14519 0 0 0
305 70 14332 0 0 0
306 70 14387 0 0 0
307 70 14393 0 0 0
308 69 14208 0 0 0
309 70 14477 0 0 0
310 70 14508 0 0 0
311 69 14396 0 0 0
312 69 14435 0 0 0
313 69 14431 0 0 0
314 69 14425 0 0 0
315 69 14481 0 0 0
316 68 14341 0 0 0
317 69 14587 0 0 0
318 68 14398 0 0 0
319 67 14233 0 0 0
320 68 14464 0 0 0
321 68 14452 0 0 0
322 68 14446 0 0 0
323 68 14408 0 0 0
324 68 14434 0 0 0
325 68 14474 0 0 0
326 67 14299 0 0 0
327 67 14249 0 0 0
328 68 14376 0 0 0
329 68 14306 0 0 0
330 69 14448 0 0 0
331 70 14614 0 0 0
332 69 14386 0 0 0
333 69 14427 0 0 0
334 68 14257 0 0 0
335 69 14448 0 0 0
336 69 14379 0 0 0
337 69 14386 0 0 0
338 69 14412 0 0 0
339 69 14451 0 0 0
340 69 14441 0 0 0
341 69 14434 0 0 0
342 69 14313 0 0 0
343 69 14335 0 0 0
344 70 14540 0 0 0
345 69 14355 0 0 0
346 70 14549 0 0 0
347 69 14337 0 0 0
348 69 14371 0 0 0
349 69 14353 0 0 0
350 70 14594 0 0 0
351 69 14397 0 0 0
352 69 14440 0 0 0
353 68 14292 0 0 0
354 68 14407 0 0 0
355 68 14381 0 0 0
356 68 14372 0 0 0
357 68 14291 0 0 0
358 68 14263 0 0 0
359 69 14484 0 0 0
360 69 14514 0 0 0
361 68 14339 0 0 0
362 69 14371 0 0 0
363 69 14348 0 0 0
364 69 14296 0 0 0
365 70 14423 0 0 0
366 70 14427 0 0 0
367 70 14424 0 0 0
368 70 14421 0 0 0
369 70 14445 0 0 0
370 70 14461 0 0 0
371 70 14330 0 0 0
372 71 14350 0 0 0
373 72 14399 0 0 0
374 71 14315 0 0 0
375 72 14556 0 0 0
376 71 14440 0 0 0
377 71 14522 0 0 0
378 70 14341 0 0 0
379 70 14318 0 0 0
380 70 14301 0 0 0
381 71 14471 0 0 0
382 71 14435 0 0 0
383 71 14529 0 0 0
384 70 14455 0 0 0
385 69 14407 0 0 0
386 69 14478 0 0 0
387 68 14292 0 0 0
388 69 14501 0 0 0
389 68 14318 0 0 0
390 69 14561 0 0 0
391 68 14422 0 0 0
392 68 14487 0 0 0
393 67 14334 0 0 0
394 67 14413 0 0 0
395 66 14257 0 0 1
396 66 14276 0 0 1
397 67 14475 0 0 1
398 67 14407 0 0 0
399 67 14337 0 0 0
400 67 14286 0 0 0
401 68 14459 0 0 0
402 68 14402 0 0 0
403 68 14359 0 0 0
404 68 14305 0 0 0
405 69 14451 0 0 0
406 69 14359 0 0 0
407 70 14488 0 0 0
408 70 14496 0 0 0
409 70 14453 0 0 0
410 69 14257 0 0 0
411 70 14433 0 0 0
412 71 14524 0 0 0
413 70 14358 0 0 0
414 70 14329 0 0 0
415 70 14353 0 0 0
416 70 14403 0 0 0
417 70 14480 0 0 0
418 69 14316 0 0 0
419 69 14374 0 0 0
420 69 14315 0 0 0
421 69 14281 0 0 0
422 70 14383 0 0 0
423 70 14387 0 0 0
424 69 14289 0 0 0
425 70 14405 0 0 0
426 70 14449 0 0 0
427 71 14585 0 0 0
428 70 14320 0 0 0
429 70 14326 0 0 0
430 71 14551 0 0 0
431 70 14316 0 0 0
432 70 14321 0 0 0
433 70 14350 0 0 0
434 70 14422 0 0 0
435 70 14466 0 0 0
436 70 14514 0 0 0
437 69 14336 0 0 0
438 69 14367 0 0 0
439 68 14242 0 0 0
440 69 14478 0 0 0
441 69 14467 0 0 0
442 68 14234 0 0 0
443 69 14486 0 0 0
444 69 14496 0 0 0
445 69 14481 0 0 0
446 69 14497 0 0 0
447 69 14451 0 0 0
448 69 14402 0 0 0
449 69 14370 0 0 0
450 69 14365 0 0 0
451 70 14573 0 0 0
452 69 14397 0 0 0
453 69 14395 0 0 0
454 69 14463 0 0 0
455 69 14456 0 0 0
456 68 14292 0 0 0
457 68 14382 0 0 0
458 68 14394 0 0 0
459 68 14451 0 0 0
460 67 14225 0 0 0
461 68 14415 0 0 0
462 68 14328 0 0 0
463 68 14274 0 0 0
464 69 14404 0 0 0
465 69 14326 0 0 0
466 70 14440 0 0 0
467 70 14405 0 0 0
468 70 14393 0 0 0
469 70 14361 0 0 0
470 70 14428 0 0 0
471 69 14213 0 0 0
472 70 14468 0 0 0
473 70 14498 0 0 0
474 70 14562 0 0 0
475 69 14459 0 0 0
476 68 14322 0 0 0
477 68 14386 0 0 0
478 68 14479 0 0 0
479 67 14322 0 0 0
480 68 14539 0 0 0
481 68 14508 0 0 0
482 68 14279 0 0 0
483 70 14588 0 0 0
484 70 14507 0 0 0
485 69 14285 0 0 0
486 69 14211 0 0 0
487 70 14307 0 0 0
488 71 14424 0 0 0
489 71 14387 0 0 0
490 71 14323 0 0 0
491 71 14316 0 0 0
492 71 14328 0 0 0
493 71 14390 0 0 0
494 70 14393 0 0 0
495 69 14292 0 0 0
496 69 14325 0 0 0
497 70 14568 0 0 0
498 69 14399 0 0 0
499 69 14409 0 0 0
500 69 14484 0 0 0
501 68 14334 0 0 0
502 68 14372 0 0 0
503 69 14566 0 0 0
504 68 14337 0 0 0
505 68 14287 0 0 0
506 69 14410 0 0 0
507 69 14327 0 0 0
508 69 14330 0 0 0
509 69 14275 0 0 0
510 70 14440 0 0 0
511 70 14430 0 0 0
512 70 14428 0 0 0
513 70 14428 0 0 0
514 70 14430 0 0 0
515 69 14230 0 0 0
516 70 14478 0 0 0
517 70 14466 0 0 0
518 70 14500 0 0 0
519 70 14566 0 0 0
520 69 14384 0 0 0
521 69 14455 0 0 0
522 69 14536 0 0 0
523 68 14363 0 0 0
524 68 14323 0 0 0
525 69 14497 0 0 0
526 68 14314 0 0 0
527 69 14546 0 0 0
528 68 14334 0 0 0
529 68 14347 0 0 0
530 68 14341 0 0 0
531 68 14317 0 0 0
532 69 14511 0 0 0
533 69 14474 0 0 0
534 68 14244 0 0 0
535 69 14444 0 0 0
536 69 14451 0 0 0
