block n60 sum_rr60 bad60 hold drowsy alert
0 4 864 1 1 0 0
1 10 2180 1 1 0 0
2 15 3204 1 1 0 0
3 21 4501 1 1 0 0
4 26 5622 1 1 0 0
5 32 6907 1 1 0 0
6 38 8150 1 1 0 0
7 44 9397 1 1 0 0
8 49 10415 1 1 0 0
9 55 11619 1 1 0 0
10 61 12871 1 1 0 0
11 67 14112 1 1 0 0
12 69 14480 0 1 0 0
13 69 14417 0 1 0 0
14 69 14427 0 1 0 0
15 69 14377 0 1 0 0
16 70 14476 0 1 0 0
17 70 14411 0 1 0 0
18 70 14442 0 1 0 0
19 69 14256 0 1 0 0
20 70 14527 0 1 0 0
21 70 14548 0 1 0 0
22 70 14530 0 1 0 0
23 69 14322 0 1 0 0
24 69 14354 0 1 0 0
25 69 14347 0 1 0 0
26 69 14387 0 1 0 0
27 69 14403 0 1 0 0
28 69 14466 0 1 0 0
29 68 14374 0 1 0 0
30 68 14361 0 1 0 0
31 68 14351 0 1 0 0
32 68 14379 0 1 0 0
33 68 14422 0 1 0 0
34 67 14267 0 1 0 0
35 68 14506 0 1 0 0
36 68 14492 0 0 0 0
37 67 14284 0 0 0 0
38 68 14499 0 0 0 0
39 68 14518 0 0 0 0
40 67 14315 0 0 0 0
41 68 14404 0 0 0 0
42 68 14422 0 0 0 0
43 68 14476 0 0 0 0
44 68 14459 0 0 0 0
45 67 14237 0 0 0 0
46 68 14417 0 0 0 0
47 68 14396 0 0 0 0
48 67 14204 0 0 0 0
49 68 14461 0 0 0 0
50 68 14455 0 0 0 0
51 67 14279 0 0 0 0
52 68 14468 0 0 0 0
53 68 14405 0 0 0 0
54 68 14244 0 0 0 0
55 69 14412 0 0 0 0
56 69 14270 0 0 0 0
57 70 14445 0 0 0 0
58 70 14479 0 0 0 0
59 69 14281 0 0 0 0
60 70 14541 0 0 0 0
61 69 14342 0 0 0 0
62 69 14333 0 0 0 0
63 69 14313 0 0 0 0
64 69 14332 0 0 0 0
65 69 14465 0 0 0 0
66 68 14400 0 0 0 0
67 68 14390 0 0 0 0
68 68 14532 0 0 0 0
69 67 14414 0 0 0 0
70 67 14388 0 0 0 0
71 67 14399 0 0 0 0
72 67 14342 0 0 0 0
73 68 14516 0 0 0 0
74 67 14353 0 0 0 0
75 68 14562 0 0 0 0
76 67 14360 0 0 0 0
77 67 14379 0 0 0 0
78 67 14392 0 0 0 0
79 67 14412 0 0 0 0
80 67 14386 0 0 0 0
81 67 14334 0 0 0 0
82 67 14361 0 0 0 0
83 68 14549 0 0 0 0
84 67 14423 0 0 0 0
85 66 14296 0 0 0 0
86 67 14447 0 0 0 0
87 67 14415 0 0 0 0
88 67 14387 0 0 0 0
89 67 14332 0 0 0 0
90 68 14544 0 0 0 0
91 67 14308 0 0 0 0
92 67 14297 0 0 0 0
93 68 14469 0 0 0 0
94 68 14458 0 0 0 0
95 67 14262 0 0 0 0
96 68 14399 0 0 0 0
97 69 14517 0 0 0 0
98 68 14300 0 0 0 0
