block n60 sum_rr60 bad60 hold drowsy alert
0 5 803 2 1 0 0
1 12 1979 2 1 0 0
2 19 3149 2 1 0 0
3 27 4469 2 1 0 0
4 34 5668 2 1 0 0
5 40 6804 2 1 0 0
6 44 7556 3 1 0 0
7 51 8835 3 1 0 0
8 56 9736 4 1 0 0
9 63 11035 4 1 0 0
10 69 12104 4 1 0 0
11 76 13369 4 1 0 0
12 77 13708 2 1 0 0
13 77 13770 2 1 0 0
14 77 13820 2 1 0 0
15 74 13400 3 1 0 0
16 73 13270 3 1 0 0
17 74 13453 3 1 0 0
18 76 13832 2 1 0 0
19 73 13306 3 1 0 0
20 75 13670 2 1 0 0
21 73 13273 3 1 0 0
22 72 13093 3 1 0 0
23 71 12936 4 1 0 0
24 72 13018 4 1 0 0
25 71 12830 4 1 0 0
26 72 12933 4 1 0 0
27 74 13183 3 1 0 0
28 74 13120 4 1 0 0
29 73 12817 5 1 0 0
30 74 12887 5 1 0 0
31 77 13315 4 1 0 0
32 77 13287 4 1 0 0
33 78 13481 3 1 0 0
34 81 13943 3 1 0 0
35 78 13352 4 1 0 0
36 78 13402 4 0 0 0
37 77 13230 5 0 0 0
38 73 12572 8 0 0 0
39 70 12065 10 0 0 0
40 70 12054 10 0 0 0
41 67 11510 11 0 0 0
42 66 11409 12 0 0 0
43 66 11425 12 0 0 0
44 64 11079 13 0 0 0
45 64 11076 13 0 0 0
46 63 10941 13 0 0 0
47 67 11624 11 0 0 0
48 67 11559 11 0 0 0
49 69 11873 10 0 0 0
50 72 12429 7 0 0 0
51 75 12938 5 0 0 0
52 76 13129 4 0 0 0
53 80 13918 2 0 0 0
54 81 14094 1 0 0 0
55 81 14126 1 0 0 0
56 82 14370 0 0 0 0
57 83 14545 0 0 0 0
58 82 14490 0 0 0 0
59 81 14410 0 0 0 0
60 81 14445 0 0 0 0
61 81 14442 0 0 0 0
62 81 14413 0 0 0 0
63 81 14407 0 0 0 0
64 82 14511 0 0 0 0
65 82 14404 0 0 0 0
66 82 14302 0 0 0 0
67 82 14310 0 0 0 0
68 83 14422 0 0 0 0
69 82 14257 0 0 0 0
70 83 14318 0 0 0 0
71 84 14414 0 0 0 0
72 84 14350 0 0 0 0
73 85 14482 0 0 0 0
74 85 14497 0 0 0 0
75 85 14545 0 0 0 0
76 84 14441 0 0 0 0
77 83 14344 0 0 0 0
78 83 14379 0 0 0 0
79 84 14392 0 0 0 0
80 84 14396 0 0 0 0
81 85 14546 0 0 0 0
82 84 14401 0 0 0 0
83 84 14393 0 0 0 0
84 84 14408 0 0 0 0
85 83 14305 0 0 0 0
86 83 14316 0 0 0 0
87 83 14289 0 0 0 0
88 83 14304 0 0 0 0
89 84 14487 0 0 0 0
90 84 14509 0 0 0 0
91 83 14500 0 0 0 0
92 82 14350 0 0 0 0
93 82 14377 0 0 0 0
94 82 14360 0 0 0 0
95 83 14508 0 0 0 0
96 83 14489 0 0 0 0
97 83 14453 0 0 0 0
98 83 14475 0 0 0 0
99 82 14365 0 0 0 0
100 82 14399 0 0 0 0
101 82 14382 0 0 0 0
102 82 14370 0 0 0 0
103 82 14287 0 0 0 0
104 81 13946 2 0 0 0
105 80 13701 2 0 0 0
106 79 13566 3 0 0 0
107 78 13427 3 0 0 0
108 76 13164 3 0 0 0
109 75 13066 4 0 0 0
110 75 13032 4 0 0 0
111 76 13168 4 0 0 0
112 76 13187 4 0 0 0
113 73 12637 6 0 0 0
114 73 12577 6 0 0 0
115 73 12580 6 0 0 0
116 76 13177 4 0 0 0
117 77 13317 4 0 0 0
118 79 13604 3 0 0 0
119 78 13442 3 0 0 0
120 77 13222 5 0 0 0
121 78 13356 4 0 0 0
122 74 12687 6 0 0 0
123 71 12228 7 0 0 0
124 71 12289 7 0 0 0
125 73 12748 5 0 0 0
126 72 12650 6 0 0 0
127 71 12618 6 0 0 0
128 69 12433 6 0 0 0
129 68 12429 6 0 0 0
130 68 12485 6 0 0 0
131 69 12712 6 0 0 0
132 71 13121 4 0 0 0
133 70 13040 4 0 0 0
134 74 13796 2 0 0 0
135 77 14304 1 0 0 0
136 76 14057 1 0 0 0
137 77 14245 1 0 0 0
138 77 14363 0 0 0 0
139 77 14403 0 0 1 1
140 78 14512 0 0 0 0
141 78 14458 0 0 0 0
142 78 14391 0 0 0 0
143 78 14348 0 0 0 0
144 79 14420 0 0 0 0
145 80 14456 0 0 0 0
146 80 14349 0 0 0 0
