block n60 sum_rr60 bad60 hold drowsy alert
0 4 725 1 1 0 0
1 11 2026 1 1 0 0
2 18 3266 1 1 0 0
3 25 4443 1 1 0 0
4 32 5642 1 1 0 0
5 39 6806 1 1 0 0
6 46 8011 1 1 0 0
7 53 9149 1 1 0 0
8 60 10388 1 1 0 0
9 68 11700 1 1 0 0
10 74 12801 1 1 0 0
11 81 14012 1 1 0 0
12 84 14520 0 1 0 0
13 84 14474 0 1 0 0
14 83 14339 0 1 0 0
15 82 14285 0 1 0 0
16 82 14331 0 1 0 0
17 82 14368 0 1 0 0
18 83 14480 0 1 0 0
19 82 14455 0 1 0 0
20 82 14461 0 1 0 0
21 80 14223 0 1 0 0
22 81 14366 0 1 0 0
23 81 14436 0 1 0 0
24 80 14335 0 1 0 0
25 80 14333 0 1 0 0
26 81 14475 0 1 0 0
27 81 14413 0 1 0 0
28 81 14387 0 1 0 0
29 81 14373 0 1 0 0
30 80 14307 0 1 0 0
31 81 14403 0 1 0 0
32 81 14436 0 1 0 0
33 81 14461 0 1 0 0
34 81 14465 0 1 0 0
35 81 14420 0 1 0 0
36 82 14510 0 0 0 0
37 82 14446 0 0 0 0
38 81 14263 0 0 0 0
39 82 14416 0 0 0 0
40 82 14411 0 0 0 0
41 82 14479 0 0 0 0
42 82 14503 0 0 0 0
43 81 14335 0 0 0 0
44 81 14274 0 0 0 0
45 82 14404 0 0 0 0
46 82 14399 0 0 0 0
47 82 14420 0 0 0 0
48 82 14392 0 0 0 0
49 81 14293 0 0 0 0
50 82 14407 0 0 0 0
51 82 14402 0 0 0 0
52 83 14529 0 0 0 0
53 82 14324 0 0 0 0
54 82 14253 0 0 0 0
55 83 14456 0 0 0 0
56 83 14412 0 0 0 0
57 83 14442 0 0 0 0
58 83 14428 0 0 0 0
59 83 14394 0 0 0 0
60 82 14266 0 0 0 0
61 83 14413 0 0 0 0
62 83 14445 0 0 0 0
63 83 14477 0 0 0 0
64 82 14349 0 0 0 0
65 83 14531 0 0 0 0
66 82 14418 0 0 0 0
67 82 14406 0 0 0 0
68 82 14353 0 0 0 0
69 82 14344 0 0 0 0
70 82 14371 0 0 0 0
71 81 14266 0 0 0 0
72 82 14459 0 0 0 0
73 82 14470 0 0 0 0
74 82 14485 0 0 0 0
75 81 14325 0 0 0 0
76 81 14344 0 0 0 0
77 81 14391 0 0 0 0
78 81 14377 0 0 0 0
79 81 14371 0 0 0 0
80 81 14484 0 0 0 0
81 81 14420 0 0 0 0
82 81 14403 0 0 0 0
83 82 14455 0 0 0 0
84 82 14416 0 0 0 0
85 82 14369 0 0 0 0
86 82 14373 0 0 0 0
87 83 14528 0 0 0 0
88 82 14374 0 0 0 0
89 82 14305 0 0 0 0
90 83 14437 0 0 0 0
91 83 14408 0 0 0 0
92 83 14365 0 0 0 0
93 83 14393 0 0 0 0
94 83 14368 0 0 0 0
95 83 14481 0 0 0 0
96 82 14320 0 0 0 0
97 82 14382 0 0 0 0
98 82 14361 0 0 0 0
99 82 14357 0 0 0 0
100 83 14526 0 0 0 0
101 82 14365 0 0 0 0
102 82 14350 0 0 0 0
103 83 14495 0 0 0 0
104 83 14486 0 0 0 0
105 83 14447 0 0 0 0
106 83 14466 0 0 0 0
107 83 14393 0 0 0 0
108 84 14489 0 0 0 0
109 84 14400 0 0 0 0
110 84 14378 0 0 0 0
111 84 14342 0 0 0 0
112 84 14333 0 0 0 0
113 85 14505 0 0 0 0
114 85 14517 0 0 0 0
115 84 14399 0 0 0 0
116 84 14426 0 0 0 0
117 84 14466 0 0 0 0
118 84 14383 0 0 0 0
119 84 14394 0 0 0 0
120 84 14470 0 0 0 0
121 84 14496 0 0 0 0
122 83 14373 0 0 0 0
123 83 14389 0 0 0 0
124 83 14371 0 0 0 0
125 83 14357 0 0 0 0
126 83 14429 0 0 0 0
127 82 14275 0 0 0 0
128 82 14356 0 0 0 0
129 82 14365 0 0 0 0
130 82 14399 0 0 0 0
131 82 14367 0 0 0 0
132 82 14376 0 0 0 0
133 82 14399 0 0 0 0
134 82 14365 0 0 0 0
135 82 14370 0 0 0 0
136 83 14465 0 0 0 0
137 82 14354 0 0 0 0
138 82 14285 0 0 0 0
139 83 14432 0 0 0 0
140 83 14410 0 0 0 0
141 82 14253 0 0 0 0
142 82 14332 0 0 0 0
143 82 14349 0 0 0 0
144 82 14333 0 0 0 0
145 82 14342 0 0 0 0
146 83 14481 0 0 0 0
147 83 14540 0 0 0 0
148 81 14269 0 0 0 0
149 83 14497 0 0 0 0
150 83 14530 0 0 0 0
151 82 14378 0 0 0 0
152 82 14357 0 0 0 0
153 83 14544 0 0 0 0
154 82 14343 0 0 0 0
155 82 14378 0 0 0 0
156 82 14341 0 0 0 0
157 82 14399 0 0 0 0
158 81 14314 0 0 0 0
159 81 14293 0 0 0 0
160 82 14476 0 0 0 0
161 81 14362 0 0 0 0
162 81 14293 0 0 0 0
