block n60 sum_rr60 bad60 hold drowsy
0 3 640 3 1 0
1 8 1519 4 1 0
2 13 2431 6 1 0
3 19 3610 6 1 0
4 25 4823 6 1 0
5 31 6018 6 1 0
6 38 7388 6 1 0
7 43 8426 6 1 0
8 49 9673 6 1 0
9 55 10920 6 1 0
10 61 12162 6 1 0
11 66 13205 6 1 0
12 69 13793 3 1 0
13 70 14112 2 1 0
14 71 14386 0 1 0
15 72 14550 0 1 0
16 72 14474 0 1 0
17 73 14537 0 1 0
18 72 14279 0 1 0
19 74 14557 0 1 0
20 74 14480 0 1 0
21 74 14421 0 1 0
22 74 14379 0 1 0
23 75 14530 0 1 0
24 75 14491 0 1 0
25 75 14504 0 1 0
26 75 14483 0 1 0
27 74 14288 0 1 0
28 74 14340 0 1 0
29 74 14439 0 1 0
30 74 14513 0 1 0
31 73 14375 0 1 0
32 73 14393 0 1 0
33 73 14386 0 1 0
34 73 14380 0 1 0
35 73 14349 0 1 0
36 73 14358 0 0 0
37 73 14331 0 0 0
38 73 14346 0 0 0
39 73 14379 0 0 0
40 73 14383 0 0 0
41 73 14396 0 0 0
42 72 14220 0 0 0
43 73 14410 0 0 0
44 73 14412 0 0 0
45 73 14424 0 0 0
46 73 14380 0 0 0
47 73 14424 0 0 0
48 73 14432 0 0 0
49 73 14433 0 0 0
50 73 14456 0 0 0
51 73 14456 0 0 0
52 73 14480 0 0 0
53 72 14340 0 0 0
54 73 14569 0 0 0
55 71 14231 0 0 0
56 72 14427 0 0 0
57 72 14394 0 0 0
58 72 14409 0 0 0
59 72 14349 0 0 0
60 73 14475 0 0 0
61 73 14426 0 0 0
62 73 14337 0 0 0
63 74 14473 0 0 0
64 74 14395 0 0 0
65 74 14284 0 0 0
66 75 14376 0 0 0
67 76 14502 0 0 0
68 75 14281 0 0 0
69 75 14294 0 0 0
70 76 14462 0 0 0
71 76 14456 0 0 0
72 75 14299 0 0 0
73 75 14384 0 0 0
74 75 14484 0 0 0
75 74 14379 0 0 0
76 74 14392 0 0 0
77 74 14436 0 0 0
78 73 14283 0 0 0
79 74 14414 0 0 0
80 74 14381 0 0 0
81 74 14379 0 0 0
82 73 14247 0 0 0
83 74 14479 0 0 0
84 74 14492 0 0 0
85 74 14458 0 0 0
86 74 14432 0 0 0
87 74 14395 0 0 0
88 74 14430 0 0 0
89 74 14450 0 0 0
90 74 14463 0 0 0
91 73 14357 0 0 0
92 73 14395 0 0 0
93 73 14388 0 0 0
94 74 14528 0 0 0
95 73 14311 0 0 0
96 73 14299 0 0 0
97 73 14294 0 0 0
98 74 14443 0 0 0
99 74 14429 0 0 0
100 74 14392 0 0 0
101 74 14377 0 0 0
102 74 14371 0 0 0
103 75 14477 0 0 0
104 75 14515 0 0 0
105 75 14493 0 0 0
106 74 14327 0 0 0
107 74 14344 0 0 0
108 74 14337 0 0 0
109 75 14525 0 0 0
110 74 14321 0 0 0
111 74 14282 0 0 0
112 75 14466 0 0 0
113 75 14432 0 0 0
114 75 14403 0 0 0
115 74 14265 0 0 0
116 75 14409 0 0 0
117 75 14460 0 0 0
118 75 14483 0 0 0
119 75 14479 0 0 0
120 75 14477 0 0 0
121 74 14278 0 0 0
122 74 14316 0 0 0
123 75 14540 0 0 0
124 74 14337 0 0 0
125 74 14345 0 0 0
126 75 14519 0 0 0
127 75 14512 0 0 0
128 74 14299 0 0 0
129 74 14253 0 0 0
130 75 14323 0 0 0
131 75 14303 0 0 0
132 76 14503 0 0 0
133 76 14505 0 0 0
134 76 14540 0 0 0
135 75 14376 0 0 0
136 75 14416 0 0 0
137 75 14440 0 0 0
138 74 14292 0 0 0
139 74 14315 0 0 0
140 75 14530 0 0 0
141 75 14563 0 0 0
142 74 14455 0 0 0
143 74 14451 0 0 0
144 73 14228 0 0 0
145 74 14375 0 0 0
146 74 14329 0 0 0
147 74 14286 0 0 0
148 75 14461 0 0 0
149 75 14406 0 0 0
150 75 14353 0 0 0
151 75 14371 0 0 0
152 74 14207 0 0 0
153 75 14403 0 0 0
154 75 14410 0 0 0
155 75 14420 0 0 0
156 75 14467 0 0 0
157 74 14338 0 0 0
158 74 14391 0 0 0
159 74 14405 0 0 0
160 73 14250 0 0 0
161 73 14317 0 0 0
162 74 14560 0 0 0
163 74 14522 0 0 0
164 74 14498 0 0 0
165 73 14291 0 0 0
166 73 14276 0 0 0
167 74 14466 0 0 0
168 74 14354 0 0 0
169 74 14320 0 0 0
170 75 14466 0 0 0
171 75 14462 0 0 0
172 75 14411 0 0 0
173 76 14543 0 0 0
174 75 14328 0 0 0
175 75 14327 0 0 0
176 76 14483 0 0 0
177 76 14462 0 0 0
178 76 14435 0 0 0
179 76 14395 0 0 0
180 76 14445 0 0 0
181 76 14436 0 0 0
182 76 14341 0 0 0
183 77 14458 0 0 0
184 77 14440 0 0 0
185 76 14254 0 0 0
186 77 14418 0 0 0
187 77 14398 0 0 0
188 77 14389 0 0 0
189 77 14388 0 0 0
190 77 14391 0 0 0
191 77 14364 0 0 0
192 77 14383 0 0 0
193 78 14512 0 0 0
194 77 14323 0 0 0
195 77 14352 0 0 0
196 77 14363 0 0 0
197 78 14481 0 0 0
198 78 14429 0 0 0
199 78 14396 0 0 0
200 78 14350 0 0 0
201 79 14452 0 0 0
202 80 14549 0 0 0
203 79 14320 0 0 0
204 80 14462 0 0 0
205 79 14301 0 0 0
206 80 14508 0 0 0
207 79 14329 0 0 0
208 80 14499 0 0 0
209 79 14350 0 0 0
210 79 14344 0 0 0
211 80 14523 0 0 0
212 79 14346 0 0 0
213 79 14324 0 0 0
214 79 14347 0 0 0
215 80 14544 0 0 0
216 79 14364 0 0 0
217 79 14420 0 0 0
218 78 14286 0 0 0
219 79 14464 0 0 0
220 79 14433 0 0 0
221 79 14426 0 0 0
222 79 14413 0 0 0
223 79 14401 0 0 0
224 79 14437 0 0 0
225 78 14352 0 0 0
226 78 14386 0 0 0
227 77 14279 0 0 0
228 78 14465 0 0 0
229 78 14413 0 0 0
230 78 14399 0 0 0
231 77 14307 0 0 0
232 77 14411 0 0 0
233 77 14514 0 0 0
234 76 14463 0 0 0
235 75 14390 0 0 0
236 75 14419 0 0 0
237 75 14474 0 0 0
238 74 14340 0 0 0
239 74 14403 0 0 0
240 73 14316 0 0 0
241 73 14415 0 0 0
242 73 14536 0 0 0
243 73 14562 0 0 0
244 72 14402 0 0 0
245 71 14219 0 0 0
246 72 14398 0 0 0
247 72 14354 0 0 0
