block n60 sum_rr60 bad60 hold drowsy alert
211 69 14292 0 0 0 0
212 69 14277 0 0 0 0
213 70 14433 0 0 0 0
214 70 14406 0 0 0 0
215 71 14560 0 0 0 0
216 71 14457 0 0 0 0
217 71 14284 0 0 0 0
218 73 14554 0 0 0 0
219 73 14449 0 0 0 0
220 73 14347 0 0 0 0
221 74 14546 0 0 0 0
222 73 14331 0 0 0 0
223 73 14438 0 0 0 0
224 73 14548 0 0 0 0
225 71 14224 0 0 0 0
226 72 14375 0 0 0 0
227 72 14371 0 0 0 0
228 72 14403 0 0 0 0
229 71 14375 0 0 0 0
230 70 14328 0 0 0 0
231 70 14480 0 0 0 0
232 69 14350 0 0 0 0
233 69 14387 0 0 0 0
234 70 14592 0 0 0 0
235 69 14378 0 0 0 0
236 69 14335 0 0 0 0
237 70 14500 0 0 0 0
238 69 14393 0 0 0 0
239 68 14270 0 0 0 0
240 68 14299 0 0 0 0
241 69 14547 0 0 0 0
242 69 14402 0 0 0 0
243 69 14306 0 0 0 0
244 70 14398 0 0 0 0
245 70 14300 0 0 0 0
246 70 14312 0 0 0 0
247 71 14476 0 0 0 0
248 70 14301 0 0 0 0
249 70 14317 0 0 0 0
250 70 14314 0 0 0 0
251 71 14461 0 0 0 0
252 71 14470 0 0 0 0
253 71 14397 0 0 0 0
254 71 14473 0 0 0 0
255 71 14499 0 0 0 0
256 70 14367 0 0 0 0
257 70 14407 0 0 0 0
258 70 14396 0 0 0 0
259 70 14368 0 0 0 0
260 71 14540 0 0 0 0
261 71 14555 0 0 0 0
262 70 14372 0 0 0 0
263 70 14391 0 0 0 0
264 70 14272 0 0 0 0
265 70 14270 0 0 0 0
266 71 14297 0 0 0 0
267 71 14259 0 0 0 0
268 72 14388 0 0 0 0
269 72 14348 0 0 0 0
270 73 14459 0 0 0 0
271 73 14449 0 0 0 0
272 73 14417 0 0 0 0
273 73 14380 0 0 0 0
274 74 14549 0 0 0 0
275 73 14373 0 0 0 0
276 73 14522 0 0 0 0
277 73 14530 0 0 0 0
278 71 14340 0 0 0 0
279 71 14406 0 0 0 0
280 71 14511 0 0 0 0
281 70 14424 0 0 0 0
282 69 14352 0 0 0 0
283 68 14221 0 0 0 0
284 68 14307 0 0 0 0
285 68 14365 0 0 0 0
286 67 14248 0 0 0 0
287 68 14521 0 0 0 0
288 67 14352 0 0 0 0
289 67 14412 0 0 0 0
290 67 14443 0 0 0 0
291 67 14445 0 0 0 0
292 67 14429 0 0 0 0
293 68 14478 0 0 0 0
294 68 14357 0 0 0 0
295 69 14508 0 0 0 0
296 69 14380 0 0 0 0
297 69 14291 0 0 0 0
298 70 14376 0 0 0 0
299 70 14266 0 0 0 0
300 71 14359 0 0 0 0
301 72 14429 0 0 0 0
302 73 14468 0 0 0 0
303 73 14454 0 0 0 0
304 72 14239 0 0 0 0
305 72 14356 0 0 0 0
306 72 14512 0 0 0 0
307 72 14386 0 0 0 0
308 72 14395 0 0 0 0
309 72 14417 0 0 0 0
310 72 14389 0 0 0 0
311 72 14448 0 0 0 0
312 72 14429 0 0 0 0
313 71 14290 0 0 0 0
314 71 14384 0 0 0 0
315 71 14304 0 0 0 0
316 72 14498 0 0 0 0
317 72 14430 0 0 0 0
318 72 14411 0 0 0 0
319 71 14352 0 0 0 0
320 71 14425 0 0 0 0
321 71 14489 0 0 0 0
322 71 14496 0 0 0 0
323 71 14445 0 0 0 0
324 71 14453 0 0 0 0
325 71 14433 0 0 0 0
326 71 14455 0 0 0 0
327 71 14525 0 0 0 0
328 70 14359 0 0 0 0
329 70 14339 0 0 0 0
330 70 14310 0 0 0 0
331 71 14448 0 0 0 0
332 71 14416 0 0 0 0
333 71 14405 0 0 0 0
334 71 14454 0 0 0 0
335 71 14466 0 0 0 0
336 71 14421 0 0 0 0
337 71 14392 0 0 0 0
338 71 14284 0 0 0 0
339 71 14228 0 0 0 0
340 72 14455 0 0 0 0
341 72 14481 0 0 0 0
342 72 14475 0 0 0 0
343 72 14425 0 0 0 0
344 72 14391 0 0 0 0
345 72 14276 0 0 0 0
346 72 14276 0 0 0 0
347 73 14402 0 0 0 0
348 72 14275 0 0 0 0
349 72 14407 0 0 0 0
350 72 14464 0 0 0 0
351 72 14495 0 0 0 0
352 72 14385 0 0 0 0
353 72 14367 0 0 0 0
354 72 14345 0 0 0 0
355 71 14278 0 0 0 0
356 71 14352 0 0 0 0
357 71 14448 0 0 0 0
358 71 14444 0 0 0 0
359 70 14304 0 0 0 0
