block n60 sum_rr60 hold drowsy
0 3 669 1 0
1 9 1924 1 0
2 15 3115 1 0
3 21 4428 1 0
4 26 5494 1 0
5 32 6775 1 0
6 38 8006 1 0
7 43 9080 1 0
8 49 10469 1 0
9 54 11659 1 0
10 59 12761 1 0
11 65 14060 1 0
12 67 14446 1 0
13 67 14507 1 0
14 66 14365 1 0
15 66 14361 1 0
16 67 14502 1 0
17 67 14456 1 0
18 67 14475 1 0
19 67 14447 1 0
20 67 14272 1 0
21 68 14235 1 0
22 70 14488 1 0
23 70 14421 1 0
24 70 14417 1 0
25 69 14244 1 0
26 70 14573 1 0
27 69 14294 1 0
28 67 13958 1 0
29 67 14036 1 0
30 66 13846 1 0
31 67 14168 1 0
32 66 14019 1 0
33 66 14144 1 0
34 65 14051 1 0
35 65 14008 1 0
36 65 14070 0 0
37 66 14129 0 0
38 66 13990 0 0
39 67 14114 0 0
40 70 14429 0 0
41 71 14332 0 0
42 72 14473 0 0
43 72 14257 0 0
44 73 14539 0 0
45 71 14047 0 0
46 70 13994 0 0
47 70 14150 0 0
48 70 14255 0 0
49 69 14206 0 0
50 69 14214 0 0
51 68 14123 0 0
52 67 14207 0 0
53 66 14212 0 0
54 65 14142 0 0
55 65 14202 0 0
56 65 14090 0 0
57 67 14502 0 0
58 68 14410 0 0
59 68 14333 0 0
60 69 14241 0 0
61 70 14387 0 0
62 68 13930 0 0
63 69 14291 0 0
64 68 14163 0 0
65 67 14088 0 0
66 68 14205 0 0
67 67 14069 0 0
68 67 14140 0 0
69 67 14158 0 0
70 67 14256 0 0
71 67 14184 0 0
72 67 14325 0 0
73 66 14067 0 0
74 69 14616 0 0
75 69 14322 0 0
76 70 14417 0 0
77 71 14483 0 0
78 70 14351 0 0
79 71 14521 0 0
80 71 14391 0 0
81 69 14131 0 0
82 69 14036 0 0
83 69 14152 0 0
84 68 13949 0 0
85 69 14258 0 0
86 68 14144 0 0
87 68 14159 0 0
88 65 13502 0 0
89 65 13528 0 0
90 66 13564 0 0
91 66 13607 0 0
92 66 13577 0 0
93 67 13703 0 0
94 67 13865 0 0
95 67 13868 0 0
96 67 13871 0 0
97 67 13745 0 0
98 67 13646 0 0
99 67 13726 0 0
100 70 14349 0 0
101 70 14285 0 0
102 71 14435 0 0
103 71 14255 0 0
104 72 14488 0 0
105 73 14479 0 0
106 74 14470 0 0
107 74 14388 0 0
108 75 14509 0 0
109 74 14381 0 0
110 74 14468 0 0
111 74 14492 0 0
112 74 14499 0 0
113 73 14402 0 0
114 72 14319 0 0
115 72 14513 0 0
116 70 14188 0 0
117 70 14386 0 0
118 69 14311 0 0
119 69 14243 0 0
120 70 14397 0 0
121 71 14511 0 0
122 71 14448 0 0
123 71 14308 0 0
124 71 14353 0 0
125 72 14553 0 0
126 71 14406 0 0
127 71 14289 0 0
128 72 14518 0 0
129 72 14429 0 0
130 72 14445 0 0
131 72 14464 0 0
132 71 14333 0 0
133 71 14395 0 0
134 71 14450 0 0
135 71 14545 0 0
136 71 14389 0 0
137 71 14280 0 0
138 72 14416 0 0
139 72 14432 0 0
140 72 14384 0 0
141 72 14432 0 0
142 72 14473 0 0
143 72 14462 0 0
144 72 14415 0 0
145 72 14355 0 0
146 72 14316 0 0
147 72 14288 0 0
148 72 14385 0 0
149 72 14461 0 0
150 72 14411 0 0
151 71 14185 0 0
152 71 14210 0 0
153 72 14256 0 0
154 71 14052 0 0
155 72 14224 0 0
156 72 14271 0 0
157 72 14254 0 0
158 72 14287 0 0
159 72 14271 0 0
160 72 14207 0 0
161 72 14095 0 0
162 73 14236 0 0
163 75 14514 0 0
164 75 14364 0 0
165 75 14352 0 0
166 76 14470 0 0
167 75 14255 0 0
168 76 14344 0 0
169 77 14398 0 0
170 77 14359 0 0
171 77 14403 0 0
172 77 14455 0 0
173 77 14482 0 0
174 76 14455 0 0
175 75 14371 0 0
176 75 14472 0 0
177 74 14325 0 0
178 75 14424 0 0
179 75 14447 0 0
180 74 14305 0 0
181 73 14255 0 0
182 73 14390 0 0
183 73 14441 0 0
184 72 14300 0 0
185 72 14347 0 0
186 72 14289 0 0
187 72 14318 0 0
188 72 14262 0 0
189 72 14435 0 0
190 71 14387 0 0
191 71 14452 0 0
192 71 14464 0 0
193 71 14483 0 0
194 71 14416 0 0
195 71 14343 0 0
196 72 14468 0 0
197 72 14435 0 0
198 73 14531 0 0
199 73 14482 0 0
200 73 14563 0 0
201 72 14330 0 0
202 72 14308 0 0
203 72 14331 0 0
204 72 14331 0 0
205 72 14345 0 0
206 72 14296 0 0
207 72 14366 0 0
208 72 14413 0 0
209 72 14435 0 0
210 71 14309 0 0
211 71 14289 0 0
212 71 14294 0 0
213 72 14409 0 0
214 72 14433 0 0
215 72 14507 0 0
216 71 14400 0 0
217 71 14474 0 0
218 70 14337 0 0
219 70 14408 0 0
220 70 14428 0 0
221 69 14306 0 0
222 69 14480 0 0
223 68 14446 0 0
224 67 14352 0 0
225 66 14340 0 0
226 66 14389 0 0
227 66 14400 0 0
228 67 14556 0 0
229 67 14403 0 0
230 68 14583 0 0
231 68 14445 0 0
232 68 14448 0 0
233 68 14372 0 0
234 69 14347 0 0
235 70 14454 0 0
236 71 14506 0 0
237 72 14568 0 0
238 71 14321 0 0
239 71 14315 0 0
240 71 14342 0 0
241 70 14289 0 0
242 70 14321 0 0
243 70 14422 0 0
244 69 14243 0 0
245 70 14508 0 0
246 68 14258 0 0
247 69 14461 0 0
248 68 14318 0 0
249 68 14296 0 0
250 70 14591 0 0
251 70 14438 0 0
252 70 14395 0 0
253 71 14504 0 0
254 71 14487 0 0
255 71 14391 0 0
256 71 14358 0 0
257 71 14437 0 0
258 71 14397 0 0
259 70 14296 0 0
260 71 14494 0 0
261 70 14346 0 0
262 70 14415 0 0
263 70 14428 0 0
264 70 14415 0 0
265 70 14371 0 0
266 70 14343 0 0
267 70 14338 0 0
268 71 14437 0 0
269 71 14436 0 0
270 72 14585 0 0
271 71 14307 0 0
272 71 14353 0 0
273 72 14517 0 0
274 71 14311 0 0
275 71 14304 0 0
276 71 14264 0 0
277 72 14387 0 0
