block n60 sum_rr60 bad60 hold drowsy
244 66 14317 0 0 0
245 66 14314 0 0 0
246 66 14280 0 0 0
247 67 14520 0 0 0
248 66 14342 0 0 0
249 67 14564 0 0 0
250 66 14337 0 0 0
251 66 14340 0 0 0
252 66 14328 0 0 0
253 66 14285 0 0 0
254 67 14546 0 0 0
255 66 14326 0 0 0
256 67 14545 0 0 0
257 66 14392 0 0 0
258 67 14588 0 0 0
259 66 14287 0 0 0
260 67 14438 0 0 0
261 67 14425 0 0 0
262 67 14388 0 0 0
263 67 14370 0 0 0
264 67 14387 0 0 0
265 67 14412 0 0 0
266 67 14351 0 0 0
267 68 14478 0 0 0
268 68 14430 0 0 0
269 68 14340 0 0 0
270 68 14368 0 0 0
271 68 14397 0 0 0
272 68 14439 0 0 0
273 67 14244 0 0 0
274 68 14456 0 0 0
275 67 14295 0 0 0
276 68 14517 0 0 0
277 67 14297 0 0 0
278 67 14387 0 0 0
279 67 14434 0 0 0
280 67 14390 0 0 0
281 67 14371 0 0 0
282 67 14330 0 0 0
283 68 14545 0 0 0
284 67 14317 0 0 0
285 68 14531 0 0 0
286 67 14365 0 0 0
287 68 14528 0 0 0
288 67 14270 0 0 0
289 68 14490 0 0 0
290 68 14437 0 0 0
291 67 14229 0 0 0
292 67 14304 0 0 0
293 68 14526 0 0 0
294 68 14521 0 0 0
295 67 14295 0 0 0
296 68 14427 0 0 0
297 69 14437 0 0 0
298 70 14458 0 0 0
299 70 14339 0 0 0
300 71 14465 0 0 0
301 71 14449 0 0 0
302 70 14267 0 0 0
303 71 14564 0 0 0
304 70 14359 0 0 0
305 70 14385 0 0 0
306 70 14357 0 0 0
307 71 14519 0 0 0
308 70 14338 0 0 0
309 69 14332 0 0 0
310 69 14479 0 0 0
311 68 14424 0 0 0
312 68 14534 0 0 0
313 67 14364 0 0 0
314 68 14552 0 0 0
315 67 14281 0 0 0
316 68 14519 0 0 0
317 67 14398 0 0 0
318 66 14294 0 0 0
319 66 14391 0 0 0
320 66 14402 0 0 0
321 66 14394 0 0 0
322 65 14245 0 0 0
323 66 14379 0 0 0
324 66 14368 0 0 0
325 66 14354 0 0 0
326 66 14373 0 0 0
327 66 14360 0 0 0
328 66 14294 0 0 0
329 67 14467 0 0 0
330 67 14435 0 0 0
331 67 14434 0 0 0
332 67 14488 0 0 0
333 66 14288 0 0 0
334 67 14517 0 0 0
335 66 14380 0 0 0
336 66 14398 0 0 0
337 66 14387 0 0 0
338 66 14338 0 0 0
339 66 14409 0 0 0
340 66 14504 0 0 0
341 65 14263 0 0 0
342 66 14469 0 0 0
343 65 14226 0 0 0
344 66 14353 0 0 0
345 67 14531 0 0 0
346 67 14459 0 0 0
347 67 14398 0 0 0
348 67 14392 0 0 0
349 67 14383 0 0 0
350 67 14422 0 0 0
351 68 14556 0 0 0
352 67 14235 0 0 0
353 68 14405 0 0 0
354 68 14357 0 0 0
355 69 14555 0 0 0
356 68 14369 0 0 0
357 68 14399 0 0 0
358 67 14221 0 0 0
359 68 14452 0 0 0
360 68 14397 0 0 0
361 68 14449 0 0 0
362 68 14406 0 0 0
363 67 14216 0 0 0
364 68 14487 0 0 0
365 68 14515 0 0 0
366 67 14361 0 0 0
367 67 14390 0 0 0
368 67 14430 0 0 0
369 67 14365 0 0 0
370 68 14546 0 0 0
371 67 14345 0 0 0
372 67 14427 0 0 0
373 67 14440 0 0 0
374 66 14330 0 0 0
375 66 14412 0 0 0
376 66 14437 0 0 0
377 65 14292 0 0 0
378 66 14536 0 0 0
379 65 14302 0 0 0
380 66 14517 0 0 0
381 65 14366 0 0 0
382 65 14377 0 0 0
383 65 14394 0 0 0
384 65 14358 0 0 0
385 65 14292 0 0 0
386 66 14461 0 0 0
387 66 14408 0 0 0
388 66 14323 0 0 0
389 67 14438 0 0 0
390 67 14374 0 0 0
391 67 14381 0 0 0
392 67 14289 0 0 0
393 67 14324 0 0 0
394 67 14299 0 0 0
395 68 14487 0 0 0
396 67 14310 0 0 0
397 68 14525 0 0 0
398 68 14420 0 0 0
399 68 14383 0 0 0
400 68 14419 0 0 0
401 68 14467 0 0 0
402 68 14371 0 0 0
403 69 14542 0 0 0
404 68 14416 0 0 0
405 68 14399 0 0 0
406 68 14507 0 0 0
407 67 14348 0 0 0
408 67 14389 0 0 0
409 66 14281 0 0 0
410 66 14442 0 0 0
411 66 14416 0 0 0
412 66 14418 0 0 0
413 66 14436 0 0 0
414 65 14370 0 0 0
415 64 14228 0 0 0
416 65 14395 0 0 0
417 66 14519 0 0 0
418 65 14294 0 0 0
419 65 14312 0 0 0
420 66 14511 0 0 0
421 66 14414 0 0 0
422 66 14385 0 0 0
423 66 14442 0 0 0
424 66 14484 0 0 0
425 65 14263 0 0 0
426 66 14424 0 0 0
427 67 14550 0 0 0
428 66 14440 0 0 0
429 65 14377 0 0 0
430 65 14369 0 0 0
431 66 14559 0 0 0
432 65 14297 0 0 0
433 66 14479 0 0 0
434 66 14411 0 0 0
435 66 14400 0 0 0
436 66 14428 0 0 0
437 66 14394 0 0 0
438 66 14407 0 0 0
439 65 14242 0 0 0
440 66 14404 0 0 0
441 66 14341 0 0 0
442 67 14490 0 0 0
443 67 14446 0 0 0
444 67 14443 0 0 0
445 67 14409 0 0 0
446 67 14408 0 0 0
447 67 14411 0 0 0
448 67 14361 0 0 0
449 67 14351 0 0 0
450 67 14354 0 0 0
451 67 14404 0 0 0
452 67 14401 0 0 0
453 67 14415 0 0 0
454 67 14482 0 0 0
455 66 14273 0 0 0
456 67 14507 0 0 0
457 66 14374 0 0 0
458 65 14212 0 0 0
459 66 14418 0 0 0
460 66 14381 0 0 0
461 66 14384 0 0 0
462 66 14378 0 0 0
463 67 14519 0 0 0
464 66 14324 0 0 0
465 67 14537 0 0 0
466 66 14304 0 0 0
467 67 14517 0 0 0
468 66 14296 0 0 0
469 67 14499 0 0 0
470 67 14510 0 0 0
471 66 14397 0 0 0
472 65 14337 0 0 0
473 66 14604 0 0 0
474 65 14465 0 0 0
475 64 14355 0 0 0
476 65 14553 0 0 0
477 64 14269 0 0 0
478 65 14356 0 0 0
479 65 14299 0 0 0
480 66 14494 0 0 0
481 65 14289 0 0 0
482 66 14459 0 0 0
483 66 14368 0 0 0
484 67 14372 0 0 0
485 67 14244 0 0 0
486 69 14458 0 0 0
487 69 14336 0 0 0
488 70 14393 0 0 0
489 70 14362 0 0 0
490 70 14427 0 0 0
491 70 14448 0 0 0
492 69 14218 0 0 0
493 70 14422 0 0 0
494 70 14434 0 0 0
495 70 14447 0 0 0
496 69 14362 0 0 0
497 69 14432 0 0 0
498 68 14334 0 0 0
499 69 14554 0 0 0
500 67 14265 0 0 0
501 68 14573 0 0 0
502 68 14529 0 0 0
503 67 14340 0 0 0
504 67 14391 0 0 0
505 67 14458 0 0 0
506 66 14286 0 0 0
507 67 14502 0 0 0
508 67 14446 0 0 0
509 67 14512 0 0 0
510 66 14325 0 0 0
511 66 14379 0 0 0
512 66 14404 0 0 0
513 66 14346 0 0 0
514 66 14399 0 0 0
515 66 14393 0 0 0
516 67 14584 0 0 0
517 66 14322 0 0 0
518 66 14313 0 0 0
519 66 14280 0 0 0
520 67 14486 0 0 0
521 67 14406 0 0 0
522 67 14404 0 0 0
523 67 14369 0 0 0
524 67 14359 0 0 0
525 67 14406 0 0 0
526 66 14197 0 0 0
527 67 14426 0 0 0
528 66 14202 0 0 0
529 67 14401 0 0 0
530 68 14608 0 0 0
531 67 14399 0 0 0
532 67 14424 0 0 0
533 66 14299 0 0 0
534 66 14336 0 0 0
535 66 14314 0 0 0
536 67 14551 0 0 0
537 66 14325 0 0 0
538 67 14574 0 0 0
539 66 14308 0 0 0
540 66 14391 0 0 0
541 66 14476 0 0 0
542 65 14289 0 0 0
543 66 14499 0 0 0
544 65 14325 0 0 0
545 66 14466 0 0 0
546 66 14463 0 0 0
547 66 14506 0 0 0
548 66 14399 0 0 0
549 66 14342 0 0 0
550 66 14391 0 0 0
551 67 14604 0 0 0
552 67 14444 0 0 0
553 67 14394 0 0 0
554 67 14344 0 0 0
555 67 14366 0 0 0
556 67 14309 0 0 0
557 67 14274 0 0 0
558 68 14423 0 0 0
559 67 14254 0 0 0
560 67 14359 0 0 0
561 67 14412 0 0 0
562 67 14348 0 0 0
563 67 14365 0 0 0
564 67 14448 0 0 0
565 67 14364 0 0 0
566 68 14450 0 0 0
567 68 14398 0 0 0
568 68 14394 0 0 0
569 68 14401 0 0 0
570 68 14386 0 0 0
571 69 14515 0 0 0
572 69 14455 0 0 0
573 69 14478 0 0 0
574 69 14462 0 0 0
575 68 14295 0 0 0
576 69 14528 0 0 0
577 69 14486 0 0 0
578 68 14396 0 0 0
579 67 14259 0 0 0
580 68 14445 0 0 0
581 68 14566 0 0 0
582 67 14482 0 0 0
583 66 14334 0 0 0
584 65 14210 0 0 0
585 66 14469 0 0 0
586 65 14289 0 0 0
587 66 14492 0 0 0
588 65 14236 0 0 0
589 65 14382 0 0 0
590 65 14434 0 0 0
591 65 14420 0 0 0
592 65 14490 0 0 0
593 64 14278 0 0 0
594 64 14299 0 0 0
595 65 14539 0 0 0
596 65 14466 0 0 0
597 65 14402 0 0 0
598 65 14379 0 0 0
599 65 14386 0 0 0
600 66 14572 0 0 0
601 65 14316 0 0 0
602 66 14437 0 0 0
603 67 14575 0 0 0
604 66 14317 0 0 0
605 67 14422 0 0 0
606 68 14495 0 0 0
607 67 14205 0 0 0
608 68 14394 0 0 0
609 68 14347 0 0 0
610 69 14502 0 0 0
611 68 14254 0 0 0
612 68 14243 0 0 0
613 69 14362 0 0 0
614 69 14318 0 0 0
615 69 14303 0 0 0
616 70 14467 0 0 0
617 70 14372 0 0 0
618 70 14330 0 0 0
619 71 14585 0 0 0
620 70 14455 0 0 0
621 69 14337 0 0 0
622 69 14376 0 0 0
623 69 14426 0 0 0
624 69 14544 0 0 0
625 68 14369 0 0 0
626 68 14482 0 0 0
627 67 14381 0 0 0
628 66 14272 0 0 0
629 66 14410 0 0 0
630 65 14340 0 0 0
631 64 14255 0 0 0
632 64 14288 0 0 0
633 65 14535 0 0 0
634 64 14314 0 0 0
635 65 14540 0 0 0
636 65 14376 0 0 0
637 65 14481 0 0 0
638 64 14308 0 0 0
639 65 14417 0 0 0
640 65 14447 0 0 0
641 65 14469 0 0 0
642 65 14460 0 0 0
643 65 14354 0 0 0
644 66 14533 0 0 0
645 66 14427 0 0 0
646 66 14463 0 0 0
647 66 14405 0 0 0
648 65 14244 0 0 0
649 66 14373 0 0 0
650 67 14413 0 0 0
651 67 14500 0 0 0
652 67 14423 0 0 0
653 67 14392 0 0 0
654 67 14327 0 0 0
655 68 14600 0 0 0
656 67 14293 0 0 0
657 67 14266 0 0 0
658 68 14473 0 0 0
659 68 14408 0 0 0
660 69 14528 0 0 0
661 69 14401 0 0 0
662 69 14364 0 0 0
663 69 14291 0 0 0
664 70 14513 0 0 0
665 69 14269 0 0 0
666 70 14479 0 0 0
667 69 14208 0 0 0
668 70 14426 0 0 0
669 70 14416 0 0 0
670 70 14340 0 0 0
671 70 14322 0 0 0
672 70 14326 0 0 0
673 70 14432 0 0 0
674 70 14540 0 0 0
675 69 14331 0 0 0
676 69 14357 0 0 0
677 69 14405 0 0 0
678 69 14445 0 0 0
679 70 14568 0 0 0
680 69 14418 0 0 0
681 68 14336 0 0 0
682 68 14439 0 0 0
683 67 14338 0 0 0
684 67 14358 0 0 0
685 67 14447 0 0 0
686 67 14414 0 0 0
687 67 14520 0 0 0
688 66 14367 0 0 0
689 66 14466 0 0 0
690 65 14269 0 0 0
691 65 14317 0 0 0
692 65 14339 0 0 0
693 66 14520 0 0 0
694 65 14253 0 0 0
695 66 14410 0 0 0
696 66 14510 0 0 0
697 66 14418 0 0 0
698 65 14252 0 0 0
699 66 14405 0 0 0
700 67 14463 0 0 0
701 67 14361 0 0 0
702 68 14512 0 0 0
703 68 14479 0 0 0
704 68 14436 0 0 0
705 68 14422 0 0 0
706 69 14570 0 0 0
707 68 14486 0 0 0
708 67 14310 0 0 0
709 67 14266 0 0 0
710 69 14533 0 0 0
711 69 14460 0 0 0
712 68 14297 0 0 0
713 69 14409 0 0 0
714 69 14462 0 0 0
715 68 14265 0 0 0
716 69 14496 0 0 0
717 68 14248 0 0 0
718 68 14250 0 0 0
719 69 14398 0 0 0
720 69 14471 0 0 0
721 68 14372 0 0 0
722 67 14413 0 0 0
723 66 14371 0 0 0
724 66 14441 0 0 0
725 66 14528 0 0 0
726 65 14299 0 0 0
727 65 14415 0 0 0
728 65 14415 0 0 0
729 65 14407 0 0 0
730 65 14516 0 0 0
731 64 14276 0 0 0
732 65 14346 0 0 0
733 66 14535 0 0 0
734 65 14289 0 0 0
735 66 14414 0 0 0
736 66 14339 0 0 0
737 66 14350 0 0 0
738 66 14347 0 0 0
739 67 14475 0 0 0
740 67 14436 0 0 0
741 67 14445 0 0 0
742 67 14412 0 0 0
743 67 14407 0 0 0
744 67 14431 0 0 0
745 67 14395 0 0 0
746 68 14508 0 0 0
747 67 14279 0 0 0
748 68 14551 0 0 0
749 67 14331 0 0 0
750 68 14451 0 0 0
751 68 14467 0 0 0
752 67 14319 0 0 0
753 68 14479 0 0 0
