block n60 sum_rr60 hold drowsy
0 4 796 1 0
1 10 1995 1 0
2 16 3156 1 0
3 22 4319 1 0
4 28 5522 1 0
5 34 6737 1 0
6 40 7823 1 0
7 47 9141 1 0
8 53 10338 1 0
9 59 11556 1 0
10 65 12752 1 0
11 71 13931 1 0
12 73 14321 1 0
13 73 14351 1 0
14 72 14247 1 0
15 72 14316 1 0
16 73 14381 1 0
17 73 14297 1 0
18 73 14394 1 0
19 72 14278 1 0
20 73 14452 1 0
21 73 14437 1 0
22 73 14382 1 0
23 73 14374 1 0
24 73 14307 1 0
25 74 14425 1 0
26 75 14543 1 0
27 75 14535 1 0
28 74 14421 1 0
29 74 14453 1 0
30 74 14411 1 0
31 75 14541 1 0
32 74 14310 1 0
33 74 14277 1 0
34 74 14343 1 0
35 74 14372 1 0
36 74 14441 0 0
37 73 14305 0 0
38 73 14340 0 0
39 73 14311 0 0
40 74 14458 0 0
41 73 14376 0 0
42 73 14499 0 0
43 71 14273 0 0
44 71 14411 0 0
45 71 14462 0 0
46 71 14505 0 0
47 71 14487 0 0
48 71 14426 0 0
49 72 14518 0 0
50 72 14410 0 0
51 73 14493 0 0
52 72 14289 0 0
53 74 14502 0 0
54 74 14311 0 0
55 76 14485 0 0
56 76 14354 0 0
57 76 14287 0 0
58 76 14235 0 0
59 77 14383 0 0
60 77 14367 0 0
61 77 14362 0 0
62 78 14480 0 0
63 77 14254 0 0
64 78 14477 0 0
65 77 14386 0 0
66 77 14541 0 0
67 75 14298 0 0
68 75 14347 0 0
69 76 14525 0 0
70 76 14498 0 0
71 75 14292 0 0
72 76 14521 0 0
73 74 14249 0 0
74 73 14239 0 0
75 73 14396 0 0
76 72 14283 0 0
77 72 14316 0 0
78 72 14311 0 0
79 73 14456 0 0
80 73 14460 0 0
81 72 14328 0 0
82 72 14350 0 0
83 73 14514 0 0
84 72 14359 0 0
85 73 14531 0 0
86 73 14535 0 0
87 73 14504 0 0
88 73 14564 0 0
89 73 14524 0 0
90 72 14313 0 0
91 72 14358 0 0
92 72 14337 0 0
93 73 14470 0 0
94 74 14519 0 0
95 73 14317 0 0
96 74 14443 0 0
97 74 14379 0 0
98 74 14312 0 0
99 75 14424 0 0
100 75 14280 0 0
101 75 14258 0 0
102 76 14451 0 0
103 76 14425 0 0
104 76 14440 0 0
105 75 14333 0 0
106 74 14256 0 0
107 75 14506 0 0
108 74 14351 0 0
109 74 14386 0 0
110 74 14382 0 0
111 74 14407 0 0
112 74 14454 0 0
113 74 14469 0 0
114 74 14410 0 0
115 75 14527 0 0
116 75 14465 0 0
117 75 14400 0 0
118 75 14400 0 0
119 74 14246 0 0
120 75 14387 0 0
121 75 14365 0 0
122 76 14546 0 0
123 75 14379 0 0
124 75 14374 0 0
125 75 14339 0 0
126 75 14393 0 0
127 75 14357 0 0
128 76 14483 0 0
129 76 14478 0 0
130 76 14506 0 0
131 76 14536 0 0
132 75 14458 0 0
133 75 14495 0 0
134 74 14323 0 0
135 74 14343 0 0
136 74 14325 0 0
137 75 14459 0 0
138 76 14492 0 0
139 75 14299 0 0
140 75 14289 0 0
141 76 14391 0 0
142 76 14280 0 0
143 77 14321 0 0
144 78 14413 0 0
145 78 14434 0 0
146 77 14332 0 0
147 78 14503 0 0
148 78 14501 0 0
149 77 14412 0 0
150 76 14380 0 0
151 76 14406 0 0
152 76 14487 0 0
153 75 14409 0 0
154 75 14536 0 0
155 74 14419 0 0
156 74 14376 0 0
157 74 14264 0 0
158 76 14512 0 0
159 75 14373 0 0
160 74 14281 0 0
161 74 14311 0 0
162 74 14437 0 0
163 73 14393 0 0
164 72 14321 0 0
165 72 14341 0 0
166 72 14283 0 0
167 73 14491 0 0
168 72 14354 0 0
169 72 14414 0 0
170 71 14263 0 0
171 72 14389 0 0
172 73 14452 0 0
173 74 14536 0 0
174 74 14359 0 0
175 75 14416 0 0
176 75 14368 0 0
177 76 14492 0 0
178 76 14536 0 0
179 75 14373 0 0
180 75 14370 0 0
181 76 14524 0 0
182 76 14515 0 0
183 75 14338 0 0
184 75 14403 0 0
185 74 14277 0 0
186 74 14295 0 0
187 75 14496 0 0
188 75 14426 0 0
189 74 14340 0 0
190 74 14378 0 0
191 74 14403 0 0
192 73 14306 0 0
193 72 14303 0 0
194 71 14271 0 0
195 71 14470 0 0
196 70 14355 0 0
197 70 14414 0 0
198 70 14453 0 0
199 69 14384 0 0
200 69 14437 0 1
201 69 14425 0 1
202 69 14411 0 0
203 69 14400 0 0
204 70 14585 0 0
205 69 14310 0 0
206 70 14462 0 0
207 70 14293 0 0
208 71 14439 0 0
209 71 14379 0 0
210 71 14333 0 0
211 72 14388 0 0
212 73 14417 0 0
213 73 14303 0 0
214 74 14422 0 0
215 74 14375 0 0
216 74 14327 0 0
217 75 14450 0 0
218 75 14342 0 0
219 76 14535 0 0
220 76 14484 0 0
221 76 14465 0 0
222 76 14418 0 0
223 76 14395 0 0
224 75 14353 0 0
225 75 14440 0 0
226 74 14319 0 0
227 74 14362 0 0
228 74 14382 0 0
229 74 14383 0 0
230 74 14462 0 0
231 73 14267 0 0
232 73 14267 0 0
233 73 14318 0 0
234 73 14403 0 0
235 73 14454 0 0
236 73 14414 0 0
237 74 14469 0 0
238 74 14350 0 0
239 74 14355 0 0
240 74 14335 0 0
241 75 14550 0 0
242 74 14322 0 0
243 75 14503 0 0
244 75 14476 0 0
245 75 14389 0 0
246 76 14546 0 0
247 75 14366 0 0
248 75 14434 0 0
249 74 14376 0 0
250 74 14467 0 0
251 74 14517 0 0
252 74 14531 0 0
253 73 14403 0 0
254 73 14438 0 0
255 72 14320 0 0
256 72 14389 0 0
257 72 14412 0 0
