block n60 sum_rr60 bad60 hold drowsy alert
0 4 852 1 1 0 0
1 10 2035 1 1 0 0
2 17 3379 1 1 0 0
3 23 4523 1 1 0 0
4 29 5684 1 1 0 0
5 36 7019 1 1 0 0
6 42 8211 1 1 0 0
7 48 9410 1 1 0 0
8 54 10592 1 1 0 0
9 60 11777 1 1 0 0
10 66 12976 1 1 0 0
11 72 14085 1 1 0 0
12 74 14443 0 1 0 0
13 74 14472 0 1 0 0
14 73 14325 0 1 0 0
15 73 14359 0 1 0 0
16 73 14389 0 1 0 0
17 72 14296 0 1 0 0
18 72 14360 0 1 0 0
19 71 14219 0 1 0 0
20 71 14288 0 1 0 0
21 71 14327 0 1 0 0
22 71 14327 0 1 0 0
23 71 14403 0 1 0 0
24 71 14373 0 1 0 0
25 71 14384 0 1 0 0
26 71 14430 0 1 0 0
27 71 14522 0 1 0 0
28 70 14376 0 1 0 0
29 70 14387 0 1 0 0
30 70 14352 0 1 0 0
31 71 14458 0 1 0 0
32 71 14393 0 1 0 0
33 71 14349 0 1 0 0
34 71 14378 0 1 0 0
35 71 14473 0 1 0 0
36 71 14518 0 0 0 0
37 70 14336 0 0 0 0
38 71 14453 0 0 0 0
39 71 14408 0 0 0 0
40 71 14394 0 0 0 0
41 71 14432 0 0 0 0
42 70 14311 0 0 0 0
43 70 14372 0 0 0 0
44 70 14459 0 0 0 0
45 70 14559 0 0 0 0
46 69 14363 0 0 0 0
47 69 14295 0 0 0 0
48 69 14263 0 0 0 0
49 71 14529 0 0 0 0
50 70 14367 0 0 0 0
51 70 14379 0 0 0 0
52 71 14574 0 0 0 0
53 71 14442 0 0 0 0
54 72 14545 0 0 0 0
55 72 14555 0 0 0 0
56 72 14473 0 0 0 0
57 72 14398 0 0 0 0
58 73 14578 0 0 0 0
59 72 14377 0 0 0 0
60 72 14404 0 0 0 0
61 71 14303 0 0 0 0
62 71 14352 0 0 0 0
63 71 14370 0 0 0 0
64 71 14324 0 0 0 0
65 71 14422 0 0 0 0
66 71 14420 0 0 0 0
67 71 14308 0 0 0 0
68 71 14348 0 0 0 0
69 71 14410 0 0 0 0
70 70 14235 0 0 0 0
71 71 14518 0 0 0 0
