block n60 sum_rr60 bad60 hold drowsy
0 4 697 2 1 0
1 10 1908 2 1 0
2 16 3116 2 1 0
3 23 4422 2 1 0
4 29 5508 2 1 0
5 36 6822 2 1 0
6 42 8005 2 1 0
7 48 9187 2 1 0
8 54 10379 2 1 0
9 60 11528 2 1 0
10 66 12695 2 1 0
11 72 13882 2 1 0
12 75 14511 0 1 0
13 75 14450 0 1 0
14 75 14373 0 1 0
15 74 14267 0 1 0
16 74 14478 0 1 0
17 72 14244 0 1 0
18 72 14268 0 1 0
19 72 14345 0 1 0
20 72 14358 0 1 0
21 72 14439 0 1 0
22 71 14372 0 1 0
23 71 14440 0 1 0
24 69 14257 0 1 0
25 69 14413 0 1 0
26 69 14533 0 1 0
27 68 14370 0 1 0
28 69 14442 0 1 0
29 70 14569 0 1 0
30 70 14551 0 1 0
31 70 14494 0 1 0
32 69 14345 0 1 0
33 69 14348 0 1 0
34 70 14475 0 1 0
35 70 14439 0 1 0
36 71 14539 0 0 0
37 71 14441 0 0 0
38 71 14429 0 0 0
39 71 14418 0 0 0
40 70 14241 0 0 0
41 71 14403 0 0 0
42 71 14412 0 0 0
43 71 14427 0 0 0
44 71 14370 0 0 0
45 71 14390 0 0 0
46 71 14421 0 0 0
47 71 14432 0 0 0
48 71 14441 0 0 0
49 71 14438 0 0 0
50 71 14396 0 0 0
51 72 14554 0 0 0
52 72 14546 0 0 0
53 71 14321 0 0 0
54 71 14335 0 0 0
55 71 14311 0 0 0
56 72 14497 0 0 0
57 72 14472 0 0 0
58 72 14454 0 0 0
59 72 14401 0 0 0
60 72 14325 0 0 0
61 72 14295 0 0 0
62 72 14270 0 0 0
63 72 14237 0 0 0
64 73 14396 0 0 0
65 73 14443 0 0 0
66 73 14456 0 0 0
67 72 14306 0 0 0
68 72 14352 0 0 0
69 72 14359 0 0 0
70 72 14335 0 0 0
71 72 14368 0 0 0
72 72 14358 0 0 0
73 72 14387 0 0 0
74 72 14445 0 0 0
75 72 14543 0 0 0
76 70 14242 0 0 0
77 70 14279 0 0 0
78 70 14259 0 0 0
79 71 14409 0 0 0
80 71 14372 0 0 0
81 71 14384 0 0 0
82 71 14431 0 0 0
83 71 14466 0 0 0
84 70 14380 0 0 0
85 70 14387 0 0 0
86 71 14467 0 0 0
87 70 14262 0 0 0
88 71 14471 0 0 0
89 71 14518 0 0 0
90 71 14512 0 0 0
91 71 14461 0 0 0
92 72 14562 0 0 0
93 72 14437 0 0 0
94 73 14468 0 0 0
95 73 14414 0 0 0
96 74 14547 0 0 0
97 73 14370 0 0 0
98 72 14276 0 0 0
99 73 14499 0 0 0
100 73 14449 0 0 0
101 73 14361 0 0 0
102 73 14400 0 0 0
103 73 14481 0 0 0
104 72 14331 0 0 0
105 72 14466 0 0 0
106 70 14207 0 0 0
107 70 14215 0 0 0
108 70 14241 0 0 0
109 71 14410 0 0 0
110 71 14378 0 0 0
111 72 14481 0 0 0
112 72 14459 0 0 0
113 72 14427 0 0 0
114 72 14387 0 0 0
115 72 14349 0 0 0
116 72 14325 0 0 0
117 73 14413 0 0 0
118 74 14576 0 0 0
119 74 14564 0 0 0
120 74 14495 0 0 0
121 74 14502 0 0 0
122 74 14504 0 0 0
123 73 14306 0 0 0
124 73 14288 0 0 0
125 73 14322 0 0 0
126 73 14312 0 0 0
127 73 14293 0 0 0
128 74 14500 0 0 0
129 73 14319 0 0 0
130 73 14267 0 0 0
131 74 14375 0 0 0
132 74 14319 0 0 0
133 75 14374 0 0 0
134 76 14451 0 0 0
135 76 14431 0 0 0
136 76 14418 0 0 0
137 76 14354 0 0 0
138 77 14538 0 0 0
139 76 14401 0 0 0
140 76 14441 0 0 0
141 76 14449 0 0 0
142 76 14501 0 0 0
143 75 14456 0 0 0
144 75 14542 0 0 0
145 73 14302 0 0 0
146 72 14250 0 0 0
147 72 14322 0 0 0
148 72 14403 0 0 0
149 72 14479 0 0 0
150 71 14328 0 0 0
151 72 14489 0 0 0
152 71 14415 0 0 0
153 70 14319 0 0 0
154 70 14418 0 0 0
155 69 14244 0 0 0
156 69 14344 0 0 0
157 70 14555 0 0 0
158 69 14353 0 0 0
159 69 14374 0 0 0
160 69 14424 0 0 0
161 69 14468 0 0 0
162 69 14379 0 0 0
163 69 14420 0 0 0
164 69 14350 0 0 0
165 69 14331 0 0 0
166 69 14273 0 0 0
167 70 14436 0 0 0
168 70 14369 0 0 0
169 70 14361 0 0 0
170 71 14613 0 0 0
171 70 14420 0 0 0
172 70 14422 0 0 0
173 70 14442 0 0 0
174 69 14321 0 0 0
175 69 14355 0 0 0
176 69 14431 0 0 0
177 69 14406 0 0 0
178 69 14440 0 0 0
179 69 14444 0 0 0
180 69 14402 0 0 0
181 69 14350 0 0 0
182 69 14256 0 0 0
183 70 14391 0 0 0
184 70 14304 0 0 0
185 70 14250 0 0 0
186 71 14437 0 0 0
187 71 14415 0 0 0
188 71 14304 0 0 0
189 72 14448 0 0 0
190 72 14426 0 0 0
191 72 14396 0 0 0
192 72 14429 0 0 0
193 72 14468 0 0 0
194 72 14514 0 0 0
195 72 14541 0 0 0
196 72 14540 0 0 0
197 71 14360 0 0 0
198 71 14366 0 0 0
199 71 14316 0 0 0
200 71 14342 0 0 0
201 71 14354 0 0 0
202 71 14334 0 0 0
203 71 14316 0 0 0
204 71 14346 0 0 0
205 71 14389 0 0 0
206 71 14373 0 0 0
207 70 14202 0 0 0
208 70 14279 0 0 0
209 71 14497 0 0 0
210 71 14566 0 0 0
211 71 14583 0 0 0
212 71 14571 0 0 0
213 70 14407 0 0 0
214 70 14380 0 0 0
215 70 14413 0 0 0
216 70 14349 0 0 0
217 70 14278 0 0 0
218 70 14273 0 0 0
219 72 14581 0 0 0
220 72 14469 0 0 0
221 72 14425 0 0 0
222 72 14361 0 0 0
223 72 14328 0 0 0
224 72 14367 0 0 0
225 72 14390 0 0 0
226 72 14474 0 0 0
227 72 14414 0 0 0
228 72 14521 0 0 0
229 71 14535 0 0 0
230 71 14563 0 0 0
231 70 14380 0 0 0
232 69 14314 0 0 0
233 69 14348 0 0 0
234 69 14319 0 0 0
235 69 14362 0 0 0
236 69 14319 0 0 0
237 70 14513 0 0 0
238 70 14473 0 0 0
239 70 14539 0 0 0
240 69 14329 0 0 0
241 70 14379 0 0 0
242 70 14374 0 0 0
243 70 14448 0 0 0
244 70 14397 0 0 0
245 70 14402 0 0 0
246 70 14438 0 0 0
247 70 14384 0 0 0
248 70 14366 0 0 0
249 70 14388 0 0 0
250 69 14244 0 0 0
251 69 14291 0 0 0
252 70 14397 0 0 0
253 70 14328 0 0 0
254 70 14329 0 0 0
255 70 14346 0 0 0
256 70 14385 0 0 0
257 70 14340 0 0 0
258 70 14371 0 0 0
259 70 14399 0 0 0
260 70 14457 0 0 0
261 70 14457 0 0 0
262 70 14389 0 0 0
263 70 14333 0 0 0
264 71 14478 0 0 0
265 70 14332 0 0 0
266 70 14349 0 0 0
267 70 14296 0 0 0
268 71 14440 0 0 0
269 71 14452 0 0 0
270 71 14401 0 0 0
271 71 14450 0 0 0
272 71 14402 0 0 0
273 71 14285 0 0 0
274 71 14119 2 0 0
275 72 14264 2 0 0
276 71 14126 2 0 0
277 71 14134 2 0 0
278 71 14190 2 0 0
279 71 14202 2 0 0
280 71 14182 2 0 0
281 71 14193 2 0 0
282 70 14095 2 0 0
283 70 14188 2 0 0
284 69 14095 2 0 0
285 69 14273 2 0 0
286 69 14467 0 0 0
287 68 14363 0 0 0
288 67 14222 0 0 0
289 68 14450 0 0 0
290 68 14393 0 0 0
291 68 14442 0 0 0
292 67 14296 0 0 1
293 67 14278 0 0 1
294 68 14373 0 0 0
295 68 14339 0 0 0
296 68 14321 0 0 0
297 68 14263 0 0 0
298 69 14499 0 0 0
299 68 14274 0 0 0
300 69 14465 0 0 0
301 69 14434 0 0 0
302 69 14390 0 0 0
303 69 14428 0 0 0
304 70 14577 0 0 0
305 69 14465 0 0 0
306 69 14472 0 0 0
307 69 14382 0 0 0
308 70 14541 0 0 0
309 70 14480 0 0 0
310 70 14357 0 0 0
311 71 14511 0 0 0
312 71 14469 0 0 0
313 71 14484 0 0 0
314 71 14469 0 0 0
315 70 14236 0 0 0
316 70 14336 0 0 0
