block n60 sum_rr60 hold drowsy
0 3 636 1 0
1 9 1859 1 0
2 15 3061 1 0
3 21 4273 1 0
4 27 5430 1 0
5 34 6747 1 0
6 41 7957 1 0
7 47 9039 1 0
8 54 10262 1 0
9 61 11505 1 0
10 68 12760 1 0
11 75 13959 1 0
12 79 14535 1 0
13 80 14540 1 0
14 80 14370 1 0
15 81 14418 1 0
16 82 14464 1 0
17 81 14306 1 0
18 81 14433 1 0
19 81 14490 1 0
20 80 14390 1 0
21 80 14413 1 0
22 80 14437 1 0
23 79 14343 1 0
24 78 14271 1 0
25 77 14243 1 0
26 78 14505 1 0
27 78 14498 1 0
28 77 14495 1 0
29 77 14496 1 0
30 76 14333 1 0
31 76 14322 1 0
32 77 14541 1 0
33 76 14388 1 0
34 75 14310 1 0
35 75 14424 1 0
36 75 14487 0 0
37 75 14464 0 0
38 74 14368 0 0
39 73 14251 0 0
40 73 14265 0 0
41 74 14409 0 0
42 74 14361 0 0
43 75 14531 0 0
44 73 14228 0 0
45 74 14463 0 0
46 74 14415 0 0
47 74 14313 0 0
48 75 14397 0 0
49 76 14488 0 0
50 76 14377 0 0
51 77 14525 0 0
52 77 14383 0 0
53 77 14356 0 0
54 78 14448 0 0
55 77 14282 0 0
56 79 14529 0 0
57 78 14298 0 0
58 78 14331 0 0
59 78 14392 0 0
60 78 14442 0 0
61 77 14348 0 0
62 77 14367 0 0
63 76 14252 0 0
64 77 14522 0 0
65 76 14433 0 0
66 75 14379 0 0
67 75 14453 0 0
68 74 14337 0 0
69 74 14375 0 0
70 75 14525 0 0
71 75 14483 0 0
72 74 14276 0 0
73 75 14350 0 0
74 76 14521 0 0
75 76 14447 0 0
76 76 14321 0 0
77 78 14449 0 0
78 78 14344 0 0
79 79 14390 0 0
80 80 14444 0 0
81 80 14409 0 0
82 80 14376 0 0
83 80 14326 0 0
84 81 14390 0 0
85 82 14496 0 0
86 81 14256 0 0
87 83 14523 0 0
88 83 14516 0 0
89 82 14366 0 0
90 82 14391 0 0
91 82 14332 0 0
92 82 14407 0 0
93 82 14402 0 0
94 82 14425 0 0
95 82 14474 0 0
96 81 14411 0 0
97 80 14335 0 0
98 80 14398 0 0
99 79 14352 0 0
100 78 14271 0 0
101 78 14414 0 0
102 78 14439 0 0
103 78 14553 0 0
104 77 14427 0 0
105 77 14437 0 0
106 76 14276 0 0
107 76 14341 0 0
108 77 14524 0 0
109 76 14363 0 0
110 76 14461 0 0
111 76 14435 0 0
112 76 14443 0 0
113 76 14389 0 0
114 76 14395 0 0
115 76 14359 0 0
116 76 14332 0 0
117 76 14337 0 0
118 77 14493 0 0
119 77 14434 0 0
120 77 14406 0 0
121 77 14470 0 0
122 78 14497 0 0
123 77 14333 0 0
124 78 14408 0 0
125 78 14371 0 0
126 79 14518 0 0
127 78 14315 0 0
128 78 14331 0 0
129 79 14524 0 0
130 78 14372 0 0
131 78 14351 0 0
132 78 14413 0 0
133 78 14417 0 0
134 77 14376 0 0
135 77 14460 0 0
136 76 14455 0 0
137 75 14397 0 0
138 74 14327 0 0
139 74 14465 0 0
140 74 14448 0 0
141 73 14325 0 0
142 74 14438 0 0
143 75 14557 0 0
144 74 14325 0 0
145 74 14299 0 0
146 75 14417 0 0
147 75 14410 0 0
148 75 14321 0 0
149 75 14346 0 0
150 75 14308 0 0
151 76 14446 0 0
152 76 14491 0 0
153 75 14341 0 0
154 75 14394 0 0
155 74 14338 0 0
156 74 14339 0 0
157 75 14505 0 0
158 74 14355 0 0
159 74 14277 0 0
160 75 14501 0 0
161 75 14436 0 0
162 75 14408 0 0
163 75 14391 0 0
164 75 14268 0 0
165 77 14478 0 0
166 76 14274 0 0
167 77 14385 0 0
168 78 14516 0 0
169 77 14252 0 0
170 78 14362 0 0
171 79 14479 0 0
172 79 14396 0 0
173 79 14332 0 0
174 80 14481 0 0
175 79 14273 0 0
176 80 14542 0 0
177 79 14409 0 0
178 79 14388 0 0
179 79 14349 0 0
180 79 14386 0 0
181 79 14436 0 0
182 79 14457 0 0
183 78 14336 0 0
184 77 14211 0 0
185 77 14382 0 0
186 77 14397 0 0
187 77 14411 0 0
188 77 14401 0 0
189 77 14356 0 0
190 77 14440 0 0
191 77 14518 0 0
192 76 14363 0 0
193 76 14376 0 0
194 76 14319 0 0
195 77 14519 0 0
196 78 14557 0 0
197 78 14403 0 0
198 78 14408 0 0
199 78 14433 0 0
200 77 14233 0 0
201 78 14469 0 0
202 78 14443 0 0
203 77 14319 0 0
204 77 14326 0 0
205 77 14373 0 0
206 77 14517 0 0
207 76 14353 0 0
208 75 14295 0 0
209 76 14537 0 0
210 75 14372 0 0
211 75 14397 0 0
212 75 14415 0 0
213 75 14437 0 0
214 75 14422 0 0
215 75 14369 0 0
216 75 14399 0 0
217 76 14588 0 0
218 75 14377 0 0
219 75 14385 0 0
220 75 14439 0 0
221 74 14294 0 0
222 74 14361 0 0
223 75 14517 0 0
224 75 14506 0 0
225 74 14279 0 0
226 75 14462 0 0
227 75 14416 0 0
228 75 14385 0 0
229 75 14379 0 0
230 75 14337 0 0
231 76 14444 0 0
232 76 14337 0 0
233 77 14532 0 0
234 77 14461 0 0
235 76 14291 0 0
236 76 14345 0 0
237 77 14554 0 0
238 76 14409 0 0
239 76 14501 0 0
240 76 14472 0 0
241 75 14257 0 0
242 75 14315 0 0
243 75 14349 0 0
244 75 14461 0 0
245 74 14273 0 0
246 74 14360 0 0
247 74 14353 0 0
248 75 14525 0 0
249 74 14350 0 0
250 74 14290 0 0
251 75 14376 0 0
252 75 14400 0 0
253 75 14405 0 0
254 76 14567 0 0
255 74 14290 0 0
256 75 14500 0 0
257 74 14342 0 0
258 74 14348 0 0
259 75 14546 0 0
260 74 14365 0 0
261 74 14383 0 0
262 74 14394 0 0
263 73 14273 0 0
264 74 14452 0 0
265 75 14555 0 0
266 74 14324 0 0
267 75 14462 0 0
268 74 14257 0 0
269 76 14566 0 0
270 76 14493 0 0
271 75 14277 0 0
272 75 14254 0 0
273 75 14281 0 0
274 76 14514 0 0
275 76 14519 0 0
276 75 14409 0 0
277 74 14355 0 0
278 74 14430 0 0
279 74 14429 0 0
280 74 14385 0 0
281 74 14404 0 0
282 74 14409 0 0
283 74 14380 0 0
284 75 14546 0 0
285 75 14481 0 0
286 74 14256 0 0
287 75 14408 0 0
288 75 14327 0 0
289 75 14277 0 0
290 76 14413 0 0
291 76 14434 0 0
292 76 14461 0 0
293 75 14259 0 0
294 76 14404 0 0
295 76 14452 0 0
296 75 14336 0 0
297 75 14403 0 0
298 75 14413 0 0
299 74 14255 0 0
300 74 14316 0 0
301 75 14514 0 0
302 74 14385 0 0
303 74 14357 0 0
304 74 14356 0 0
305 75 14553 0 0
306 74 14387 0 0
307 74 14312 0 0
308 75 14463 0 0
309 75 14412 0 0
310 75 14385 0 0
311 76 14475 0 0
312 77 14574 0 0
313 77 14425 0 0
314 78 14464 0 0
315 79 14478 0 0
316 79 14471 0 0
317 79 14325 0 0
318 80 14331 0 0
319 81 14449 0 0
320 81 14311 0 0
321 82 14424 0 0
322 83 14530 0 0
323 82 14499 0 0
324 82 14344 0 0
325 82 14386 0 0
326 82 14289 0 0
327 81 14321 0 0
328 82 14454 0 0
329 81 14460 0 0
330 80 14499 0 0
331 80 14395 0 0
332 81 14515 0 0
333 81 14400 0 0
334 80 14298 0 0
335 81 14382 0 0
336 80 14438 0 0
337 79 14339 0 0
338 78 14353 0 0
339 79 14430 0 0
340 78 14248 0 0
341 79 14339 0 0
342 79 14266 0 0
343 79 14461 0 0
344 78 14352 0 0
345 77 14323 0 0
346 78 14465 0 0
347 77 14325 0 0
348 77 14268 0 0
349 78 14456 0 0
350 78 14435 0 0
351 78 14480 0 0
352 78 14515 0 0
353 77 14419 0 0
354 78 14478 0 0
355 78 14415 0 0
356 77 14366 0 0
357 77 14372 0 0
358 76 14290 0 0
359 77 14431 0 0
360 77 14443 0 0
361 77 14434 0 0
362 77 14443 0 0
363 77 14401 0 0
364 77 14342 0 0
365 78 14430 0 0
366 77 14355 0 0
367 77 14424 0 0
368 78 14435 0 0
369 78 14405 0 0
370 79 14571 0 0
371 78 14394 0 0
372 78 14416 0 0
373 77 14266 0 0
374 78 14473 0 0
375 77 14331 0 0
376 77 14435 0 0
377 76 14304 0 0
378 76 14375 0 0
379 76 14399 0 0
380 75 14330 0 0
381 76 14556 0 0
382 75 14272 0 0
383 77 14426 0 0
384 78 14504 0 0
385 78 14428 0 0
386 77 14253 0 0
387 77 14298 0 0
388 78 14452 0 0
389 78 14477 0 0
390 78 14491 0 0
391 78 14433 0 0
392 78 14441 0 0
393 78 14340 0 0
394 79 14529 0 0
395 77 14330 0 0
396 77 14393 0 0
397 77 14428 0 0
398 77 14413 0 0
399 78 14509 0 0
400 77 14285 0 0
401 78 14399 0 0
402 78 14331 0 0
403 78 14310 0 0
404 79 14399 0 0
405 79 14386 0 0
406 80 14405 0 0
407 81 14470 0 0
408 81 14347 0 0
409 81 14490 0 0
410 81 14545 0 0
411 79 14313 0 0
412 80 14516 0 0
413 79 14384 0 0
414 79 14432 0 0
415 78 14372 0 0
416 77 14319 0 0
417 77 14468 0 0
418 75 14365 0 0
419 74 14374 0 0
420 73 14308 0 0
421 74 14369 0 0
422 74 14287 0 0
423 76 14519 0 0
424 75 14349 0 0
425 75 14311 0 0
426 76 14510 0 0
427 76 14480 0 0
428 76 14478 0 0
429 75 14298 0 0
430 75 14247 0 0
431 76 14401 0 0
432 77 14563 0 0
433 76 14344 0 0
434 77 14384 0 0
435 77 14338 0 0
436 78 14484 0 0
437 78 14431 0 0
438 78 14345 0 0
439 78 14364 0 0
440 78 14394 0 0
441 78 14419 0 0
442 78 14449 0 0
443 78 14466 0 0
444 77 14380 0 0
445 77 14432 0 0
446 76 14416 0 0
447 75 14345 0 0
448 74 14218 0 0
449 75 14505 0 0
450 74 14411 0 0
451 74 14364 0 0
452 74 14313 0 0
453 75 14454 0 0
454 75 14465 0 0
455 75 14403 0 0
456 76 14361 0 0
457 77 14422 0 0
458 77 14365 0 0
459 77 14351 0 0
460 78 14562 0 0
461 77 14345 0 0
462 77 14292 0 0
463 78 14455 0 0
464 78 14455 0 0
465 78 14444 0 0
466 78 14388 0 0
467 78 14353 0 0
468 78 14434 0 0
469 78 14372 0 0
470 78 14427 0 0
471 78 14429 0 0
472 78 14382 0 0
473 78 14306 0 0
474 79 14492 0 0
475 78 14354 0 0
476 78 14378 0 0
477 77 14276 0 0
478 77 14371 0 0
479 76 14331 0 0
480 75 14307 0 0
481 74 14350 0 0
482 74 14372 0 0
483 74 14403 0 0
484 74 14424 0 0
485 74 14437 0 0
486 74 14389 0 0
487 75 14458 0 0
488 75 14402 0 0
489 76 14527 0 0
490 76 14359 0 0
491 78 14512 0 0
492 79 14433 0 0
493 80 14414 0 0
494 80 14407 0 0
495 81 14550 0 0
496 80 14368 0 0
497 80 14395 0 0
498 80 14438 0 0
499 79 14374 0 0
500 79 14414 0 0
501 79 14400 0 0
502 79 14496 0 0
503 78 14382 0 0
504 78 14484 0 0
505 77 14381 0 0
506 78 14417 0 0
507 78 14397 0 0
508 78 14364 0 0
509 78 14419 0 0
510 77 14280 0 0
511 78 14485 0 0
512 78 14503 0 0
513 77 14277 0 0
514 77 14340 0 0
515 77 14394 0 0
516 76 14351 0 0
517 76 14425 0 0
518 75 14386 0 0
519 75 14414 0 0
520 74 14289 0 0
521 75 14504 0 0
522 75 14510 0 0
523 74 14295 0 0
524 74 14282 0 0
525 75 14485 0 0
526 76 14500 0 0
527 75 14322 0 0
528 75 14287 0 0
529 76 14476 0 0
530 76 14450 0 0
531 75 14290 0 0
532 76 14414 0 0
533 75 14245 0 0
534 76 14414 0 0
535 76 14421 0 0
536 76 14427 0 0
537 76 14415 0 0
538 75 14386 0 0
539 75 14445 0 0
540 75 14480 0 0
541 74 14312 0 0
542 74 14365 0 0
543 74 14365 0 0
544 74 14385 0 0
545 75 14498 0 0
546 74 14359 0 0
547 74 14403 0 0
548 74 14458 0 0
549 73 14337 0 0
550 73 14274 0 0
551 73 14309 0 0
552 73 14281 0 0
553 74 14489 0 0
554 74 14474 0 0
555 74 14439 0 0
556 75 14527 0 0
557 74 14436 0 0
558 74 14418 0 0
559 74 14387 0 0
560 75 14445 0 0
561 76 14410 0 0
562 76 14432 0 0
563 77 14381 0 0
564 77 14495 0 0
565 76 14370 0 0
