block n60 sum_rr60 bad60 hold drowsy alert
0 8 932 2 1 0 0
1 18 2068 2 1 0 0
2 26 2951 4 1 0 0
3 28 3165 12 1 0 0
4 37 4209 13 1 0 0
5 43 4881 17 1 0 0
6 48 5423 22 1 0 0
7 52 5870 28 1 0 0
8 56 6297 33 1 0 0
9 63 7097 36 1 0 0
10 74 8360 36 1 0 0
11 83 9372 37 1 0 0
12 84 9446 37 1 0 0
13 84 9444 37 1 0 0
14 87 9823 35 1 0 0
15 90 10448 29 1 0 0
16 85 10379 28 1 0 0
17 84 10939 24 1 0 0
18 84 11629 19 1 0 0
19 85 12445 13 1 0 0
20 86 13240 8 1 0 0
21 84 13673 5 1 0 0
22 78 13650 5 1 0 0
23 74 13808 4 1 0 0
24 70 13983 2 1 0 0
25 65 14027 2 1 0 0
26 59 13935 2 1 0 0
27 59 14317 0 1 0 0
28 60 14552 0 1 0 0
29 60 14514 0 1 0 0
30 60 14455 0 1 0 0
31 60 14414 0 1 0 0
32 60 14437 0 1 0 0
33 60 14384 0 1 0 0
34 60 14255 0 1 0 0
35 60 14233 0 1 0 0
36 60 14369 0 1 0 0
37 59 14283 0 1 0 0
38 59 14460 0 1 0 0
39 58 14265 0 1 0 0
40 59 14475 0 1 0 0
41 58 14276 0 1 0 0
42 58 14317 0 1 0 0
43 58 14356 0 1 0 0
44 58 14331 0 1 0 0
45 58 14366 0 1 0 0
46 58 14468 0 1 0 0
47 58 14469 0 1 0 0
48 58 14370 0 0 1 1
49 59 14505 0 0 1 0
50 59 14342 0 0 1 0
51 60 14554 0 0 1 0
52 59 14368 0 0 1 0
53 59 14383 0 0 1 0
54 59 14418 0 0 1 1
55 59 14385 0 0 1 0
56 59 14376 0 0 1 0
57 59 14338 0 0 1 0
58 59 14302 0 0 1 0
59 59 14345 0 0 1 0
60 59 14298 0 0 1 1
61 60 14353 0 0 1 0
62 60 14361 0 0 1 0
63 60 14383 0 0 1 0
64 59 14205 0 0 1 0
65 60 14489 0 0 1 0
66 60 14561 0 0 1 1
67 59 14356 0 0 1 0
68 59 14398 0 0 1 0
69 59 14518 0 0 1 0
70 59 14490 0 0 1 0
71 59 14531 0 0 1 0
72 59 14591 0 0 1 1
73 57 14308 0 0 1 0
74 58 14539 0 0 1 0
75 58 14404 0 0 1 0
76 59 14514 0 0 1 0
77 59 14440 0 0 1 0
78 59 14262 0 0 1 1
79 60 14444 0 0 1 0
80 60 14403 0 0 1 0
81 60 14333 0 0 1 0
82 60 14345 0 0 1 0
83 61 14453 0 0 1 0
84 60 14227 0 0 1 1
85 61 14521 0 0 1 0
86 59 14185 0 0 1 0
87 59 14392 0 0 1 0
88 58 14276 0 0 1 0
89 58 14358 0 0 1 0
90 58 14477 0 0 1 1
91 57 14322 0 0 1 0
92 57 14400 0 0 1 0
93 57 14422 0 0 1 0
94 57 14472 0 0 1 0
95 56 14368 0 0 1 0
96 57 14556 0 0 1 1
97 57 14408 0 0 1 0
98 58 14547 0 0 1 0
99 57 14241 0 0 1 0
100 58 14503 0 0 1 0
101 58 14428 0 0 1 0
102 58 14442 0 0 1 1
103 58 14403 0 0 1 0
104 58 14386 0 0 1 0
105 58 14383 0 0 1 0
106 58 14396 0 0 1 0
107 57 14211 0 0 1 0
108 57 14309 0 0 1 1
109 57 14439 0 0 1 0
110 57 14440 0 0 1 0
111 57 14426 0 0 1 0
112 57 14348 0 0 1 0
113 57 14406 0 0 1 0
114 56 14183 0 0 1 1
115 57 14476 0 0 1 0
116 57 14503 0 0 1 0
117 56 14271 0 0 1 0
118 56 14331 0 0 1 0
119 57 14459 0 0 1 0
120 57 14443 0 0 1 1
121 57 14430 0 0 1 0
122 56 14225 0 0 1 0
123 57 14253 1 0 1 0
124 56 14145 1 0 1 0
125 56 14108 1 0 1 0
126 57 14228 1 0 1 1
127 57 14207 1 0 1 0
128 57 14151 1 0 1 0
129 57 14129 1 0 1 0
130 57 14033 1 0 1 0
131 58 14276 1 0 1 0
132 58 14172 1 0 1 1
