block n60 sum_rr60 hold drowsy
0 4 815 1 0
1 10 2032 1 0
2 15 3053 1 0
3 21 4293 1 0
4 27 5486 1 0
5 33 6768 1 0
6 39 7979 1 0
7 45 9152 1 0
8 51 10356 1 0
9 57 11596 1 0
10 62 12682 1 0
11 68 14002 1 0
12 69 14247 1 0
13 69 14423 1 0
14 69 14558 1 0
15 68 14392 1 0
16 68 14478 1 0
17 67 14281 1 0
18 67 14389 1 0
19 66 14408 1 0
20 65 14320 1 0
21 65 14356 1 0
22 66 14546 1 0
23 65 14254 1 0
24 66 14508 1 0
25 65 14200 1 0
26 66 14383 1 0
27 66 14417 1 0
28 66 14430 1 0
29 66 14452 1 0
30 66 14455 1 0
31 66 14346 1 0
32 67 14521 1 0
33 66 14319 1 0
34 67 14405 1 0
35 68 14604 1 0
36 67 14342 0 0
37 68 14507 0 0
38 68 14405 0 0
39 68 14363 0 0
40 68 14344 0 0
41 69 14482 0 0
42 69 14393 0 0
43 69 14364 0 0
44 69 14262 0 0
45 71 14590 0 0
46 70 14369 0 0
47 70 14258 0 0
48 72 14510 0 0
49 71 14296 0 0
50 71 14297 0 0
51 72 14409 0 0
52 72 14369 0 0
53 72 14358 0 0
54 72 14286 0 0
55 73 14413 0 0
56 73 14433 0 0
57 72 14267 0 0
58 72 14282 0 0
59 72 14342 0 0
60 71 14252 0 0
61 73 14594 0 0
62 73 14513 0 0
63 73 14434 0 0
64 73 14365 0 0
65 73 14347 0 0
66 74 14545 0 0
67 74 14572 0 0
68 74 14538 0 0
69 74 14486 0 0
70 74 14470 0 0
71 74 14448 0 0
72 74 14398 0 0
73 73 14249 0 0
74 73 14318 0 0
75 73 14435 0 0
76 73 14499 0 0
77 73 14521 0 0
78 72 14405 0 0
79 72 14379 0 0
80 71 14221 0 0
81 71 14293 0 0
82 71 14398 0 0
83 70 14374 0 0
84 69 14372 0 0
85 69 14484 0 0
86 68 14399 0 0
87 68 14409 0 0
88 68 14370 0 0
89 68 14431 0 0
90 67 14250 0 0
91 67 14367 0 0
92 67 14455 0 0
93 67 14469 0 0
94 67 14390 0 0
95 67 14370 0 0
96 68 14488 0 0
97 68 14382 0 0
98 69 14414 0 0
99 69 14414 0 0
100 69 14403 0 0
101 69 14255 0 0
102 71 14462 0 0
103 72 14408 0 0
104 73 14409 0 0
105 73 14374 0 0
106 73 14466 0 0
107 74 14524 0 0
108 74 14463 0 0
109 74 14445 0 0
110 74 14434 0 0
111 74 14393 0 0
112 74 14461 0 0
113 73 14381 0 0
114 72 14370 0 0
115 71 14331 0 0
116 71 14441 0 0
117 71 14405 0 0
