block n60 sum_rr60 bad60 hold drowsy
0 6 947 1 1 0
1 14 2123 1 1 0
2 22 3317 1 1 0
3 30 4491 1 1 0
4 38 5752 1 1 0
5 45 6878 1 1 0
6 53 8191 1 1 0
7 60 9319 1 1 0
8 67 10454 1 1 0
9 75 11769 1 1 0
10 82 12912 1 1 0
11 89 14035 1 1 0
12 91 14423 0 1 0
13 90 14391 0 1 0
14 89 14385 0 1 0
15 88 14411 0 1 0
16 87 14336 0 1 0
17 87 14398 0 1 0
18 87 14367 0 1 0
19 87 14398 0 1 0
20 87 14436 0 1 0
21 86 14311 0 1 0
22 86 14337 0 1 0
23 87 14419 0 1 0
24 87 14338 0 1 0
25 87 14322 0 1 0
26 88 14449 0 1 0
27 88 14394 0 1 0
28 89 14510 0 1 0
29 89 14479 0 1 0
30 88 14366 0 1 0
31 88 14376 0 1 0
32 88 14415 0 1 0
33 88 14413 0 1 0
34 88 14446 0 1 0
35 87 14416 0 1 0
36 87 14415 0 0 0
37 87 14403 0 0 0
38 87 14419 0 0 0
39 88 14503 0 0 0
40 89 14391 0 0 0
41 89 14308 0 0 0
42 90 14327 0 0 0
43 91 14378 0 0 0
44 93 14480 0 0 0
45 93 14364 0 0 0
46 94 14399 0 0 0
47 95 14463 0 0 0
48 94 14327 0 0 0
49 95 14484 0 0 0
50 95 14410 0 0 0
51 94 14270 0 0 0
52 93 14311 0 0 0
53 94 14458 0 0 0
54 94 14542 0 0 0
55 93 14407 0 0 0
56 92 14316 0 0 0
57 93 14489 0 0 0
58 93 14485 0 0 0
59 92 14353 0 0 0
60 93 14458 0 0 0
61 93 14390 0 0 0
62 93 14364 0 0 0
63 94 14477 0 0 0
64 94 14475 0 0 0
65 93 14367 0 0 0
66 93 14389 0 0 0
67 93 14426 0 0 0
68 92 14364 0 0 0
69 92 14429 0 0 0
70 91 14304 0 0 0
71 92 14448 0 0 0
72 91 14343 0 0 0
73 91 14398 0 0 0
74 91 14404 0 0 0
75 91 14391 0 0 0
76 91 14414 0 0 0
77 91 14430 0 0 0
78 90 14278 0 0 0
79 91 14454 0 0 0
80 91 14424 0 0 0
81 91 14406 0 0 0
82 91 14433 0 0 0
83 90 14357 0 0 0
84 91 14546 0 0 0
85 90 14441 0 0 0
86 89 14321 0 0 0
87 88 14318 0 0 0
88 88 14395 0 0 0
89 88 14431 0 0 0
90 89 14500 0 0 0
91 88 14294 0 0 0
92 89 14432 0 0 0
93 88 14281 0 0 0
94 89 14417 0 0 0
95 89 14369 0 0 0
96 89 14352 0 0 0
97 89 14352 0 0 0
98 89 14396 0 0 0
99 89 14381 0 0 0
100 89 14374 0 0 0
101 89 14360 0 0 0
102 88 14279 0 0 0
103 89 14534 0 0 0
104 88 14412 0 0 0
105 89 14460 0 0 0
106 89 14374 0 0 0
107 90 14457 0 0 0
108 90 14437 0 0 0
109 90 14441 0 0 0
110 90 14383 0 0 0
111 91 14536 0 0 0
112 90 14365 0 0 0
113 90 14362 0 0 0
114 91 14528 0 0 0
115 90 14328 0 0 0
116 90 14333 0 0 0
117 89 14325 0 0 0
118 89 14343 0 0 0
119 89 14409 0 0 0
120 88 14275 0 0 0
121 88 14293 0 0 0
122 89 14518 0 0 0
123 88 14365 0 0 0
124 88 14361 0 0 0
125 88 14384 0 0 0
126 88 14409 0 0 0
127 88 14423 0 0 0
128 88 14413 0 0 0
129 89 14503 0 0 0
130 89 14521 0 0 0
131 88 14315 0 0 0
132 89 14443 0 0 0
133 90 14545 0 0 0
134 89 14347 0 0 0
135 90 14449 0 0 0
136 90 14439 0 0 0
137 90 14415 0 0 0
138 90 14397 0 0 0
139 90 14400 0 0 0
140 90 14397 0 0 0
141 90 14441 0 0 0
142 89 14335 0 0 0
143 89 14403 0 0 0
144 89 14406 0 0 0
145 89 14352 0 0 0
146 90 14445 0 0 0
147 89 14279 0 0 0
148 90 14417 0 0 0
149 91 14520 0 0 0
150 90 14361 0 0 0
151 90 14346 0 0 0
152 90 14378 0 0 0
153 90 14303 0 0 0
154 91 14493 0 0 0
155 91 14484 0 0 0
156 90 14407 0 0 0
157 90 14438 0 0 0
158 90 14430 0 0 0
159 90 14414 0 0 0
160 90 14426 0 0 0
161 89 14334 0 0 0
162 89 14345 0 0 0
163 90 14495 0 0 0
164 90 14425 0 0 0
165 90 14466 0 0 0
166 89 14272 0 0 0
167 90 14465 0 0 0
168 90 14434 0 0 0
169 90 14420 0 0 0
170 89 14323 0 0 0
171 90 14498 0 0 0
172 89 14316 0 0 0
173 90 14445 0 0 0
174 90 14374 0 0 0
175 90 14336 0 0 0
176 91 14478 0 0 0
177 90 14320 0 0 0
178 91 14439 0 0 0
179 90 14266 0 0 0
180 91 14393 0 0 0
181 91 14390 0 0 0
182 91 14376 0 0 0
183 91 14352 0 0 0
184 92 14452 0 0 0
185 92 14393 0 0 0
186 92 14428 0 0 0
187 92 14432 0 0 0
188 91 14309 0 0 0
189 92 14503 0 0 0
190 91 14390 0 0 0
191 92 14523 0 0 0
192 91 14307 0 0 0
193 91 14309 0 0 0
194 92 14419 0 0 0
195 92 14407 0 0 0
196 92 14455 0 0 0
197 91 14355 0 0 0
198 91 14360 0 0 0
199 91 14408 0 0 0
200 91 14436 0 0 0
201 90 14258 0 0 0
202 91 14431 0 0 0
203 90 14298 0 0 0
204 91 14489 0 0 0
205 91 14445 0 0 0
206 91 14407 0 0 0
207 92 14429 0 0 0
208 92 14372 0 0 0
209 92 14378 0 0 0
210 93 14552 0 0 0
211 92 14335 0 0 0
212 93 14418 0 0 0
213 94 14509 0 0 0
214 94 14464 0 0 0
215 95 14508 0 0 0
216 94 14316 0 0 0
217 94 14339 0 0 0
218 94 14427 0 0 0
219 93 14410 0 0 0
220 93 14433 0 0 0
221 94 14503 0 0 0
222 93 14275 0 0 0
223 94 14432 0 0 0
224 94 14433 0 0 0
225 93 14303 0 0 0
226 93 14310 0 0 0
227 93 14374 0 0 0
228 94 14543 0 0 0
229 93 14418 0 0 0
230 93 14409 0 0 0
231 92 14275 0 0 0
232 93 14402 0 0 0
233 93 14401 0 0 0
234 93 14387 0 0 0
235 93 14364 0 0 0
