block n60 sum_rr60 hold drowsy
0 7 588 1 0
1 18 1489 1 0
2 24 2078 1 0
3 30 3161 1 0
4 37 4365 1 0
5 44 5664 1 0
6 50 6788 1 0
7 56 7950 1 0
8 63 9265 1 0
9 69 10386 1 0
10 75 11552 1 0
11 82 12809 1 0
12 81 13387 1 0
13 76 13661 1 0
14 76 14260 1 0
15 77 14471 1 0
16 76 14397 1 0
17 76 14426 1 0
18 76 14442 1 0
19 77 14542 1 0
20 75 14272 1 0
21 76 14473 1 0
22 76 14496 1 0
23 75 14459 1 0
24 75 14478 1 0
25 75 14442 1 0
26 75 14462 1 0
27 74 14308 1 0
28 74 14345 1 0
29 73 14208 1 0
30 73 14282 1 0
31 72 14241 1 0
32 73 14402 1 0
33 72 14273 1 0
34 73 14421 1 0
35 73 14278 1 0
36 74 14404 0 1
37 74 14340 0 1
38 75 14419 0 0
39 76 14456 0 0
40 76 14438 0 0
41 76 14451 0 0
42 76 14452 0 0
43 76 14457 0 0
44 76 14484 0 0
45 76 14563 0 0
46 74 14241 0 0
47 74 14389 0 1
48 73 14275 0 1
49 73 14459 0 1
50 72 14402 0 1
51 71 14473 0 1
52 71 14545 0 1
53 71 14547 0 1
54 70 14417 0 1
55 70 14410 0 1
56 70 14394 0 1
57 70 14334 0 1
58 71 14461 0 1
59 72 14491 0 1
60 72 14374 0 1
61 73 14384 0 1
62 73 14292 0 1
63 74 14413 0 1
64 74 14366 0 1
65 74 14371 0 1
66 75 14472 0 1
67 74 14306 0 1
68 74 14293 0 1
69 75 14467 0 1
70 75 14519 0 1
71 75 14448 0 0
72 76 14562 0 0
73 75 14355 0 0
74 76 14526 0 0
75 75 14284 0 0
76 75 14302 0 0
77 75 14252 0 0
78 76 14422 0 0
79 77 14431 0 0
80 77 14382 0 0
81 77 14398 0 0
82 76 14206 0 0
83 75 14242 0 0
84 74 14232 0 0
85 74 14366 0 1
86 74 14428 0 1
87 74 14400 0 1
88 75 14509 0 1
89 75 14467 0 1
90 74 14226 0 0
91 75 14538 0 1
92 75 14554 0 1
93 74 14370 0 1
94 75 14521 0 1
95 75 14534 0 1
96 75 14581 0 1
97 75 14571 0 1
98 74 14401 0 1
99 74 14487 0 1
100 73 14396 0 1
101 73 14402 0 1
102 73 14460 0 1
103 72 14324 0 1
104 72 14360 0 1
105 73 14420 0 1
106 73 14454 0 1
107 73 14350 0 1
108 73 14333 0 1
109 73 14316 0 1
110 73 14271 0 1
111 74 14289 0 1
112 75 14423 0 0
113 75 14418 0 0
114 75 14434 0 0
115 75 14339 0 0
116 75 14320 0 0
117 75 14357 0 0
118 75 14328 0 0
119 75 14368 0 0
120 76 14445 0 0
121 76 14399 0 0
122 76 14433 0 0
123 75 14415 0 0
124 74 14312 0 1
125 74 14424 0 1
126 74 14450 0 1
127 74 14479 0 1
128 74 14400 0 1
129 74 14390 0 1
130 75 14431 0 0
131 75 14365 0 0
132 75 14413 0 0
133 75 14443 0 0
134 75 14435 0 0
135 75 14386 0 0
136 76 14403 0 0
137 77 14440 0 0
138 77 14361 0 0
139 77 14370 0 0
140 77 14427 0 0
141 76 14346 0 0
142 75 14316 0 0
143 75 14416 0 0
144 75 14350 0 0
145 75 14325 0 0
146 76 14463 0 0
147 76 14536 0 0
148 75 14492 0 1
149 73 14266 0 1
150 73 14335 0 1
151 73 14367 0 1
152 74 14532 0 1
153 73 14332 0 1
154 74 14503 0 1
155 74 14438 0 1
156 73 14347 0 1
157 73 14374 0 1
158 73 14410 0 1
159 73 14314 0 1
160 73 14254 0 1
161 74 14373 0 1
162 75 14547 0 1
163 74 14398 0 1
164 73 14257 0 1
165 74 14451 0 1
166 73 14333 0 1
167 73 14405 0 1
168 73 14402 0 1
169 73 14435 0 1
170 72 14282 0 1
171 72 14360 0 1
172 73 14504 0 1
173 73 14538 0 1
174 72 14376 0 1
175 72 14345 0 1
176 73 14500 0 1
177 73 14417 0 1
178 74 14493 0 1
179 74 14366 0 1
180 75 14421 0 0
181 76 14467 0 0
182 76 14371 0 0
183 76 14375 0 0
184 76 14393 0 0
185 75 14243 0 0
186 76 14378 0 0
187 77 14516 0 0
188 76 14304 0 0
189 77 14476 0 0
190 76 14358 0 0
191 76 14372 0 0
192 75 14322 0 0
193 75 14373 0 0
194 76 14456 0 0
195 77 14539 0 0
196 76 14310 0 0
197 78 14520 0 0
198 77 14371 0 0
199 78 14435 0 0
200 78 14507 0 0
201 77 14352 0 0
202 77 14323 0 0
203 78 14542 0 0
204 78 14435 0 0
205 78 14382 0 0
206 78 14500 0 0
207 77 14324 0 0
208 77 14418 0 0
209 77 14472 0 0
210 78 14386 0 0
211 79 14437 0 0
212 80 14296 0 0
213 81 14321 0 0
214 82 14475 0 0
215 82 14386 0 0
216 83 14545 0 0
217 83 14502 0 0
218 82 14284 0 0
219 83 14499 0 0
220 83 14474 0 0
221 82 14362 0 0
222 81 14452 0 0
223 78 14214 0 0
224 78 14532 0 0
225 77 14434 0 0
226 77 14463 0 0
227 75 14235 0 0
228 74 14211 0 0
229 73 14282 0 1
230 73 14372 0 1
231 72 14318 0 1
232 72 14369 0 1
233 72 14336 0 1
234 72 14332 0 1
235 73 14496 0 1
236 72 14308 0 1
237 72 14461 0 1
238 71 14335 0 1
239 72 14457 0 1
240 73 14498 0 1
241 74 14465 0 1
242 75 14543 0 1
243 75 14377 0 0
244 75 14317 0 0
245 76 14507 0 0
246 76 14425 0 0
247 77 14498 0 0
248 77 14442 0 0
249 77 14340 0 0
250 78 14402 0 0
251 79 14540 0 0
252 78 14404 0 0
253 77 14335 0 0
254 76 14255 0 0
255 76 14328 0 0
256 77 14548 0 0
257 76 14263 0 0
258 76 14305 0 0
259 76 14317 0 0
260 76 14323 0 0
261 76 14373 0 0
262 76 14375 0 0
263 76 14358 0 0
264 77 14371 0 0
265 78 14417 0 0
266 79 14490 0 0
267 79 14451 0 0
268 79 14372 0 0
269 79 14450 0 0
270 79 14419 0 0
271 79 14474 0 0
272 79 14463 0 0
273 79 14453 0 0
274 79 14482 0 0
275 78 14380 0 0
276 77 14402 0 0
277 76 14364 0 0
278 75 14322 0 0
279 76 14451 0 0
280 75 14286 0 0
281 76 14382 0 0
282 76 14423 0 0
283 75 14244 0 0
284 75 14313 0 0
285 75 14337 0 0
286 74 14252 0 0
287 74 14327 0 1
288 74 14402 0 1
289 74 14401 0 1
290 75 14431 0 0
291 75 14377 0 0
292 76 14473 0 0
293 76 14424 0 0
294 77 14491 0 0
295 78 14450 0 0
296 78 14386 0 0
297 80 14486 0 0
298 81 14512 0 0
299 81 14475 0 0
300 81 14347 0 0
301 82 14518 0 0
302 81 14481 0 0
303 80 14449 0 0
304 79 14450 0 0
305 78 14384 0 0
306 77 14325 0 0
307 76 14363 0 0
308 77 14569 0 0
309 75 14448 0 0
310 74 14306 0 1
311 75 14442 0 0
312 75 14452 0 0
313 75 14333 0 0
314 76 14325 0 0
315 77 14369 0 0
316 77 14248 0 0
317 78 14480 0 0
318 78 14382 0 0
319 79 14504 0 0
320 78 14274 0 0
321 79 14383 0 0
322 80 14532 0 0
323 79 14275 0 0
324 80 14492 0 0
325 78 14328 0 0
326 77 14410 0 0
327 76 14436 0 0
328 76 14486 0 0
329 76 14409 0 0
330 76 14477 0 0
331 75 14367 0 0
332 75 14457 0 0
333 74 14351 0 1
334 74 14354 0 1
335 73 14384 0 1
336 72 14266 0 1
337 73 14480 0 1
338 73 14478 0 1
339 72 14279 0 1
340 72 14349 0 1
341 72 14404 0 1
342 72 14421 0 1
343 72 14334 0 1
344 72 14335 0 1
345 72 14322 0 1
346 72 14408 0 1
347 73 14462 0 1
348 73 14444 0 1
349 73 14398 0 1
350 73 14354 0 1
351 74 14476 0 1
352 74 14462 0 1
353 73 14262 0 1
354 74 14435 0 1
355 73 14349 0 1
356 73 14367 0 1
357 73 14384 0 1
358 73 14419 0 1
359 73 14361 0 1
360 74 14347 0 1
361 75 14364 0 0
362 77 14398 0 0
363 78 14458 0 0
364 79 14459 0 0
365 80 14535 0 0
366 79 14363 0 0
367 80 14558 0 0
368 79 14368 0 0
369 80 14596 0 0
370 78 14254 0 0
371 78 14432 0 0
372 77 14402 0 0
373 76 14350 0 0
374 74 14310 0 1
375 73 14311 0 1
376 72 14343 0 1
377 70 14237 0 1
378 70 14358 0 1
379 69 14271 0 1
380 70 14492 0 1
381 69 14331 0 1
382 69 14406 0 1
383 70 14502 0 1
384 69 14373 0 1
385 70 14481 0 1
386 71 14548 0 1
387 71 14476 0 1
388 71 14429 0 1
389 72 14491 0 1
390 72 14416 0 1
391 73 14426 0 1
392 74 14502 0 1
393 74 14290 0 1
394 76 14483 0 0
395 75 14288 0 0
396 76 14473 0 0
397 75 14381 0 0
398 74 14272 0 1
399 74 14344 0 1
400 74 14375 0 1
401 74 14352 0 1
402 74 14331 0 1
403 74 14427 0 1
404 74 14397 0 1
405 74 14511 0 1
406 74 14390 0 1
407 74 14430 0 1
408 74 14354 0 1
409 75 14491 0 1
410 75 14452 0 0
411 75 14375 0 0
412 75 14331 0 0
413 75 14339 0 0
414 76 14498 0 0
415 76 14381 0 0
416 76 14372 0 0
417 76 14299 0 0
418 76 14419 0 0
419 77 14394 0 0
420 79 14534 0 0
421 79 14374 0 0
422 79 14326 0 0
423 79 14352 0 0
424 80 14506 0 0
425 80 14528 0 0
426 79 14341 0 0
427 79 14381 0 0
428 79 14446 0 0
429 79 14551 0 0
430 78 14423 0 0
431 77 14366 0 0
432 75 14294 0 0
433 75 14410 0 0
434 75 14536 0 1
435 75 14488 0 1
436 74 14351 0 1
437 74 14314 0 1
438 75 14401 0 0
439 76 14544 0 0
440 75 14303 0 0
441 76 14341 0 0
442 77 14431 0 0
443 77 14450 0 0
444 77 14381 0 0
445 76 14258 0 0
446 76 14227 0 0
447 77 14433 0 0
448 77 14413 0 0
449 77 14429 0 0
450 77 14391 0 0
451 77 14290 0 0
452 79 14480 0 0
453 78 14313 0 0
454 77 14299 0 0
455 77 14343 0 0
456 77 14369 0 0
457 77 14380 0 0
458 78 14578 0 0
459 77 14446 0 0
460 76 14296 0 0
461 76 14394 0 0
462 75 14332 0 0
463 75 14491 0 1
464 73 14391 0 1
465 73 14470 0 1
466 74 14516 0 1
467 74 14400 0 1
468 76 14532 0 0
469 76 14428 0 0
470 76 14330 0 0
471 76 14273 0 0
472 78 14546 0 0
473 78 14401 0 0
474 79 14552 0 0
475 78 14331 0 0
476 79 14373 0 0
477 80 14490 0 0
478 80 14398 0 0
479 81 14502 0 0
480 79 14293 0 0
481 80 14416 0 0
482 80 14393 0 0
483 80 14409 0 0
484 80 14396 0 0
485 80 14360 0 0
486 80 14415 0 0
487 80 14429 0 0
488 80 14453 0 0
489 79 14376 0 0
490 78 14395 0 0
491 77 14429 0 0
492 76 14404 0 0
493 75 14422 0 0
494 74 14344 0 1
495 74 14376 0 1
496 74 14279 0 1
497 75 14490 0 1
498 75 14364 0 0
499 75 14337 0 0
500 74 14255 0 0
501 74 14240 0 0
502 75 14392 0 0
503 75 14327 0 0
504 76 14509 0 0
505 76 14461 0 0
506 76 14369 0 0
507 77 14409 0 0
508 77 14446 0 0
509 77 14388 0 0
510 77 14343 0 0
511 78 14440 0 0
512 79 14519 0 0
513 80 14590 0 0
514 79 14266 0 0
515 81 14474 0 0
516 82 14422 0 0
517 82 14342 0 0
518 83 14452 0 0
519 83 14443 0 0
520 83 14445 0 0
521 83 14446 0 0
522 83 14459 0 0
523 83 14441 0 0
524 84 14387 0 0
525 84 14356 0 0
526 84 14395 0 0
527 83 14267 0 0
528 83 14362 0 0
529 83 14421 0 0
530 82 14378 0 0
531 82 14481 0 0
532 80 14287 0 0
533 79 14253 0 0
534 78 14300 0 0
535 77 14302 0 0
536 75 14281 0 0
537 74 14371 0 1
538 74 14428 0 1
539 73 14373 0 1
540 73 14424 0 1
541 73 14475 0 1
542 73 14520 0 1
543 72 14273 0 1
544 74 14445 0 1
545 75 14461 0 1
546 77 14545 0 0
547 79 14530 0 0
548 82 14536 0 0
549 84 14415 0 0
550 86 14465 0 0
551 88 14545 0 0
552 89 14426 0 0
553 90 14405 0 0
554 90 14284 0 0
555 91 14440 0 0
556 91 14514 0 0
557 91 14506 0 0
558 90 14383 0 0
559 88 14317 0 0
560 86 14358 0 0
561 84 14301 0 0
562 82 14336 0 0
563 80 14283 0 0
564 78 14305 0 0
565 77 14360 0 0
566 77 14464 0 0
567 76 14446 0 0
568 76 14341 0 0
569 77 14391 0 0
570 76 14276 0 0
571 78 14444 0 0
572 77 14312 0 0
573 78 14550 0 0
574 78 14451 0 0
575 78 14483 0 0
576 78 14433 0 0
577 78 14462 0 0
578 77 14316 0 0
579 77 14323 0 0
580 76 14406 0 0
581 74 14398 0 1
582 74 14433 0 1
583 72 14405 0 1
584 72 14526 0 1
585 71 14384 0 1
586 71 14446 0 1
587 70 14256 0 1
588 70 14384 0 1
589 70 14359 0 1
590 71 14544 0 1
591 70 14344 0 1
592 70 14294 0 1
593 70 14327 0 1
594 70 14422 0 1
595 70 14363 0 1
596 70 14341 0 1
597 70 14322 0 1
598 70 14258 0 1
599 72 14587 0 1
600 71 14319 0 1
601 72 14433 0 1
602 72 14390 0 1
603 73 14544 0 1
604 73 14492 0 1
605 73 14371 0 1
606 74 14391 0 1
607 75 14477 0 1
608 75 14313 0 0
609 76 14420 0 0
610 77 14496 0 0
611 77 14288 0 0
612 79 14509 0 0
613 79 14371 0 0
614 79 14337 0 0
615 79 14329 0 0
616 79 14425 0 0
617 79 14515 0 0
618 77 14309 0 0
619 76 14275 0 0
620 76 14456 0 0
621 75 14394 0 0
622 74 14382 0 1
623 73 14430 0 1
624 72 14337 0 1
625 71 14271 0 1
626 71 14300 0 1
627 72 14514 0 1
628 71 14271 0 1
629 72 14360 0 1
630 73 14492 0 1
631 73 14387 0 1
632 74 14472 0 1
633 74 14382 0 1
634 75 14463 0 1
635 76 14442 0 0
636 77 14417 0 0
637 78 14494 0 0
638 79 14490 0 0
639 78 14242 0 0
640 79 14551 0 0
641 78 14429 0 0
642 78 14400 0 0
643 78 14444 0 0
644 77 14290 0 0
645 78 14449 0 0
646 77 14375 0 0
647 76 14319 0 0
648 76 14466 0 0
649 75 14349 0 0
650 75 14420 0 0
651 76 14501 0 0
652 77 14319 0 0
653 78 14335 0 0
654 78 14338 0 0
655 78 14342 0 0
656 78 14387 0 0
657 77 14363 0 0
658 77 14383 0 0
659 77 14383 0 0
660 76 14364 0 0
661 76 14496 0 0
662 75 14341 0 0
663 76 14447 0 0
664 75 14457 0 0
665 74 14321 0 1
666 76 14549 0 0
667 76 14462 0 0
668 76 14442 0 0
669 76 14350 0 0
670 76 14368 0 0
671 76 14379 0 0
672 76 14290 0 0
673 77 14391 0 0
674 77 14425 0 0
675 76 14370 0 0
676 76 14340 0 0
677 77 14492 0 0
678 76 14271 0 0
679 77 14370 0 0
680 78 14423 0 0
681 78 14384 0 0
682 78 14349 0 0
683 80 14497 0 0
684 82 14578 0 0
685 82 14429 0 0
686 83 14482 0 0
687 82 14361 0 0
688 82 14447 0 0
689 81 14438 0 0
690 80 14509 0 0
691 79 14486 0 0
692 78 14487 0 0
693 77 14380 0 0
694 77 14451 0 0
695 75 14445 0 0
696 73 14410 0 1
697 71 14246 0 1
698 70 14272 0 1
699 70 14309 0 1
700 70 14346 0 1
701 71 14319 0 1
702 72 14301 0 1
703 74 14415 0 1
704 74 14286 0 1
705 77 14578 0 0
706 77 14327 0 0
707 78 14419 0 0
708 77 14196 0 0
709 78 14429 0 0
710 78 14512 0 0
711 77 14414 0 0
712 77 14384 0 0
713 76 14432 0 0
714 75 14503 0 1
715 73 14404 0 1
716 74 14464 0 1
717 72 14249 0 1
718 72 14397 0 1
719 71 14211 0 1
720 73 14601 0 1
721 74 14495 0 1
722 75 14339 0 0
723 78 14491 0 0
724 79 14482 0 0
725 79 14414 0 0
726 79 14362 0 0
727 79 14421 0 0
728 77 14284 0 0
729 77 14386 0 0
730 77 14443 0 0
731 77 14502 0 0
732 76 14276 0 0
733 76 14292 0 0
734 77 14483 0 0
735 76 14373 0 0
736 76 14474 0 0
737 77 14452 0 0
738 77 14360 0 0
739 79 14406 0 0
740 80 14461 0 0
741 80 14487 0 0
742 80 14415 0 0
743 80 14321 0 0
744 81 14500 0 0
745 80 14404 0 0
746 78 14305 0 0
747 77 14355 0 0
748 76 14238 0 0
749 76 14347 0 0
750 77 14493 0 0
751 75 14362 0 0
752 75 14422 0 0
753 75 14387 0 0
754 75 14394 0 0
755 76 14485 0 0
756 76 14289 0 0
757 78 14508 0 0
758 80 14508 0 0
759 81 14526 0 0
760 81 14452 0 0
761 81 14370 0 0
762 81 14258 0 0
763 81 14245 0 0
764 82 14479 0 0
765 82 14480 0 0
766 82 14486 0 0
767 81 14394 0 0
768 80 14449 0 0
769 78 14330 0 0
770 76 14298 0 0
771 75 14337 0 0
772 75 14390 0 0
773 74 14419 0 1
774 73 14431 0 1
775 74 14530 0 1
776 74 14344 0 1
777 74 14230 0 0
778 75 14399 0 0
779 75 14349 0 0
780 76 14399 0 0
781 78 14514 0 0
782 79 14407 0 0
783 81 14455 0 0
784 81 14505 0 0
785 80 14308 0 0
786 80 14332 0 0
787 79 14414 0 0
788 77 14284 0 0
789 77 14415 0 0
790 77 14439 0 0
791 77 14475 0 0
792 77 14384 0 0
793 77 14363 0 0
794 77 14367 0 0
795 76 14295 0 0
796 76 14265 0 0
797 78 14562 0 0
798 79 14554 0 0
799 79 14425 0 0
800 80 14522 0 0
801 80 14439 0 0
802 79 14270 0 0
803 80 14461 0 0
804 78 14298 0 0
805 76 14310 0 0
806 75 14483 0 1
807 74 14433 0 1
808 75 14502 0 1
809 74 14356 0 1
810 73 14387 0 1
811 73 14301 0 1
812 75 14447 0 0
813 76 14496 0 0
814 77 14456 0 0
815 77 14298 0 0
816 78 14436 0 0
817 79 14468 0 0
818 80 14458 0 0
819 81 14419 0 0
820 81 14356 0 0
821 81 14411 0 0
822 81 14367 0 0
823 81 14402 0 0
824 79 14278 0 0
825 78 14273 0 0
826 77 14309 0 0
827 77 14473 0 0
828 78 14525 0 0
829 77 14342 0 0
830 77 14354 0 0
831 76 14395 0 0
832 75 14325 0 0
833 75 14331 0 0
834 75 14309 0 0
835 75 14342 0 0
836 76 14507 0 0
837 76 14492 0 0
838 76 14493 0 0
839 75 14395 0 0
840 75 14433 0 0
841 76 14493 0 0
842 75 14379 0 0
843 76 14412 0 0
844 77 14407 0 0
845 78 14452 0 0
846 79 14449 0 0
847 80 14564 0 0
848 78 14263 0 0
849 79 14425 0 0
850 79 14466 0 0
851 79 14433 0 0
852 77 14225 0 0
853 77 14391 0 0
854 76 14278 0 0
855 75 14302 0 0
856 74 14454 0 1
857 73 14383 0 1
858 72 14388 0 1
859 72 14295 0 1
860 74 14497 0 1
861 73 14288 0 1
862 74 14402 0 1
863 74 14390 0 1
864 74 14438 0 1
865 73 14305 0 1
866 74 14528 0 1
867 74 14543 0 1
868 74 14505 0 1
869 73 14345 0 1
870 73 14424 0 1
871 72 14475 0 1
872 71 14417 0 1
873 71 14382 0 1
874 71 14340 0 1
875 71 14247 0 1
876 73 14430 0 1
877 74 14419 0 1
878 74 14336 0 1
879 74 14296 0 1
880 74 14253 0 0
881 75 14420 0 0
882 75 14490 0 1
883 74 14257 0 0
884 74 14288 0 1
885 74 14478 0 1
886 73 14295 0 1
887 74 14530 0 1
888 73 14373 0 1
889 73 14378 0 1
890 74 14438 0 1
891 75 14389 0 0
892 77 14522 0 0
893 77 14369 0 0
894 77 14283 0 0
895 79 14576 0 0
896 77 14207 0 0
897 77 14119 0 0
898 77 14146 0 0
899 76 14009 0 0
900 77 14209 0 0
901 77 14188 0 0
902 76 13988 0 0
903 76 14086 0 0
904 74 13991 0 0
905 74 14072 0 0
906 75 14182 0 0
907 73 13907 0 0
908 75 14298 0 0
909 76 14432 0 0
910 76 14499 0 0
911 76 14449 0 0
912 75 14345 0 0
913 75 14339 0 0
914 75 14442 0 0
915 74 14427 0 1
916 74 14469 0 1
917 73 14409 0 1
918 72 14288 0 1
919 73 14436 0 1
920 73 14421 0 1
921 73 14302 0 1
922 74 14355 0 1
923 75 14373 0 0
924 77 14414 0 0
925 77 14358 0 0
926 77 14408 0 0
927 77 14408 0 0
928 77 14301 0 0
929 78 14487 0 0
930 78 14488 0 0
931 77 14377 0 0
932 77 14444 0 0
933 75 14322 0 0
934 74 14313 0 1
935 74 14420 0 1
936 72 14279 0 1
937 72 14436 0 1
938 71 14349 0 1
939 71 14356 0 1
940 71 14444 0 1
941 71 14410 0 1
942 71 14416 0 1
943 71 14439 0 1
944 71 14355 0 1
945 72 14492 0 1
946 72 14420 0 1
947 71 14323 0 1
948 71 14399 0 1
949 71 14397 0 1
950 73 14512 0 1
951 73 14441 0 1
952 73 14414 0 1
953 73 14396 0 1
954 73 14381 0 1
955 74 14510 0 1
956 73 14333 0 1
957 73 14345 0 1
958 73 14374 0 1
959 74 14483 0 1
960 74 14434 0 1
961 74 14321 0 1
962 75 14439 0 0
963 76 14432 0 0
964 76 14428 0 0
965 76 14377 0 0
966 77 14430 0 0
967 77 14324 0 0
968 79 14463 0 0
969 80 14476 0 0
970 80 14436 0 0
971 79 14323 0 0
972 79 14420 0 0
973 78 14464 0 0
974 76 14332 0 0
975 74 14263 0 0
976 74 14330 0 1
977 75 14410 0 0
978 74 14268 0 1
979 74 14362 0 1
980 74 14506 0 1
981 72 14338 0 1
982 72 14381 0 1
983 73 14484 0 1
984 72 14312 0 1
985 72 14353 0 1
986 72 14405 0 1
987 73 14540 0 1
988 74 14512 0 1
989 73 14280 0 1
990 75 14526 0 1
991 75 14361 0 0
992 74 14261 0 0
993 75 14436 0 0
994 75 14461 0 1
995 74 14411 0 1
996 75 14538 0 1
997 75 14477 0 1
998 76 14465 0 0
999 76 14310 0 0
1000 75 14301 0 0
1001 75 14464 0 1
1002 73 14336 0 1
1003 73 14527 0 1
1004 73 14511 0 1
1005 73 14454 0 1
1006 73 14408 0 1
1007 73 14328 0 1
1008 73 14309 0 1
1009 74 14392 0 1
1010 74 14374 0 1
1011 74 14424 0 1
1012 76 14474 0 0
1013 77 14465 0 0
1014 79 14458 0 0
1015 79 14374 0 0
1016 78 14249 0 0
1017 78 14268 0 0
1018 78 14327 0 0
1019 78 14428 0 0
1020 78 14464 0 0
1021 78 14398 0 0
1022 78 14363 0 0
1023 79 14467 0 0
1024 77 14283 0 0
1025 76 14358 0 0
1026 74 14394 0 1
1027 74 14453 0 1
1028 74 14409 0 1
1029 74 14487 0 1
1030 74 14444 0 1
1031 73 14278 0 1
1032 74 14473 0 1
1033 73 14427 0 1
1034 72 14481 0 1
1035 70 14292 0 1
1036 70 14464 0 1
1037 70 14456 0 1
1038 70 14387 0 1
1039 69 14206 0 1
1040 70 14445 0 1
1041 70 14409 0 1
1042 70 14444 0 1
1043 71 14603 0 1
1044 69 14249 0 1
1045 70 14314 0 1
1046 71 14337 0 1
1047 72 14488 0 1
1048 72 14425 0 1
1049 72 14427 0 1
1050 71 14323 0 1
1051 72 14459 0 1
1052 73 14518 0 1
1053 74 14479 0 1
1054 74 14326 0 1
1055 74 14261 0 0
1056 75 14440 0 0
1057 74 14472 0 1
1058 72 14261 0 1
1059 72 14357 0 1
1060 72 14369 0 1
1061 72 14394 0 1
1062 72 14344 0 1
1063 73 14519 0 1
1064 73 14399 0 1
1065 72 14268 0 1
1066 73 14423 0 1
1067 74 14519 0 1
1068 75 14467 0 1
1069 76 14382 0 0
1070 78 14435 0 0
1071 78 14397 0 0
1072 78 14397 0 0
1073 78 14338 0 0
1074 78 14411 0 0
1075 77 14339 0 0
1076 76 14323 0 0
1077 75 14319 0 0
1078 75 14476 0 1
1079 73 14235 0 1
1080 73 14443 0 1
1081 72 14467 0 1
1082 71 14516 0 1
1083 71 14423 0 1
1084 72 14339 0 1
1085 74 14429 0 1
1086 76 14420 0 0
