block n60 sum_rr60 bad60 hold drowsy alert
0 3 558 3 1 0 0
1 10 1827 3 1 0 0
2 17 3099 3 1 0 0
3 23 4209 3 1 0 0
4 30 5463 3 1 0 0
5 37 6710 3 1 0 0
6 44 7892 3 1 0 0
7 51 8996 3 1 0 0
8 58 10319 3 1 0 0
9 65 11541 3 1 0 0
10 72 12698 3 1 0 0
11 79 13900 3 1 0 0
12 82 14258 1 1 0 0
13 81 14205 1 1 0 0
14 81 14211 1 1 0 0
15 81 14268 1 1 0 0
16 80 14107 1 1 0 0
17 80 14237 1 1 0 0
18 79 14135 1 1 0 0
19 79 14325 1 1 0 0
20 78 14130 1 1 0 0
21 78 14197 1 1 0 0
22 77 14151 1 1 0 0
23 77 14184 1 1 0 0
24 78 14431 0 1 0 0
25 79 14463 0 1 0 0
26 78 14323 0 1 0 0
27 78 14281 0 1 0 0
28 79 14566 0 1 0 0
29 78 14363 0 1 0 0
30 78 14439 0 1 0 0
31 77 14297 0 1 0 0
32 77 14333 0 1 0 0
33 77 14302 0 1 0 0
34 78 14402 0 1 0 0
35 78 14417 0 1 0 0
36 77 14383 0 0 0 0
37 76 14285 0 0 0 0
38 76 14363 0 0 0 0
39 77 14504 0 0 0 0
40 76 14308 0 0 0 0
41 76 14345 0 0 0 0
42 76 14341 0 0 0 0
43 76 14363 0 0 0 0
44 77 14502 0 0 0 0
45 76 14363 0 0 0 0
46 76 14343 0 0 0 0
47 76 14333 0 0 0 0
48 77 14383 0 0 0 0
49 78 14407 0 0 0 0
50 78 14381 0 0 0 0
51 78 14453 0 0 0 0
52 78 14463 0 0 0 0
53 78 14396 0 0 0 0
54 78 14410 0 0 0 0
55 78 14385 0 0 0 0
56 78 14379 0 0 0 0
57 79 14542 0 0 0 0
58 78 14457 0 0 0 0
59 78 14472 0 0 0 0
60 77 14378 0 0 0 0
61 77 14468 0 0 0 0
62 78 14540 0 0 0 0
63 78 14429 0 0 0 0
64 78 14342 0 0 0 0
65 79 14491 0 0 0 0
66 79 14502 0 0 0 0
67 79 14566 0 0 0 0
68 78 14427 0 0 0 0
69 77 14286 0 0 0 0
70 77 14398 0 0 0 0
71 76 14383 0 0 0 0
