block n60 sum_rr60 hold drowsy
0 5 876 1 0
1 11 1981 1 0
2 18 3188 1 0
3 25 4436 1 0
4 32 5563 1 0
5 40 6816 1 0
6 47 8071 1 0
7 53 9138 1 0
8 60 10441 1 0
9 67 11700 1 0
10 73 12828 1 0
11 79 13943 1 0
12 81 14361 1 0
13 81 14358 1 0
14 81 14459 1 0
15 81 14452 1 0
16 80 14393 1 0
17 79 14346 1 0
18 79 14336 1 0
19 80 14536 1 0
20 79 14319 1 0
21 79 14313 1 0
22 80 14474 1 0
23 80 14426 1 0
24 80 14407 1 0
25 81 14531 1 0
26 81 14442 1 0
27 80 14268 1 0
28 81 14419 1 0
29 82 14536 1 0
30 81 14394 1 0
31 80 14288 1 0
32 80 14349 1 0
33 80 14430 1 0
34 79 14285 1 0
35 80 14517 1 0
36 79 14352 0 0
37 79 14367 0 0
38 79 14340 0 0
39 80 14480 0 0
40 80 14454 0 0
41 79 14356 0 0
42 80 14474 0 0
43 81 14519 0 0
44 82 14577 0 0
45 82 14384 0 0
46 83 14489 0 0
47 82 14297 0 0
48 83 14425 0 0
49 83 14456 0 0
50 82 14364 0 0
51 82 14437 0 0
52 81 14378 0 0
53 81 14425 0 0
54 80 14291 0 0
55 80 14335 0 0
56 80 14398 0 0
57 79 14323 0 0
58 79 14376 0 0
59 79 14371 0 0
60 79 14415 0 0
61 78 14242 0 0
62 79 14445 0 0
63 78 14276 0 0
64 79 14448 0 0
65 78 14332 0 0
66 78 14357 0 0
67 78 14394 0 0
68 78 14385 0 0
69 79 14525 0 0
70 79 14375 0 0
71 80 14454 0 0
72 80 14399 0 0
73 81 14541 0 0
74 80 14348 0 0
75 81 14525 0 0
76 80 14295 0 0
77 81 14452 0 0
78 81 14487 0 0
79 81 14484 0 0
80 80 14329 0 0
81 80 14359 0 0
82 80 14420 0 0
83 81 14488 0 0
84 81 14361 0 0
85 81 14348 0 0
86 82 14405 0 0
87 82 14316 0 0
88 83 14531 0 0
89 82 14316 0 0
90 83 14490 0 0
91 82 14289 0 0
92 83 14456 0 0
93 82 14297 0 0
94 82 14349 0 0
95 81 14368 0 0
96 80 14397 0 0
97 80 14437 0 0
98 79 14354 0 0
99 79 14368 0 0
100 80 14422 0 0
101 80 14432 0 0
102 79 14258 0 0
103 79 14334 0 0
104 79 14353 0 0
105 80 14521 0 0
106 79 14414 0 0
107 78 14318 0 0
