block n60 sum_rr60 hold drowsy
0 2 301 1 0
1 9 1568 1 0
2 16 2769 1 0
3 23 4028 1 0
4 29 5160 1 0
5 36 6411 1 0
6 42 7603 1 0
7 48 8788 1 0
8 54 9977 1 0
9 60 11178 1 0
10 66 12348 1 0
11 72 13483 1 0
12 77 14491 1 0
13 76 14402 1 0
14 75 14352 1 0
15 74 14252 1 0
16 74 14241 1 0
17 73 14130 1 0
18 74 14274 1 0
19 74 14299 1 0
20 74 14278 1 0
21 74 14213 1 0
22 74 14223 1 0
23 74 14287 1 0
24 73 14140 1 0
25 74 14321 1 0
26 74 14360 1 0
27 74 14380 1 0
28 74 14480 1 0
29 74 14552 1 0
30 73 14397 1 0
31 73 14411 1 0
32 72 14265 1 0
33 72 14364 1 0
34 72 14378 1 0
35 72 14374 1 0
36 73 14557 0 0
37 71 14224 0 0
38 71 14261 0 0
39 71 14279 0 0
40 72 14422 0 0
41 72 14377 0 0
42 72 14378 0 0
43 72 14350 0 0
44 73 14505 0 0
45 73 14447 0 0
46 73 14400 0 0
47 74 14538 0 0
48 73 14315 0 0
49 75 14577 0 0
50 75 14478 0 0
51 75 14411 0 0
52 74 14222 0 0
53 74 14245 0 0
54 74 14269 0 0
55 74 14304 0 0
56 74 14320 0 0
57 75 14493 0 0
58 75 14511 0 0
59 74 14374 0 0
60 74 14395 0 0
61 73 14288 0 0
62 73 14332 0 0
63 73 14362 0 0
64 74 14549 0 0
65 74 14494 0 0
66 74 14462 0 0
67 74 14430 0 0
68 74 14418 0 0
69 73 14236 0 0
70 74 14437 0 0
71 74 14410 0 0
72 74 14428 0 0
73 74 14377 0 0
74 74 14365 0 0
75 75 14556 0 0
76 74 14311 0 0
77 74 14318 0 0
78 75 14437 0 0
79 75 14356 0 0
80 76 14472 0 0
81 76 14432 0 0
82 76 14381 0 0
83 76 14342 0 0
84 77 14395 0 0
85 78 14475 0 0
86 79 14561 0 0
87 78 14331 0 0
88 78 14362 0 0
89 79 14504 0 0
90 79 14478 0 0
91 79 14470 0 0
92 79 14429 0 0
93 79 14397 0 0
94 79 14385 0 0
95 79 14372 0 0
96 79 14441 0 0
97 78 14344 0 0
98 77 14243 0 0
99 78 14487 0 0
100 78 14448 0 0
101 78 14439 0 0
102 77 14332 0 0
103 77 14334 0 0
104 77 14359 0 0
105 77 14399 0 0
106 77 14430 0 0
107 77 14487 0 0
108 76 14353 0 0
109 76 14411 0 0
110 76 14435 0 0
111 75 14234 0 0
112 76 14459 0 0
113 75 14347 0 0
114 75 14346 0 0
115 75 14434 0 0
116 74 14300 0 0
117 74 14361 0 0
118 73 14208 0 0
119 73 14228 0 0
120 73 14196 0 0
121 74 14404 0 0
122 74 14344 0 0
123 74 14334 0 0
124 73 14052 0 0
125 74 14158 0 0
126 74 14112 0 0
127 75 14244 0 0
128 76 14273 0 0
129 77 14307 0 0
130 78 14361 0 0
131 78 14277 0 0
132 78 14305 0 0
133 77 14129 0 0
134 77 14204 0 0
135 77 14223 0 0
136 78 14544 0 0
137 77 14451 0 0
138 77 14500 0 0
139 76 14360 0 0
140 75 14282 0 0
141 75 14424 0 0
142 74 14312 0 0
143 74 14374 0 0
144 74 14381 0 0
145 75 14491 0 0
146 75 14437 0 0
147 76 14547 0 0
148 74 14154 0 0
149 74 14101 0 0
150 74 14070 0 0
151 75 14162 0 0
152 75 14116 0 0
153 75 13965 0 0
154 76 14029 0 0
155 76 13946 0 0
156 77 14120 0 0
157 76 13923 0 0
158 77 14084 0 0
159 76 13981 0 0
160 77 14136 0 0
161 77 14192 0 0
162 77 14229 0 0
163 76 14121 0 0
164 76 14264 0 0
165 75 14232 0 0
166 74 14249 0 0
167 74 14355 0 0
168 74 14403 0 0
169 74 14485 0 0
170 72 14227 0 0
171 72 14263 0 0
172 72 14332 0 0
173 72 14362 0 0
174 72 14408 0 0
175 72 14450 0 0
176 72 14468 0 0
177 72 14473 0 0
178 72 14453 0 0
179 72 14394 0 0
180 71 14206 0 0
181 72 14256 0 0
182 73 14338 0 0
183 74 14330 0 0
184 75 14391 0 0
185 75 14272 0 0
186 76 14355 0 0
187 76 14271 0 0
188 77 14327 0 0
189 78 14359 0 0
190 78 14279 0 0
191 79 14296 0 0
192 79 14233 0 0
193 78 14207 0 0
194 77 14094 0 0
195 77 14240 0 0
196 76 14150 0 0
197 75 14076 0 0
198 74 13913 0 0
199 74 13972 0 0
200 73 13886 0 0
201 72 13854 0 0
202 72 13953 0 0
203 71 13905 0 0
204 72 14145 0 0
205 72 14057 0 0
206 73 14228 0 0
207 73 14164 0 0
208 73 14106 0 0
209 75 14389 0 0
210 75 14397 0 0
211 75 14376 0 0
212 75 14351 0 0
213 75 14401 0 0
214 75 14252 0 0
215 76 14440 0 0
216 75 14153 0 0
217 75 14195 0 0
218 75 14194 0 0
219 75 14275 0 0
220 75 14332 0 0
221 74 14191 0 0
222 74 14261 0 0
223 74 14186 0 0
224 74 14251 0 0
225 74 14199 0 0
226 74 14335 0 0
227 73 14176 0 0
228 74 14349 0 0
229 74 14294 0 0
230 75 14462 0 0
231 74 14220 0 0
232 74 14198 0 0
233 75 14327 0 0
234 76 14344 0 0
235 76 14381 0 0
236 76 14269 0 0
237 77 14370 0 0
238 78 14402 0 0
239 79 14522 0 0
240 78 14337 0 0
241 79 14495 0 0
242 78 14235 0 0
243 79 14475 0 0
244 79 14468 0 0
245 79 14396 0 0
246 79 14339 0 0
247 79 14303 0 0
248 80 14508 0 0
249 79 14308 0 0
250 79 14292 0 0
251 79 14356 0 0
252 79 14442 0 0
253 78 14330 0 0
254 78 14439 0 0
255 77 14252 0 0
256 77 14325 0 0
257 76 14320 0 0
258 75 14410 0 0
259 74 14262 0 0
260 74 14233 0 0
261 75 14301 0 0
262 75 14349 0 0
263 74 14146 0 0
264 74 14146 0 0
265 74 14189 0 0
266 74 14125 0 0
267 75 14269 0 0
268 75 14165 0 0
269 76 14274 0 0
270 76 14164 0 0
271 77 14338 0 0
272 77 14279 0 0
273 76 14272 0 0
274 76 14376 0 0
275 76 14437 0 0
276 76 14441 0 0
277 76 14413 0 0
278 76 14418 0 0
279 76 14429 0 0
280 76 14480 0 0
281 75 14303 0 0
282 75 14273 0 0
283 75 14362 0 0
284 75 14499 0 0
285 75 14538 0 0
286 73 14241 0 0
287 73 14252 0 0
288 73 14307 0 0
289 73 14339 0 0
290 73 14433 0 0
291 72 14265 0 0
292 72 14347 0 0
293 73 14472 0 0
294 73 14459 0 0
295 74 14568 0 0
296 73 14331 0 0
297 73 14325 0 0
298 74 14472 0 0
299 74 14483 0 0
300 74 14465 0 0
301 74 14394 0 0
302 75 14462 0 0
303 75 14417 0 0
304 76 14440 0 0
305 76 14297 0 0
306 78 14460 0 0
307 78 14341 0 0
308 78 14337 0 0
309 79 14492 0 0
310 79 14421 0 0
311 79 14363 0 0
312 80 14416 0 0
313 81 14516 0 0
314 80 14330 0 0
315 81 14482 0 0
316 80 14355 0 0
317 79 14392 0 0
318 77 14316 0 0
319 76 14324 0 0
320 77 14525 0 0
321 76 14375 0 0
322 76 14391 0 0
323 76 14443 0 0
324 75 14330 0 0
325 74 14258 0 0
326 74 14339 0 0
327 73 14161 0 0
328 73 14231 0 0
329 73 14237 0 0
330 73 14252 0 0
331 74 14427 0 0
332 73 14210 0 0
333 73 14226 0 0
334 73 14214 0 0
335 73 14217 0 0
336 73 14305 0 0
337 73 14325 0 0
338 73 14364 0 0
339 73 14469 0 0
340 73 14440 0 0
341 74 14551 0 0
342 74 14431 0 0
343 73 14211 0 0
344 74 14415 0 0
345 74 14353 0 0
346 74 14363 0 0
347 74 14358 0 0
348 75 14430 0 0
349 75 14403 0 0
350 76 14444 0 0
351 77 14451 0 0
352 77 14392 0 0
353 77 14333 0 0
354 78 14430 0 0
355 78 14452 0 0
356 77 14357 0 0
357 77 14448 0 0
358 77 14435 0 0
359 78 14529 0 0
360 77 14342 0 0
361 78 14517 0 0
362 78 14407 0 0
363 79 14382 0 0
364 81 14529 0 0
365 80 14369 0 0
366 80 14481 0 0
367 80 14379 0 0
368 81 14365 0 0
369 82 14327 0 0
370 82 14403 0 0
371 81 14267 0 0
372 82 14309 0 0
373 82 14131 0 0
374 81 14069 0 0
375 79 14092 0 0
376 77 14042 0 0
377 78 14291 0 0
378 77 14094 0 0
379 78 14345 0 0
380 77 14264 0 0
381 76 14219 0 0
382 77 14333 0 0
383 77 14350 0 0
384 76 14356 0 0
385 75 14368 0 0
386 76 14585 0 0
387 76 14550 0 0
388 76 14435 0 0
389 76 14448 0 0
390 76 14535 0 0
391 75 14245 0 0
392 76 14485 0 0
393 76 14500 0 0
394 75 14347 0 0
395 75 14344 0 0
396 75 14408 0 0
397 75 14449 0 0
398 74 14331 0 0
399 74 14335 0 0
400 74 14391 0 0
401 74 14354 0 0
402 74 14217 0 0
403 75 14339 0 0
404 74 14148 0 0
405 74 14185 0 0
406 74 14217 0 0
407 74 14233 0 0
408 75 14363 0 0
